year month land ocean net foss
2015 1 1.320532 -0.3178765 1.002656 3.39712
2015 2 2.096493 -0.2284942 1.867999 3.489327
2015 3 0.01881427 -0.4349284 -0.4161141 3.398262
2015 4 -0.890392 -0.4246588 -1.315051 3.315981
2015 5 -2.079576 -0.3398594 -2.419435 3.217433
2015 6 -3.738654 -0.3048484 -4.043502 3.344524
2015 7 -3.851409 -0.1675125 -4.018921 3.362088
2015 8 -0.6313703 0.0816833 -0.549687 3.369116
2015 9 0.3900454 0.1648437 0.5548891 3.387261
2015 10 1.967846 0.3038731 2.271719 3.364208
2015 11 2.286758 0.322583 2.609342 3.517844
2015 12 1.337005 -0.1987336 1.138271 3.703015
2016 1 1.643358 -0.4066528 1.236705 3.387115
2016 2 1.371805 -0.2376753 1.13413 3.375527
2016 3 0.4708289 0.121946 0.5927749 3.404634
2016 4 -0.7523426 0.4745218 -0.2778208 3.304963
2016 5 -2.913787 0.230651 -2.683136 3.224466
2016 6 -4.536252 0.359593 -4.176659 3.342486
2016 7 -1.926424 0.2147375 -1.711687 3.34385
2016 8 -0.5046079 -0.0496472 -0.5542551 3.380035
2016 9 1.036987 0.1867018 1.223689 3.38245
2016 10 1.79021 0.3180698 2.10828 3.355735
2016 11 1.72364 -0.09392196 1.629719 3.523689
2016 12 2.578742 -0.415463 2.163279 3.687857
2017 1 2.450789 -0.4374419 2.013347 3.439937
2017 2 0.8132079 -0.3190081 0.4941998 3.532962
2017 3 0.8811175 -0.4427656 0.4383519 3.44938
2017 4 -0.3107342 -0.06276822 -0.3735024 3.345186
2017 5 -3.176841 0.1656383 -3.011203 3.276765
2017 6 -3.357445 0.1640845 -3.19336 3.386381
2017 7 -2.540748 0.2349252 -2.305823 3.389789
2017 8 -1.119594 0.2071905 -0.9124038 3.424879
2017 9 -0.02317513 0.05267295 0.02949782 3.420941
2017 10 2.711559 0.5909555 3.302514 3.409596
2017 11 2.832404 0.4982484 3.330652 3.572088
2017 12 2.515892 -0.07874182 2.43715 3.72823
2018 1 1.313789 -0.3254277 0.9883609 3.522418
2018 2 1.780994 -0.2859258 1.495069 3.608833
2018 3 2.699165 -0.02474531 2.67442 3.515723
2018 4 -0.4658458 0.4500313 -0.01581449 3.423907
2018 5 -2.564234 0.0594605 -2.504774 3.347555
2018 6 -3.681643 0.114436 -3.567207 3.451071
2018 7 -3.118946 0.1437024 -2.975243 3.469673
2018 8 -1.699686 -0.002766328 -1.702453 3.496009
2018 9 0.6429389 0.3248122 0.9677511 3.487858
2018 10 1.954358 0.501745 2.456103 3.490681
2018 11 2.267253 0.4905835 2.757837 3.646859
2018 12 2.236805 0.04380238 2.280608 3.810077
2019 1 1.367305 -0.05193573 1.315369 3.542733
2019 2 0.5583732 -0.08628788 0.4720854 3.629746
2019 3 -0.2260355 -0.2395925 -0.465628 3.531808
2019 4 -1.331989 -0.1647894 -1.496779 3.457578
2019 5 -4.664906 -0.05716065 -4.722067 3.371282
2019 6 -4.265578 -0.1887607 -4.454339 3.47169
2019 7 -2.355276 0.1596035 -2.195673 3.50269
2019 8 -1.068529 0.2088856 -0.8596437 3.513361
2019 9 -0.0003645677 0.2315575 0.2311929 3.522846
2019 10 2.363873 0.3608192 2.724692 3.518831
2019 11 2.775936 0.3911687 3.167105 3.666763
2019 12 1.845255 0.01366887 1.858924 3.847196
2020 1 1.133121 -0.05830605 1.074815 3.403685
2020 2 1.337367 0.4828824 1.820249 3.262423
2020 3 -0.3749105 -0.2090342 -0.5839447 3.179952
2020 4 -1.722223 0.2400376 -1.482185 3.041445
2020 5 -3.413642 -0.1058456 -3.519488 3.031067
2020 6 -3.696345 -0.02337119 -3.719716 3.308978
2020 7 -2.360836 0.3349689 -2.025867 3.332798
2020 8 -1.382037 0.2685035 -1.113534 3.398438
2020 9 -0.1114871 0.4344887 0.3230016 3.427024
2020 10 1.067592 0.3994632 1.467055 3.409447
2020 11 2.28307 0.147252 2.430322 3.528157
2020 12 1.4759 0.008284919 1.484185 3.85521
