year month land ocean net foss
2015 1 0 0.005986333 0.005986333 3.27457e-05
2015 2 0 -0.01367735 -0.01367735 3.27457e-05
2015 3 0 -0.03868388 -0.03868388 3.27457e-05
2015 4 0 -0.04390917 -0.04390917 3.27457e-05
2015 5 0 -0.02576205 -0.02576205 3.27457e-05
2015 6 0 -0.03766318 -0.03766318 3.27457e-05
2015 7 0 -0.01612313 -0.01612313 3.27457e-05
2015 8 0 -0.02644123 -0.02644123 3.27457e-05
2015 9 0 -0.01974927 -0.01974927 3.27457e-05
2015 10 0 -0.01322548 -0.01322548 3.27457e-05
2015 11 0 -0.004553058 -0.004553058 3.27457e-05
2015 12 0 -0.01841187 -0.01841187 3.27457e-05
2016 1 0 -0.02128536 -0.02128536 3.30883e-05
2016 2 0 -0.04327237 -0.04327237 3.30883e-05
2016 3 0 -0.08156257 -0.08156257 3.30883e-05
2016 4 0 -0.06008996 -0.06008996 3.30883e-05
2016 5 0 -0.01951047 -0.01951047 3.30883e-05
2016 6 0 -0.01216059 -0.01216059 3.30883e-05
2016 7 0 -0.03543737 -0.03543737 3.30883e-05
2016 8 0 -0.04054681 -0.04054681 3.30883e-05
2016 9 0 -0.05954972 -0.05954972 3.30883e-05
2016 10 0 -0.05772722 -0.05772722 3.30883e-05
2016 11 0 -0.03014989 -0.03014989 3.30883e-05
2016 12 0 -0.04122656 -0.04122656 3.30883e-05
2017 1 0 -0.03816467 -0.03816467 3.511997e-05
2017 2 0 -0.06686964 -0.06686964 3.511997e-05
2017 3 0 -0.1107669 -0.1107669 3.511997e-05
2017 4 0 -0.06041258 -0.06041258 3.511997e-05
2017 5 0 -0.04347056 -0.04347056 3.511997e-05
2017 6 0 -0.04782387 -0.04782387 3.511997e-05
2017 7 0 -0.02376661 -0.02376661 3.511997e-05
2017 8 0 -0.02149157 -0.02149157 3.511997e-05
2017 9 0 -0.01727769 -0.01727769 3.511997e-05
2017 10 0 -0.03880625 -0.03880625 3.511997e-05
2017 11 0 -0.0445743 -0.0445743 3.511997e-05
2017 12 0 -0.04533702 -0.04533702 3.511997e-05
2018 1 0 -0.04151706 -0.04151706 3.530905e-05
2018 2 0 -0.07135311 -0.07135311 3.530905e-05
2018 3 0 -0.07076403 -0.07076403 3.530905e-05
2018 4 0 -0.04730094 -0.04730094 3.530905e-05
2018 5 0 -0.03484668 -0.03484668 3.530905e-05
2018 6 0 -0.02794334 -0.02794334 3.530905e-05
2018 7 0 -0.009969361 -0.009969361 3.530905e-05
2018 8 0 -0.01634112 -0.01634112 3.530905e-05
2018 9 0 -0.01074558 -0.01074558 3.530905e-05
2018 10 0 -0.01135473 -0.01135473 3.530905e-05
2018 11 0 -0.002487294 -0.002487294 3.530905e-05
2018 12 0 -0.02904698 -0.02904698 3.530905e-05
2019 1 0 -0.01374735 -0.01374735 3.526295e-05
2019 2 0 -0.01865816 -0.01865816 3.526295e-05
2019 3 0 -0.05468519 -0.05468519 3.526295e-05
2019 4 0 -0.04096043 -0.04096043 3.526295e-05
2019 5 0 -0.03020413 -0.03020413 3.526295e-05
2019 6 0 -0.01202919 -0.01202919 3.526295e-05
2019 7 0 -0.01651876 -0.01651876 3.526295e-05
2019 8 0 -0.02165212 -0.02165212 3.526295e-05
2019 9 0 -0.01034613 -0.01034613 3.526295e-05
2019 10 0 -0.02666901 -0.02666901 3.526295e-05
2019 11 0 -0.0596147 -0.0596147 3.526295e-05
2019 12 0 -0.05711064 -0.05711064 3.526295e-05
2020 1 0 -0.03159001 -0.03159001 3.662938e-05
2020 2 0 -0.01119233 -0.01119233 3.299737e-05
2020 3 0 0.004566259 0.004566259 2.158182e-05
2020 4 0 0.01738535 0.01738535 6.032638e-06
2020 5 0 -0.01170299 -0.01170299 7.637201e-06
2020 6 0 -0.01119249 -0.01119249 7.82749e-06
2020 7 0 -0.01716045 -0.01716045 1.04577e-05
2020 8 0 -0.00320088 -0.00320088 1.220145e-05
2020 9 0 0.03485527 0.03485527 1.261379e-05
2020 10 0 0.04674914 0.04674914 1.323225e-05
2020 11 0 0.016626 0.016626 1.43893e-05
2020 12 0 0.006808312 0.006808312 1.518737e-05
