year month land ocean net foss
2015 1 0.1505348 -0.1375585 0.01297628 0.002527812
2015 2 0.0878193 -0.1114361 -0.02361678 0.002592797
2015 3 0.0482303 -0.002795186 0.04543511 0.002451362
2015 4 0.09005329 0.007551615 0.0976049 0.002412316
2015 5 0.06562508 -0.0213041 0.04432098 0.002305375
2015 6 -0.3195338 -0.08221488 -0.4017487 0.002394835
2015 7 -0.4826434 -0.1250933 -0.6077368 0.002412006
2015 8 0.03773688 -0.127031 -0.08929417 0.002434844
2015 9 0.3088401 -0.1678933 0.1409468 0.002419347
2015 10 0.2782263 -0.2060884 0.07213789 0.002408039
2015 11 0.220585 -0.1792082 0.04137679 0.002468519
2015 12 0.1518217 -0.1493064 0.002515343 0.002506106
2016 1 0.08489621 -0.1281009 -0.04320466 0.002481011
2016 2 0.1371123 -0.1394116 -0.002299293 0.002475252
2016 3 0.0653968 -0.1252567 -0.05985988 0.002414445
2016 4 0.0973253 -0.1267165 -0.02939117 0.002372204
2016 5 0.04918895 -0.1298849 -0.08069596 0.002267883
2016 6 -0.308402 -0.146086 -0.4544879 0.002355227
2016 7 -0.4369968 -0.1522339 -0.5892307 0.002371239
2016 8 -0.2400153 -0.1274223 -0.3674376 0.002401776
2016 9 0.2722032 -0.1173749 0.1548283 0.002381815
2016 10 0.2788687 -0.1244704 0.1543983 0.002366771
2016 11 0.1649946 -0.1235318 0.04146275 0.002431603
2016 12 0.1351726 -0.1082068 0.02696584 0.002461865
2017 1 0.0875592 -0.1023336 -0.01477437 0.002587076
2017 2 0.04676996 -0.08644743 -0.03967747 0.002656275
2017 3 0.04048917 -0.1148935 -0.07440431 0.002517912
2017 4 0.07339692 -0.1042347 -0.03083781 0.00247281
2017 5 0.005623857 -0.1265568 -0.1209329 0.002369319
2017 6 -0.4429341 -0.1635068 -0.6064409 0.002457079
2017 7 -1.005111 -0.1932779 -1.198389 0.002470365
2017 8 -0.7803904 -0.2063602 -0.9867506 0.002503308
2017 9 0.00209734 -0.2263015 -0.2242042 0.002482519
2017 10 0.5103466 -0.1804368 0.3299098 0.002471566
2017 11 0.3187764 -0.1940489 0.1247276 0.002536945
2017 12 0.1329047 -0.1845685 -0.05166383 0.00256279
2018 1 0.08311138 -0.1322467 -0.04913531 0.002646344
2018 2 0.1184245 -0.1250369 -0.006612399 0.002715191
2018 3 0.07497774 -0.1677088 -0.09273101 0.002570867
2018 4 0.05880975 -0.1606591 -0.1018494 0.002527554
2018 5 -0.04611965 -0.1011925 -0.1473121 0.002421672
2018 6 -0.3026175 -0.07175808 -0.3743756 0.002509248
2018 7 -0.5202197 -0.1117123 -0.631932 0.00252548
2018 8 -0.2127768 -0.111947 -0.3247238 0.002557368
2018 9 0.1790708 -0.161669 0.0174018 0.002533574
2018 10 0.2233411 -0.2172549 0.006086189 0.002527329
2018 11 0.2403238 -0.1865578 0.05376592 0.002591562
2018 12 0.1781609 -0.1700455 0.008115428 0.002618322
2019 1 -0.0344285 -0.1009737 -0.1354022 0.002600819
2019 2 0.07050188 -0.1107827 -0.0402808 0.002667966
2019 3 0.03384472 -0.1164734 -0.0826287 0.002524303
2019 4 0.04913525 -0.100379 -0.05124375 0.002487749
2019 5 0.01374404 -0.1187648 -0.1050208 0.002380292
2019 6 -0.524668 -0.1266871 -0.6513551 0.002463765
2019 7 -0.6880114 -0.1634787 -0.8514901 0.002485582
2019 8 -0.3818377 -0.1672818 -0.5491196 0.002512515
2019 9 0.1892176 -0.1918573 -0.002639738 0.002492213
2019 10 0.5302948 -0.1847157 0.3455792 0.002485361
2019 11 0.2906127 -0.1544894 0.1361233 0.002545723
2019 12 0.1992055 -0.1411069 0.05809863 0.002574761
2020 1 0.1922841 -0.1161954 0.07608866 0.002579204
2020 2 0.2638367 -0.1148111 0.1490256 0.002567936
2020 3 0.1182892 -0.0994391 0.01885007 0.002115403
2020 4 0.130219 -0.1133173 0.01690161 0.001641405
2020 5 0.01868617 -0.1168606 -0.09817439 0.001625746
2020 6 -0.3225156 -0.1116758 -0.4341914 0.001825921
2020 7 -0.4914447 -0.1360964 -0.6275411 0.001899097
2020 8 -0.3470088 -0.1313317 -0.4783405 0.001939202
2020 9 0.2952389 -0.1537105 0.1415284 0.001961891
2020 10 0.3336919 -0.1613621 0.1723298 0.001951571
2020 11 0.2882579 -0.167914 0.1203439 0.001984773
2020 12 0.1857894 -0.1663992 0.0193902 0.002124117
