year month land ocean net foss
2015 1 0 -0.06151739 -0.06151739 3.27457e-05
2015 2 0 -0.04134592 -0.04134592 3.27457e-05
2015 3 0 -0.02533147 -0.02533147 3.27457e-05
2015 4 0 -0.02207731 -0.02207731 3.27457e-05
2015 5 0 -0.02464127 -0.02464127 3.27457e-05
2015 6 0 -0.03039768 -0.03039768 3.27457e-05
2015 7 0 -0.02200816 -0.02200816 3.27457e-05
2015 8 0 -0.02044619 -0.02044619 3.27457e-05
2015 9 0 -0.00868575 -0.00868575 3.27457e-05
2015 10 0 -0.007851092 -0.007851092 3.27457e-05
2015 11 0 -0.03868778 -0.03868778 3.27457e-05
2015 12 0 -0.04936168 -0.04936168 3.27457e-05
2016 1 0 -0.05372332 -0.05372332 3.30883e-05
2016 2 0 -0.06653893 -0.06653893 3.30883e-05
2016 3 0 -0.07178394 -0.07178394 3.30883e-05
2016 4 0 -0.03426597 -0.03426597 3.30883e-05
2016 5 0 -0.02530801 -0.02530801 3.30883e-05
2016 6 0 -0.004450647 -0.004450647 3.30883e-05
2016 7 0 2.888024e-05 2.888024e-05 3.30883e-05
2016 8 0 0.01681916 0.01681916 3.30883e-05
2016 9 0 0.003708287 0.003708287 3.30883e-05
2016 10 0 -0.003458644 -0.003458644 3.30883e-05
2016 11 0 -0.01787033 -0.01787033 3.30883e-05
2016 12 0 -0.06034835 -0.06034835 3.30883e-05
2017 1 0 -0.06492965 -0.06492965 3.511997e-05
2017 2 0 -0.07626426 -0.07626426 3.511997e-05
2017 3 0 -0.1096238 -0.1096238 3.511997e-05
2017 4 0 -0.07204178 -0.07204178 3.511997e-05
2017 5 0 -0.04119123 -0.04119123 3.511997e-05
2017 6 0 -0.01015798 -0.01015798 3.511997e-05
2017 7 0 0.006440898 0.006440898 3.511997e-05
2017 8 0 0.002777262 0.002777262 3.511997e-05
2017 9 0 -0.01826649 -0.01826649 3.511997e-05
2017 10 0 -0.1116672 -0.1116672 3.511997e-05
2017 11 0 -0.1184706 -0.1184706 3.511997e-05
2017 12 0 -0.1178202 -0.1178202 3.511997e-05
2018 1 0 -0.1130995 -0.1130995 3.530905e-05
2018 2 0 -0.1175933 -0.1175933 3.530905e-05
2018 3 0 -0.1372415 -0.1372415 3.530905e-05
2018 4 0 -0.09618785 -0.09618785 3.530905e-05
2018 5 0 -0.05749872 -0.05749872 3.530905e-05
2018 6 0 -0.02801276 -0.02801276 3.530905e-05
2018 7 0 -0.02864874 -0.02864874 3.530905e-05
2018 8 0 -0.02406122 -0.02406122 3.530905e-05
2018 9 0 -0.01494444 -0.01494444 3.530905e-05
2018 10 0 -0.07368213 -0.07368213 3.530905e-05
2018 11 0 -0.092173 -0.092173 3.530905e-05
2018 12 0 -0.106795 -0.106795 3.530905e-05
2019 1 0 -0.09727431 -0.09727431 3.526295e-05
2019 2 0 -0.07995349 -0.07995349 3.526295e-05
2019 3 0 -0.08391577 -0.08391577 3.526295e-05
2019 4 0 -0.05725431 -0.05725431 3.526295e-05
2019 5 0 -0.03465113 -0.03465113 3.526295e-05
2019 6 0 -0.02303655 -0.02303655 3.526295e-05
2019 7 0 0.01078325 0.01078325 3.526295e-05
2019 8 0 0.03588136 0.03588136 3.526295e-05
2019 9 0 0.02213996 0.02213996 3.526295e-05
2019 10 0 0.006226725 0.006226725 3.526295e-05
2019 11 0 -0.02603663 -0.02603663 3.526295e-05
2019 12 0 -0.03096823 -0.03096823 3.526295e-05
2020 1 0 -0.04575775 -0.04575775 3.662938e-05
2020 2 0 -0.05644687 -0.05644687 3.299737e-05
2020 3 0 -0.03568414 -0.03568414 2.158182e-05
2020 4 0 -0.01773556 -0.01773556 6.032638e-06
2020 5 0 -0.01169853 -0.01169853 7.637201e-06
2020 6 0 -0.004955823 -0.004955823 7.82749e-06
2020 7 0 0.0008727728 0.0008727728 1.04577e-05
2020 8 0 0.01808361 0.01808361 1.220145e-05
2020 9 0 0.03423376 0.03423376 1.261379e-05
2020 10 0 0.007214136 0.007214136 1.323225e-05
2020 11 0 -0.02612014 -0.02612014 1.43893e-05
2020 12 0 -0.03855977 -0.03855977 1.518737e-05
