year month land ocean net foss
2015 1 -1.527739 0.2248896 -1.30285 0.06646022
2015 2 -1.698421 0.2660738 -1.432348 0.0693564
2015 3 -1.572645 0.2174881 -1.355157 0.06876264
2015 4 -0.9704883 0.1380211 -0.8324672 0.06869829
2015 5 -0.2872393 0.01927701 -0.2679623 0.06811888
2015 6 1.098996 -0.1144012 0.9845948 0.06996243
2015 7 1.6558 -0.2112551 1.444545 0.06943513
2015 8 1.728531 -0.225883 1.502648 0.07030077
2015 9 2.532017 -0.1679188 2.364098 0.07107608
2015 10 2.571282 -0.1218535 2.449428 0.0701787
2015 11 1.348925 -0.01633023 1.332595 0.07039963
2015 12 -0.1436708 0.08305817 -0.0606126 0.06974113
2016 1 -1.088704 0.1513868 -0.937317 0.06601396
2016 2 -1.840213 0.2025759 -1.637637 0.06718234
2016 3 -1.311564 0.1926827 -1.118881 0.06865947
2016 4 -0.5110436 0.1346494 -0.3763942 0.06833468
2016 5 0.462624 -0.01226318 0.4503608 0.06790196
2016 6 1.444335 -0.170897 1.273438 0.06971892
2016 7 1.639307 -0.250251 1.389056 0.06888684
2016 8 1.856788 -0.2717498 1.585038 0.07028901
2016 9 2.276509 -0.235355 2.041154 0.07080784
2016 10 1.956711 -0.1050485 1.851662 0.06970766
2016 11 0.9073637 -0.05692543 0.8504382 0.07032442
2016 12 -0.704292 0.0426453 -0.6616467 0.06936062
2017 1 -1.56265 0.1377099 -1.42494 0.06694117
2017 2 -1.796971 0.1877868 -1.609185 0.06999768
2017 3 -1.811023 0.192956 -1.618067 0.06952268
2017 4 -1.384756 0.1109499 -1.273806 0.06903451
2017 5 -0.1785572 -0.04836949 -0.2269267 0.06892966
2017 6 1.219527 -0.1708211 1.048706 0.0706072
2017 7 1.466169 -0.2515275 1.214642 0.06974656
2017 8 1.715753 -0.2863477 1.429406 0.07119862
2017 9 2.136769 -0.1987523 1.938017 0.07160253
2017 10 2.135801 -0.1211306 2.01467 0.07069567
2017 11 0.7510839 -0.01705173 0.7340322 0.07122215
2017 12 -0.388135 0.07482568 -0.3133093 0.07007465
2018 1 -1.735557 0.1908667 -1.544691 0.06718062
2018 2 -1.861591 0.1938668 -1.667724 0.07010958
2018 3 -1.679449 0.2049945 -1.474455 0.06947224
2018 4 -1.265549 0.112833 -1.152716 0.06919584
2018 5 -0.7081659 0.003775055 -0.7043908 0.06900337
2018 6 0.7852298 -0.139136 0.6460939 0.07058093
2018 7 1.202994 -0.2171551 0.9858384 0.06989119
2018 8 1.395236 -0.2555255 1.13971 0.07123173
2018 9 1.876615 -0.2162958 1.660319 0.07147435
2018 10 1.55428 -0.08321228 1.471067 0.07090978
2018 11 0.7550794 -0.01704024 0.7380392 0.07127386
2018 12 -0.5117678 0.1060846 -0.4056832 0.07009559
2019 1 -1.407465 0.20014 -1.207325 0.06784597
2019 2 -1.825158 0.1837973 -1.64136 0.07080561
2019 3 -1.803994 0.2178486 -1.586145 0.06996011
2019 4 -1.0021 0.1440065 -0.8580938 0.07004038
2019 5 -0.01086321 0.008600658 -0.002262554 0.06966076
2019 6 1.183219 -0.1523417 1.030878 0.07109315
2019 7 1.537896 -0.230827 1.307069 0.07072858
2019 8 1.707717 -0.2473285 1.460389 0.0718096
2019 9 2.377564 -0.1886568 2.188907 0.07223828
2019 10 2.212442 -0.08581805 2.126624 0.07160328
2019 11 1.147917 0.01221564 1.160133 0.07185804
2019 12 -0.3150595 0.1194477 -0.1956118 0.07085077
2020 1 -1.369537 0.2250327 -1.144505 0.07208808
2020 2 -1.540076 0.2787459 -1.26133 0.06821984
2020 3 -1.49889 0.2152189 -1.283671 0.06114651
2020 4 -1.208719 0.141748 -1.066971 0.0494478
2020 5 -0.7041257 0.03860489 -0.6655208 0.05126901
2020 6 0.7957412 -0.1226742 0.673067 0.059661
2020 7 1.289457 -0.2117825 1.077674 0.05932539
2020 8 1.458394 -0.2286664 1.229728 0.05952218
2020 9 2.057855 -0.1805576 1.877297 0.061932
2020 10 2.100356 -0.04713067 2.053225 0.06348423
2020 11 1.147917 0.003466081 1.151383 0.0642695
2020 12 -0.3150596 0.1129335 -0.2021261 0.06575148
