year month land ocean net foss
2015 1 3.431568 -0.285094 3.146474 1.865727
2015 2 2.78894 -0.1771214 2.611819 1.919316
2015 3 2.037279 -0.1834037 1.853875 1.828884
2015 4 0.5390345 -0.280873 0.2581615 1.770597
2015 5 -3.460649 -0.3047246 -3.765374 1.703554
2015 6 -8.769121 -0.2865175 -9.055638 1.76214
2015 7 -9.364114 -0.1113575 -9.475471 1.751881
2015 8 -5.293663 0.006651248 -5.287012 1.744297
2015 9 -0.9091025 -0.09621833 -1.005321 1.773223
2015 10 4.156094 -0.3210786 3.835015 1.77434
2015 11 4.919462 -0.4698124 4.44965 1.860989
2015 12 4.396807 -0.4798183 3.916988 1.951653
2016 1 3.516702 -0.395543 3.121159 1.858563
2016 2 2.879621 -0.341702 2.537919 1.855693
2016 3 2.204269 -0.2633489 1.94092 1.832372
2016 4 0.2645318 -0.3297993 -0.06526752 1.76504
2016 5 -3.535392 -0.3472945 -3.882687 1.705686
2016 6 -9.013251 -0.251454 -9.264705 1.760806
2016 7 -9.8128 -0.0621104 -9.87491 1.741402
2016 8 -5.572984 0.07114495 -5.50184 1.749515
2016 9 -0.6917078 -0.05236971 -0.7440775 1.770474
2016 10 4.562076 -0.3494523 4.212624 1.768081
2016 11 5.147178 -0.4969778 4.6502 1.863973
2016 12 4.422439 -0.423834 3.998605 1.943733
2017 1 3.449475 -0.2882297 3.161246 1.878454
2017 2 2.802894 -0.2227313 2.580162 1.93412
2017 3 2.10513 -0.2561492 1.848981 1.849257
2017 4 0.4296238 -0.2583112 0.1713125 1.778333
2017 5 -3.57053 -0.3571135 -3.927643 1.726968
2017 6 -8.798955 -0.3284276 -9.127383 1.777415
2017 7 -9.063325 -0.15595 -9.219276 1.757943
2017 8 -4.805291 -0.0762123 -4.881503 1.766423
2017 9 -0.5743493 -0.1985946 -0.7729439 1.784025
2017 10 3.852622 -0.377887 3.474735 1.788801
2017 11 4.993268 -0.3949455 4.598323 1.881976
2017 12 4.21456 -0.3765405 3.838019 1.956501
2018 1 3.473902 -0.3834547 3.090447 1.914762
2018 2 2.886436 -0.2314321 2.655004 1.966035
2018 3 2.197244 -0.2416642 1.95558 1.876829
2018 4 0.3217676 -0.4010209 -0.07925331 1.811479
2018 5 -3.959488 -0.4309013 -4.390389 1.756987
2018 6 -8.464434 -0.3763483 -8.840783 1.804784
2018 7 -9.588057 -0.1442867 -9.732344 1.791907
2018 8 -5.118655 -0.01429616 -5.132951 1.797644
2018 9 -0.581748 -0.1630553 -0.7448034 1.810355
2018 10 4.084344 -0.3914845 3.69286 1.82378
2018 11 5.066606 -0.571357 4.495249 1.912784
2018 12 4.292128 -0.642065 3.650063 1.98973
2019 1 3.402953 -0.4186869 2.984266 1.900478
2019 2 2.784426 -0.3694057 2.41502 1.951071
2019 3 2.036769 -0.2655086 1.771261 1.859771
2019 4 0.5122784 -0.3297516 0.1825269 1.805875
2019 5 -3.068972 -0.3562195 -3.425191 1.747045
2019 6 -8.911014 -0.253736 -9.16475 1.791195
2019 7 -10.06441 -0.118511 -10.18292 1.786867
2019 8 -5.614704 -0.01967997 -5.634384 1.784813
2019 9 -0.868426 -0.1527301 -1.021156 1.804541
2019 10 4.128108 -0.3014058 3.826702 1.814433
2019 11 5.146905 -0.3757891 4.771116 1.898349
2019 12 4.421847 -0.4232036 3.998643 1.982391
2020 1 3.456269 -0.3187727 3.137496 1.809863
2020 2 2.74033 -0.2391856 2.501145 1.764404
2020 3 2.040025 -0.1856846 1.854341 1.658378
2020 4 0.2278703 -0.2545292 -0.02665895 1.492923
2020 5 -3.429914 -0.3396642 -3.769578 1.488994
2020 6 -8.386899 -0.2446406 -8.631539 1.663009
2020 7 -9.928712 -0.1495241 -10.07824 1.66342
2020 8 -5.179178 -0.1281721 -5.307351 1.681924
2020 9 -0.3364382 -0.209167 -0.5456051 1.721973
2020 10 4.368464 -0.3623333 4.006131 1.716814
2020 11 5.146905 -0.5157368 4.631168 1.764036
2020 12 4.421847 -0.5194295 3.902418 1.962919
