year month land ocean net foss
2015 1 -1.382666 0.3404911 -1.042175 0.1751815
2015 2 -0.08122814 0.3530856 0.2718574 0.1842921
2015 3 -1.501686 0.3537603 -1.147925 0.1788254
2015 4 -1.007924 0.3166821 -0.6912422 0.1798009
2015 5 0.1035774 0.3066525 0.41023 0.1759468
2015 6 0.132586 0.3131144 0.4457004 0.1825118
2015 7 -0.4381102 0.2939729 -0.1441373 0.1819633
2015 8 -1.7409 0.2954093 -1.445491 0.183194
2015 9 0.7435066 0.3026912 1.046198 0.1873888
2015 10 1.891374 0.331479 2.222853 0.1867407
2015 11 1.162095 0.337137 1.499232 0.1840281
2015 12 -1.179851 0.3257112 -0.8541396 0.1847741
2016 1 -0.5387565 0.3404911 -0.1982655 0.1892095
2016 2 -0.1343242 0.3533635 0.2190393 0.1934146
2016 3 -1.381696 0.3541914 -1.027505 0.1938038
2016 4 -0.6356384 0.3165265 -0.3191119 0.1941332
2016 5 0.2520948 0.3057327 0.5578274 0.1906017
2016 6 0.7052536 0.3115247 1.016778 0.1974764
2016 7 -0.2241937 0.2925851 0.06839138 0.1960993
2016 8 -2.700639 0.2952561 -2.405383 0.1988988
2016 9 -2.895912 0.3037247 -2.592187 0.2027324
2016 10 0.5901023 0.3327934 0.9228957 0.201757
2016 11 0.8205747 0.3379397 1.158514 0.1995398
2016 12 -1.843266 0.3260342 -1.517232 0.1995835
2017 1 -1.01435 0.3404911 -0.6738591 0.1824929
2017 2 -0.01874798 0.3530856 0.3343376 0.1919889
2017 3 -1.511605 0.3537603 -1.157844 0.1865485
2017 4 -1.093889 0.3166821 -0.777207 0.1865296
2017 5 0.2937502 0.3066525 0.6004027 0.1839281
2017 6 0.2895609 0.3131144 0.6026752 0.1900154
2017 7 -0.9628817 0.2939729 -0.6689088 0.1888065
2017 8 -2.990342 0.2954093 -2.694932 0.191478
2017 9 -2.214511 0.3026912 -1.911819 0.1947109
2017 10 0.829388 0.331479 1.160867 0.1944497
2017 11 0.8719185 0.337137 1.209055 0.1920466
2017 12 -1.930115 0.3257112 -1.604404 0.1916511
2018 1 0.1213453 0.3404911 0.4618364 0.1945313
2018 2 -0.457621 0.3530856 -0.1045355 0.2043066
2018 3 -0.4861758 0.3537603 -0.1324155 0.1979908
2018 4 -1.360831 0.3166821 -1.044149 0.1987495
2018 5 -0.2812552 0.3066525 0.0253973 0.1955589
2018 6 -0.5185254 0.3131144 -0.2054111 0.2017219
2018 7 -1.437974 0.2939729 -1.144001 0.2011574
2018 8 -3.609059 0.2954093 -3.313649 0.2035375
2018 9 -3.347599 0.3026912 -3.044907 0.2067361
2018 10 0.3283453 0.331479 0.6598243 0.207293
2018 11 0.437707 0.337137 0.774844 0.2041559
2018 12 -2.676905 0.3257112 -2.351194 0.2038965
2019 1 -1.451033 0.3404911 -1.110542 0.2046574
2019 2 -0.4012849 0.3530856 -0.04819939 0.2149966
2019 3 -1.784248 0.3537603 -1.430488 0.2077654
2019 4 -1.124506 0.3166821 -0.8078237 0.2094837
2019 5 -0.0602764 0.3066525 0.2463761 0.205523
2019 6 0.09801233 0.3131144 0.4111267 0.2117857
2019 7 -0.9132218 0.2939729 -0.6192489 0.2119813
2019 8 -3.151221 0.2954093 -2.855811 0.2136424
2019 9 -1.778208 0.3026912 -1.475517 0.2178585
2019 10 0.03496457 0.331479 0.3664436 0.2180879
2019 11 0.1826508 0.337137 0.5197877 0.2143202
2019 12 -2.033098 0.3257112 -1.707387 0.2149032
2020 1 -1.184258 0.3404911 -0.843767 0.2073572
2020 2 -0.5009701 0.3533635 -0.1476066 0.2097752
2020 3 -1.675896 0.3541914 -1.321704 0.1876821
2020 4 -1.096865 0.3165265 -0.7803386 0.1662046
2020 5 -0.09647709 0.3057327 0.2092556 0.1664094
2020 6 -0.2142769 0.3115247 0.09724779 0.1911064
2020 7 -1.330649 0.2925851 -1.038064 0.1932679
2020 8 -4.108964 0.2952561 -3.813708 0.192101
2020 9 -2.881476 0.3037247 -2.577751 0.2020662
2020 10 0.7443967 0.3327934 1.07719 0.2007449
2020 11 -0.02271066 0.3379397 0.315229 0.194332
2020 12 -2.64473 0.3260342 -2.318695 0.1998846
