year month land ocean net foss
2015 1 6.546681 -1.126246 5.420435 8.251889
2015 2 5.299723 -1.198011 4.101712 8.488696
2015 3 4.815527 -1.148093 3.667434 8.248429
2015 4 1.282732 -1.07371 0.2090221 7.97089
2015 5 -12.26454 -1.076631 -13.34117 7.692349
2015 6 -29.41586 -1.072886 -30.48875 7.958707
2015 7 -28.23481 -0.8316959 -29.06651 7.883931
2015 8 -11.68673 -0.2835262 -11.97026 7.901762
2015 9 1.240866 -0.02749868 1.213367 8.004349
2015 10 11.89651 -0.1840608 11.71245 8.045473
2015 11 10.49919 -0.5334815 9.965705 8.4255
2015 12 8.0991 -0.8260991 7.273001 8.829492
2016 1 6.93684 -1.126246 5.810594 8.244765
2016 2 5.029119 -1.199188 3.829931 8.228707
2016 3 4.004746 -1.149799 2.854947 8.281971
2016 4 0.4598571 -1.074591 -0.6147339 7.96446
2016 5 -12.33458 -1.077306 -13.41189 7.72543
2016 6 -30.15017 -1.074914 -31.22508 7.972372
2016 7 -28.10562 -0.8332645 -28.93888 7.859618
2016 8 -11.87966 -0.2834346 -12.16309 7.944576
2016 9 1.254407 -0.0268629 1.227544 8.010408
2016 10 11.46096 -0.1825324 11.27843 8.043532
2016 11 10.53883 -0.5324595 10.00637 8.457069
2016 12 8.150895 -0.8271371 7.323758 8.814729
2017 1 6.560619 -1.126246 5.434374 8.370067
2017 2 4.916358 -1.198011 3.718347 8.610742
2017 3 4.365871 -1.148093 3.217778 8.390353
2017 4 1.486006 -1.07371 0.412296 8.060561
2017 5 -11.79429 -1.076631 -12.87092 7.851097
2017 6 -28.65007 -1.072886 -29.72295 8.079198
2017 7 -29.1137 -0.8316959 -29.94539 7.968325
2017 8 -12.46101 -0.2835262 -12.74453 8.052816
2017 9 1.083671 -0.02749868 1.056172 8.103267
2017 10 11.28056 -0.1840608 11.0965 8.171595
2017 11 10.52184 -0.5334815 9.988355 8.570567
2017 12 8.228278 -0.8260991 7.402179 8.910147
2018 1 7.715466 -1.126246 6.589221 8.568912
2018 2 5.219688 -1.198011 4.021677 8.794387
2018 3 6.347153 -1.148093 5.19906 8.554491
2018 4 2.013825 -1.07371 0.9401146 8.251204
2018 5 -12.55762 -1.076631 -13.63426 8.023364
2018 6 -29.4656 -1.072886 -30.53848 8.239234
2018 7 -28.71712 -0.8316959 -29.54882 8.157986
2018 8 -12.62704 -0.2835262 -12.91056 8.225498
2018 9 2.000866 -0.02749868 1.973368 8.263551
2018 10 11.49885 -0.1840608 11.31479 8.367481
2018 11 10.9866 -0.5334815 10.45312 8.750023
2018 12 8.460185 -0.8260991 7.634086 9.105181
2019 1 6.585466 -1.126246 5.45922 8.574063
2019 2 5.192467 -1.198011 3.994456 8.799775
2019 3 4.43605 -1.148093 3.287958 8.548598
2019 4 1.364344 -1.07371 0.2906342 8.289379
2019 5 -11.27994 -1.076631 -12.35657 8.04083
2019 6 -29.48178 -1.072886 -30.55467 8.247494
2019 7 -28.00549 -0.8316959 -28.83719 8.198423
2019 8 -12.80552 -0.2835262 -13.08905 8.230725
2019 9 1.046792 -0.02749868 1.019293 8.304835
2019 10 11.17454 -0.1840608 10.99048 8.390649
2019 11 10.90436 -0.5334815 10.37088 8.753193
2019 12 8.140558 -0.8260991 7.314459 9.145222
2020 1 6.232757 -1.126246 5.106512 8.258667
2020 2 4.669889 -1.199188 3.470702 8.028179
2020 3 4.280305 -1.149799 3.130506 7.710841
2020 4 1.404986 -1.074591 0.3303954 7.012341
2020 5 -11.87193 -1.077306 -12.94923 7.031215
2020 6 -28.66313 -1.074914 -29.73805 7.745194
2020 7 -29.24796 -0.8332645 -30.08123 7.741729
2020 8 -12.76873 -0.2834346 -13.05216 7.889785
2020 9 3.485998 -0.0268629 3.459135 8.068989
2020 10 12.74081 -0.1825324 12.55828 8.093762
2020 11 10.30141 -0.5324595 9.768955 8.349888
2020 12 8.292774 -0.8271371 7.465637 9.12035
