year month land ocean net foss
2015 1 -1.366816 0.09528403 -1.271532 0.2356733
2015 2 -1.782038 0.09267235 -1.689366 0.2532219
2015 3 -1.222021 0.08711425 -1.134906 0.2372777
2015 4 -1.000351 0.02658153 -0.9737694 0.2423079
2015 5 -0.7916801 -0.04016722 -0.8318474 0.2422721
2015 6 -0.4677642 -0.1831222 -0.6508864 0.2538848
2015 7 -0.1330951 -0.3796126 -0.5127077 0.2509241
2015 8 -0.5946637 -0.5600345 -1.154698 0.2513851
2015 9 -0.4216045 -0.6145636 -1.036168 0.2564852
2015 10 0.6010811 -0.5175754 0.08350565 0.2525893
2015 11 0.5203194 -0.329633 0.1906864 0.2551085
2015 12 0.09566746 -0.1769546 -0.08128711 0.2469179
2016 1 -0.8284076 0.09528403 -0.7331236 0.2369094
2016 2 -1.750836 0.0926618 -1.658174 0.2471038
2016 3 -1.676071 0.08717755 -1.588893 0.2396524
2016 4 -0.8795813 0.02670594 -0.8528754 0.2436659
2016 5 -0.6398946 -0.04026388 -0.6801585 0.2446153
2016 6 -0.3002726 -0.1839897 -0.4842622 0.2559884
2016 7 -0.6728183 -0.3809731 -1.053791 0.2517485
2016 8 -1.030035 -0.5604363 -1.590471 0.2544982
2016 9 -1.038829 -0.613085 -1.651914 0.2584648
2016 10 -0.1910005 -0.5152241 -0.7062245 0.2538704
2016 11 -0.01315659 -0.3280802 -0.3412367 0.2579171
2016 12 -0.3662459 -0.1765046 -0.5427505 0.2482644
2017 1 -1.540886 0.09528403 -1.445602 0.2391417
2017 2 -2.806009 0.09267235 -2.713337 0.2572571
2017 3 -2.169177 0.08711425 -2.082063 0.2413977
2017 4 -1.220502 0.02658153 -1.19392 0.2448072
2017 5 -1.138693 -0.04016722 -1.17886 0.2470953
2017 6 -0.9283592 -0.1831222 -1.111481 0.257838
2017 7 -0.8330193 -0.3796126 -1.212632 0.2535984
2017 8 -0.6482363 -0.5600345 -1.208271 0.2564041
2017 9 -0.231625 -0.6145636 -0.8461886 0.2598481
2017 10 0.2032521 -0.5175754 -0.3143233 0.2562612
2017 11 -0.02678435 -0.329633 -0.3564173 0.2598325
2017 12 -0.3024619 -0.1769546 -0.4794165 0.249429
2018 1 -0.3582426 0.09528403 -0.2629586 0.2391786
2018 2 -2.264942 0.09267235 -2.172269 0.2567087
2018 3 -1.222438 0.08711425 -1.135324 0.2401233
2018 4 -1.336187 0.02658153 -1.309605 0.2445719
2018 5 -0.9118576 -0.04016722 -0.9520249 0.246428
2018 6 -0.3469704 -0.1831222 -0.5300926 0.2566811
2018 7 -0.2930645 -0.3796126 -0.6726771 0.2534002
2018 8 -0.2147061 -0.5600345 -0.7747406 0.2556063
2018 9 -0.1357459 -0.6145636 -0.7503095 0.2584218
2018 10 0.5063802 -0.5175754 -0.01119523 0.2562492
2018 11 0.3471991 -0.329633 0.01756615 0.2591067
2018 12 -0.2882964 -0.1769546 -0.4652509 0.248659
2019 1 -0.681334 0.09528403 -0.58605 0.2414124
2019 2 -1.724411 0.09267235 -1.631739 0.2591337
2019 3 -1.102809 0.08711425 -1.015695 0.2416137
2019 4 -0.9467923 0.02658153 -0.9202108 0.2475228
2019 5 -0.9143061 -0.04016722 -0.9544734 0.2486591
2019 6 -0.8916778 -0.1831222 -1.0748 0.2583765
2019 7 -0.4562359 -0.3796126 -0.8358486 0.256448
2019 8 -0.4582876 -0.5600345 -1.018322 0.2574471
2019 9 -0.007186616 -0.6145636 -0.6217502 0.2612756
2019 10 0.5894778 -0.5175754 0.0719024 0.2586081
2019 11 0.7366747 -0.329633 0.4070417 0.2609652
2019 12 -0.1381871 -0.1769546 -0.3151417 0.2513829
2020 1 -0.9139479 0.09528403 -0.8186639 0.2508444
2020 2 -2.258283 0.0926618 -2.165622 0.2515879
2020 3 -2.196735 0.08717755 -2.109557 0.2175463
2020 4 -1.158864 0.02670594 -1.132158 0.1913057
2020 5 -0.5638151 -0.04026388 -0.604079 0.1979125
2020 6 -0.2115557 -0.1839897 -0.3955454 0.2324646
2020 7 -0.09043249 -0.3809731 -0.4714056 0.2308202
2020 8 -0.2437579 -0.5604363 -0.8041942 0.2278511
2020 9 -0.1690459 -0.613085 -0.7821309 0.2390561
2020 10 0.4354826 -0.5152241 -0.07974147 0.2394487
2020 11 0.230436 -0.3280802 -0.09764417 0.2406201
2020 12 -0.3416552 -0.1765046 -0.5181598 0.2393538
