year month land ocean net foss
2015 1 1.60464 0.1811252 1.785765 0.2449993
2015 2 1.168554 0.1837925 1.352347 0.2556789
2015 3 4.284827 0.1941988 4.479025 0.2487287
2015 4 3.194585 0.1978802 3.392465 0.2486324
2015 5 0.2993648 0.1752261 0.4745909 0.2444999
2015 6 -0.7500717 0.1860388 -0.5640329 0.2520607
2015 7 0.925678 0.2188504 1.144528 0.2496629
2015 8 4.088961 0.218949 4.30791 0.2489273
2015 9 4.3307 0.1936347 4.524334 0.2529453
2015 10 1.044465 0.1646685 1.209134 0.2516755
2015 11 1.077869 0.1363476 1.214217 0.2536048
2015 12 3.245793 0.1317818 3.377575 0.2520885
2016 1 2.194715 0.1811252 2.37584 0.2520142
2016 2 2.507764 0.1838008 2.691565 0.256347
2016 3 4.875754 0.1941088 5.069863 0.2570478
2016 4 3.289608 0.1977181 3.487326 0.25581
2016 5 0.1474577 0.1750383 0.3224961 0.2525157
2016 6 -0.4424017 0.1859065 -0.2564952 0.2598463
2016 7 1.551381 0.2187723 1.770153 0.2564721
2016 8 4.605698 0.2189073 4.824605 0.2576456
2016 9 4.626428 0.1936311 4.82006 0.2608449
2016 10 1.091699 0.1647274 1.256426 0.2590874
2016 11 1.440409 0.1364714 1.57688 0.2621776
2016 12 3.893455 0.1319291 4.025384 0.2595574
2017 1 1.253299 0.1811252 1.434424 0.2577525
2017 2 1.747277 0.1837925 1.931069 0.2686756
2017 3 4.372315 0.1941988 4.566514 0.2621219
2017 4 3.019486 0.1978802 3.217366 0.2604559
2017 5 -0.008034814 0.1752261 0.1671913 0.2581556
2017 6 -0.4229874 0.1860388 -0.2369486 0.2647547
2017 7 1.406098 0.2188504 1.624948 0.2614535
2017 8 4.39367 0.218949 4.612619 0.2625563
2017 9 4.396338 0.1936347 4.589972 0.2652195
2017 10 0.877301 0.1646685 1.041969 0.2643514
2017 11 0.9541914 0.1363476 1.090539 0.2670607
2017 12 3.416275 0.1317818 3.548057 0.2639772
2018 1 2.307647 0.1811252 2.488772 0.2644389
2018 2 1.061244 0.1837925 1.245036 0.2751901
2018 3 3.739657 0.1941988 3.933856 0.2680253
2018 4 2.662818 0.1978802 2.860698 0.2669741
2018 5 -0.1478131 0.1752261 0.02741298 0.2642939
2018 6 -0.8600873 0.1860388 -0.6740484 0.2704889
2018 7 1.204021 0.2188504 1.422872 0.2677956
2018 8 4.321562 0.218949 4.540511 0.2683413
2018 9 4.619274 0.1936347 4.812908 0.2707461
2018 10 1.096239 0.1646685 1.260908 0.270978
2018 11 1.23972 0.1363476 1.376068 0.2732916
2018 12 3.411955 0.1317818 3.543737 0.2703115
2019 1 1.315277 0.1811252 1.496402 0.2704523
2019 2 1.685653 0.1837925 1.869445 0.2814821
2019 3 4.530856 0.1941988 4.725055 0.2736145
2019 4 3.267102 0.1978802 3.464982 0.2735338
2019 5 0.2155116 0.1752261 0.3907377 0.2702253
2019 6 -0.6356409 0.1860388 -0.4496021 0.2761319
2019 7 1.245977 0.2188504 1.464827 0.2743151
2019 8 4.326628 0.218949 4.545577 0.2739264
2019 9 4.489002 0.1936347 4.682637 0.2772733
2019 10 1.083416 0.1646685 1.248085 0.2771676
2019 11 0.6656803 0.1363476 0.802028 0.2790755
2019 12 2.911231 0.1317818 3.043013 0.276961
2020 1 1.062593 0.1811252 1.243718 0.2708073
2020 2 2.188102 0.1838008 2.371902 0.2755976
2020 3 4.5901 0.1941088 4.784209 0.2443322
2020 4 3.177035 0.1977181 3.374753 0.2125454
2020 5 0.03081385 0.1750383 0.2058522 0.2151328
2020 6 -0.6190805 0.1859065 -0.433174 0.2435561
2020 7 1.578646 0.2187723 1.797419 0.2471091
2020 8 4.44805 0.2189073 4.666958 0.2440915
2020 9 4.604996 0.1936311 4.798627 0.255417
2020 10 0.8130192 0.1647274 0.9777466 0.2512828
2020 11 1.072986 0.1364714 1.209458 0.2476449
2020 12 3.405247 0.1319291 3.537176 0.250975
