year month land ocean net foss
2015 1 1.34507 -0.8762911 0.4687793 3.39712
2015 2 1.086477 -0.8413514 0.245126 3.489327
2015 3 0.08201534 -0.879463 -0.7974477 3.398262
2015 4 -0.8341663 -0.9652796 -1.799446 3.315981
2015 5 -2.864661 -0.9441248 -3.808785 3.217433
2015 6 -3.91456 -0.669405 -4.583965 3.344524
2015 7 -3.49761 -0.3304334 -3.828044 3.362088
2015 8 -2.162069 0.008561555 -2.153507 3.369116
2015 9 -0.4713971 0.1638149 -0.3075821 3.387261
2015 10 1.567967 0.0900947 1.658062 3.364208
2015 11 2.727208 -0.1990585 2.528149 3.517844
2015 12 2.141653 -0.5944608 1.547192 3.703015
2016 1 1.595938 -0.8762911 0.7196471 3.387115
2016 2 1.009274 -0.8418256 0.1674482 3.375527
2016 3 0.008434795 -0.8838717 -0.8754369 3.404634
2016 4 -0.8199623 -0.9707196 -1.790682 3.304963
2016 5 -2.428602 -0.9468434 -3.375446 3.224466
2016 6 -3.625607 -0.6695584 -4.295165 3.342486
2016 7 -3.098078 -0.3302034 -3.428282 3.34385
2016 8 -2.248481 0.008135771 -2.240345 3.380035
2016 9 -0.6547935 0.1637038 -0.4910897 3.38245
2016 10 1.519789 0.09104792 1.610837 3.355735
2016 11 2.561961 -0.1989055 2.363055 3.523689
2016 12 2.064031 -0.5947864 1.469245 3.687857
2017 1 1.446382 -0.8762911 0.5700906 3.439937
2017 2 0.8701634 -0.8413514 0.02881198 3.532962
2017 3 0.1615523 -0.879463 -0.7179108 3.44938
2017 4 -0.7205937 -0.9652796 -1.685873 3.345186
2017 5 -2.755548 -0.9441248 -3.699672 3.276765
2017 6 -3.637623 -0.669405 -4.307028 3.386381
2017 7 -2.939757 -0.3304334 -3.27019 3.389789
2017 8 -2.343129 0.008561555 -2.334567 3.424879
2017 9 -0.9190493 0.1638149 -0.7552344 3.420941
2017 10 1.529407 0.0900947 1.619502 3.409596
2017 11 2.38674 -0.1990585 2.187682 3.572088
2017 12 2.074233 -0.5944608 1.479772 3.72823
2018 1 1.928574 -0.8762911 1.052283 3.522418
2018 2 1.096633 -0.8413514 0.2552813 3.608833
2018 3 1.086882 -0.879463 0.2074191 3.515723
2018 4 -0.627344 -0.9652796 -1.592624 3.423907
2018 5 -2.755479 -0.9441248 -3.699604 3.347555
2018 6 -3.547278 -0.669405 -4.216683 3.451071
2018 7 -3.178261 -0.3304334 -3.508694 3.469673
2018 8 -2.778443 0.008561555 -2.769882 3.496009
2018 9 -0.6308543 0.1638149 -0.4670393 3.487858
2018 10 1.291615 0.0900947 1.38171 3.490681
2018 11 2.532602 -0.1990585 2.333543 3.646859
2018 12 2.127149 -0.5944608 1.532688 3.810077
2019 1 1.535176 -0.8762911 0.6588845 3.542733
2019 2 1.107829 -0.8413514 0.2664772 3.629746
2019 3 0.1481661 -0.879463 -0.7312969 3.531808
2019 4 -0.9692255 -0.9652796 -1.934505 3.457578
2019 5 -2.760934 -0.9441248 -3.705058 3.371282
2019 6 -3.812729 -0.669405 -4.482134 3.47169
2019 7 -3.409506 -0.3304334 -3.73994 3.50269
2019 8 -2.167822 0.008561555 -2.15926 3.513361
2019 9 -0.3511114 0.1638149 -0.1872964 3.522846
2019 10 1.808289 0.0900947 1.898384 3.518831
2019 11 2.566219 -0.1990585 2.36716 3.666763
2019 12 2.113901 -0.5944608 1.51944 3.847196
2020 1 1.513966 -0.8762911 0.6376752 3.403685
2020 2 1.115335 -0.8418256 0.2735093 3.262423
2020 3 0.2313579 -0.8838717 -0.6525138 3.179952
2020 4 -0.6635324 -0.9707196 -1.634252 3.041445
2020 5 -2.357404 -0.9468434 -3.304247 3.031067
2020 6 -3.616322 -0.6695584 -4.28588 3.308978
2020 7 -3.485192 -0.3302034 -3.815395 3.332798
2020 8 -2.465641 0.008135771 -2.457505 3.398438
2020 9 -0.5354695 0.1637038 -0.3717658 3.427024
2020 10 1.712353 0.09104792 1.803401 3.409447
2020 11 2.497672 -0.1989055 2.298766 3.528157
2020 12 2.163722 -0.5947864 1.568935 3.85521
