year month land ocean net foss
2015 1 2.361879 0.2316165 2.593495 0.2449993
2015 2 3.333661 0.2546642 3.588325 0.2556789
2015 3 4.993663 0.2300639 5.223727 0.2487287
2015 4 3.910239 0.1552132 4.065452 0.2486324
2015 5 1.572408 0.06324824 1.635656 0.2444999
2015 6 -0.3266908 0.06912634 -0.2575645 0.2520607
2015 7 -1.194386 0.1410347 -1.053351 0.2496629
2015 8 -1.305231 0.1434906 -1.16174 0.2489273
2015 9 -1.081162 0.1125019 -0.9686596 0.2529453
2015 10 -0.5888883 0.08166758 -0.5072207 0.2516755
2015 11 0.2669017 0.09770308 0.3646047 0.2536048
2015 12 1.607991 0.1304498 1.738441 0.2520885
2016 1 3.00228 0.2316165 3.233897 0.2520142
2016 2 4.833736 0.25438 5.088116 0.256347
2016 3 6.212455 0.2279098 6.440365 0.2570478
2016 4 4.42564 0.1521002 4.577741 0.25581
2016 5 1.815261 0.0615884 1.87685 0.2525157
2016 6 -0.202304 0.06968118 -0.1326228 0.2598463
2016 7 -1.041327 0.1420235 -0.8993035 0.2564721
2016 8 -1.202508 0.1428299 -1.059678 0.2576456
2016 9 -0.9603637 0.1113026 -0.8490612 0.2608449
2016 10 -0.4685741 0.08147905 -0.387095 0.2590874
2016 11 0.8386652 0.09855481 0.93722 0.2621776
2016 12 2.265928 0.1319137 2.397841 0.2595574
2017 1 1.958914 0.2316165 2.190531 0.2577525
2017 2 3.560749 0.2546642 3.815413 0.2686756
2017 3 4.716452 0.2300639 4.946516 0.2621219
2017 4 3.5955 0.1552132 3.750713 0.2604559
2017 5 1.349653 0.06324824 1.412902 0.2581556
2017 6 -0.2523477 0.06912634 -0.1832213 0.2647547
2017 7 -1.105914 0.1410347 -0.9648794 0.2614535
2017 8 -1.334139 0.1434906 -1.190648 0.2625563
2017 9 -1.4191 0.1125019 -1.306598 0.2652195
2017 10 -0.9445798 0.08166758 -0.8629122 0.2643514
2017 11 0.3088353 0.09770308 0.4065384 0.2670607
2017 12 1.658286 0.1304498 1.788736 0.2639772
2018 1 2.786916 0.2316165 3.018533 0.2644389
2018 2 3.159384 0.2546642 3.414048 0.2751901
2018 3 4.612348 0.2300639 4.842412 0.2680253
2018 4 2.708706 0.1552132 2.863919 0.2669741
2018 5 0.9080964 0.06324824 0.9713446 0.2642939
2018 6 -0.473053 0.06912634 -0.4039267 0.2704889
2018 7 -1.277546 0.1410347 -1.136511 0.2677956
2018 8 -1.474252 0.1434906 -1.330761 0.2683413
2018 9 -1.138017 0.1125019 -1.025515 0.2707461
2018 10 -0.6815803 0.08166758 -0.5999127 0.270978
2018 11 0.5531697 0.09770308 0.6508728 0.2732916
2018 12 1.603883 0.1304498 1.734332 0.2703115
2019 1 1.929961 0.2316165 2.161578 0.2704523
2019 2 3.823215 0.2546642 4.077879 0.2814821
2019 3 5.650182 0.2300639 5.880246 0.2736145
2019 4 3.951736 0.1552132 4.10695 0.2735338
2019 5 1.637203 0.06324824 1.700451 0.2702253
2019 6 -0.3013278 0.06912634 -0.2322015 0.2761319
2019 7 -1.196501 0.1410347 -1.055466 0.2743151
2019 8 -1.516624 0.1434906 -1.373133 0.2739264
2019 9 -1.405339 0.1125019 -1.292838 0.2772733
2019 10 -0.9491925 0.08166758 -0.867525 0.2771676
2019 11 -0.147472 0.09770308 -0.04976895 0.2790755
2019 12 1.051712 0.1304498 1.182161 0.276961
2020 1 1.863715 0.2316165 2.095332 0.2708073
2020 2 4.497089 0.25438 4.751469 0.2755976
2020 3 5.642508 0.2279098 5.870417 0.2443322
2020 4 3.634794 0.1521002 3.786894 0.2125454
2020 5 1.193492 0.0615884 1.25508 0.2151328
2020 6 -0.2911707 0.06968118 -0.2214896 0.2435561
2020 7 -1.107704 0.1420235 -0.9656805 0.2471091
2020 8 -1.435069 0.1428299 -1.292239 0.2440915
2020 9 -1.202777 0.1113026 -1.091475 0.255417
2020 10 -0.9421668 0.08147905 -0.8606878 0.2512828
2020 11 0.3269824 0.09855481 0.4255373 0.2476449
2020 12 1.542633 0.1319137 1.674547 0.250975
