year month land ocean net foss
2015 1 1.368612 0.1375522 1.506164 1.062129
2015 2 0.7631166 0.1388139 0.9019305 1.088648
2015 3 0.4420382 0.1740258 0.616064 1.066069
2015 4 0.2692688 0.1003734 0.3696422 0.9749839
2015 5 -3.463193 -0.04885637 -3.51205 0.9040669
2015 6 -9.894549 -0.3057232 -10.20027 0.9303582
2015 7 -7.562443 -0.3555822 -7.918025 0.8691966
2015 8 -2.867101 -0.2376977 -3.104799 0.8904645
2015 9 1.749135 -0.1682327 1.580903 0.916969
2015 10 3.704659 -0.1848736 3.519785 0.9828725
2015 11 2.750139 -0.1612099 2.588929 1.034691
2015 12 1.584116 -0.02592264 1.558194 1.086909
2016 1 1.362349 0.1375522 1.499901 1.073897
2016 2 0.7412999 0.138287 0.8795869 1.066947
2016 3 0.434728 0.1720094 0.6067374 1.084046
2016 4 -0.2396844 0.09891608 -0.1407683 0.9870936
2016 5 -4.074202 -0.04914615 -4.123348 0.9194386
2016 6 -10.75945 -0.3054904 -11.06494 0.9450597
2016 7 -8.439387 -0.3546657 -8.794053 0.8789672
2016 8 -2.513671 -0.2364812 -2.750153 0.9087468
2016 9 2.103853 -0.1673162 1.936537 0.9306825
2016 10 3.981543 -0.1841431 3.7974 0.9954386
2016 11 2.745117 -0.1607882 2.584328 1.051872
2016 12 1.640011 -0.02458691 1.615424 1.099845
2017 1 1.415355 0.1375522 1.552907 1.090822
2017 2 0.829514 0.1388139 0.9683279 1.118032
2017 3 0.4723131 0.1740258 0.6463389 1.100015
2017 4 0.4618455 0.1003734 0.5622189 0.9991655
2017 5 -3.262649 -0.04885637 -3.311506 0.9354934
2017 6 -10.33683 -0.3057232 -10.64255 0.9601952
2017 7 -8.955664 -0.3555822 -9.311246 0.8926547
2017 8 -3.471942 -0.2376977 -3.709639 0.924146
2017 9 1.901938 -0.1682327 1.733706 0.9430197
2017 10 3.835022 -0.1848736 3.650148 1.012617
2017 11 2.880216 -0.1612099 2.719006 1.066346
2017 12 1.636983 -0.02592264 1.61106 1.112555
2018 1 1.375543 0.1375522 1.513095 1.109346
2018 2 0.8314186 0.1388139 0.9702324 1.133901
2018 3 0.7925064 0.1740258 0.9665322 1.115205
2018 4 0.6429553 0.1003734 0.7433287 1.016216
2018 5 -3.380385 -0.04885637 -3.429241 0.9500336
2018 6 -9.911614 -0.3057232 -10.21734 0.9745197
2018 7 -8.793163 -0.3555822 -9.148746 0.9082754
2018 8 -4.168052 -0.2376977 -4.40575 0.939783
2018 9 1.724671 -0.1682327 1.556438 0.9552903
2018 10 3.89834 -0.1848736 3.713466 1.031075
2018 11 2.769148 -0.1612099 2.607938 1.081318
2018 12 1.606996 -0.02592264 1.581073 1.128882
2019 1 1.363408 0.1375522 1.50096 1.082298
2019 2 0.7668849 0.1388139 0.9056988 1.106097
2019 3 0.4055528 0.1740258 0.5795787 1.085859
2019 4 0.1533985 0.1003734 0.2537719 0.9943374
2019 5 -3.28994 -0.04885637 -3.338796 0.9271853
2019 6 -10.38711 -0.3057232 -10.69283 0.9496777
2019 7 -7.863958 -0.3555822 -8.21954 0.8888323
2019 8 -3.869363 -0.2376977 -4.107061 0.9164477
2019 9 1.774277 -0.1682327 1.606044 0.9340754
2019 10 3.729562 -0.1848736 3.544688 1.006548
2019 11 2.832053 -0.1612099 2.670844 1.052868
2019 12 1.605343 -0.02592264 1.57942 1.10334
2020 1 1.380616 0.1375522 1.518168 1.025898
2020 2 0.7185205 0.138287 0.8568075 1.035281
2020 3 0.478854 0.1720094 0.6508634 1.026106
2020 4 0.3686161 0.09891608 0.4675321 0.8129408
2020 5 -3.732756 -0.04914615 -3.781902 0.7712612
2020 6 -10.1938 -0.3054904 -10.49929 0.8752833
2020 7 -8.808194 -0.3546657 -9.162859 0.8247841
2020 8 -3.665674 -0.2364812 -3.902156 0.8632668
2020 9 2.078288 -0.1673162 1.910971 0.9004277
2020 10 3.999256 -0.1841431 3.815113 0.9439611
2020 11 2.761444 -0.1607882 2.600656 0.9737603
2020 12 1.600077 -0.02458691 1.57549 1.109142
