year month land ocean net foss
2015 1 0 -0.01349115 -0.01349115 3.27457e-05
2015 2 0 -0.009761802 -0.009761802 3.27457e-05
2015 3 0 -0.02469413 -0.02469413 3.27457e-05
2015 4 0 -0.02332104 -0.02332104 3.27457e-05
2015 5 0 -0.01920631 -0.01920631 3.27457e-05
2015 6 0 -0.005083632 -0.005083632 3.27457e-05
2015 7 0 -0.002989786 -0.002989786 3.27457e-05
2015 8 0 -0.0004550024 -0.0004550024 3.27457e-05
2015 9 0 0.001070251 0.001070251 3.27457e-05
2015 10 0 0.001381781 0.001381781 3.27457e-05
2015 11 0 0.001775453 0.001775453 3.27457e-05
2015 12 0 0.001845009 0.001845009 3.27457e-05
2016 1 0 -0.01349115 -0.01349115 3.30883e-05
2016 2 0 -0.009737125 -0.009737125 3.30883e-05
2016 3 0 -0.02497943 -0.02497943 3.30883e-05
2016 4 0 -0.0237287 -0.0237287 3.30883e-05
2016 5 0 -0.0194239 -0.0194239 3.30883e-05
2016 6 0 -0.005102739 -0.005102739 3.30883e-05
2016 7 0 -0.002981696 -0.002981696 3.30883e-05
2016 8 0 -0.0004519672 -0.0004519672 3.30883e-05
2016 9 0 0.001063758 0.001063758 3.30883e-05
2016 10 0 0.001378597 0.001378597 3.30883e-05
2016 11 0 0.001772647 0.001772647 3.30883e-05
2016 12 0 0.001834237 0.001834237 3.30883e-05
2017 1 0 -0.01349115 -0.01349115 3.511997e-05
2017 2 0 -0.009761802 -0.009761802 3.511997e-05
2017 3 0 -0.02469413 -0.02469413 3.511997e-05
2017 4 0 -0.02332104 -0.02332104 3.511997e-05
2017 5 0 -0.01920631 -0.01920631 3.511997e-05
2017 6 0 -0.005083632 -0.005083632 3.511997e-05
2017 7 0 -0.002989786 -0.002989786 3.511997e-05
2017 8 0 -0.0004550024 -0.0004550024 3.511997e-05
2017 9 0 0.001070251 0.001070251 3.511997e-05
2017 10 0 0.001381781 0.001381781 3.511997e-05
2017 11 0 0.001775453 0.001775453 3.511997e-05
2017 12 0 0.001845009 0.001845009 3.511997e-05
2018 1 0 -0.01349115 -0.01349115 3.530905e-05
2018 2 0 -0.009761802 -0.009761802 3.530905e-05
2018 3 0 -0.02469413 -0.02469413 3.530905e-05
2018 4 0 -0.02332104 -0.02332104 3.530905e-05
2018 5 0 -0.01920631 -0.01920631 3.530905e-05
2018 6 0 -0.005083632 -0.005083632 3.530905e-05
2018 7 0 -0.002989786 -0.002989786 3.530905e-05
2018 8 0 -0.0004550024 -0.0004550024 3.530905e-05
2018 9 0 0.001070251 0.001070251 3.530905e-05
2018 10 0 0.001381781 0.001381781 3.530905e-05
2018 11 0 0.001775453 0.001775453 3.530905e-05
2018 12 0 0.001845009 0.001845009 3.530905e-05
2019 1 0 -0.01349115 -0.01349115 3.526295e-05
2019 2 0 -0.009761802 -0.009761802 3.526295e-05
2019 3 0 -0.02469413 -0.02469413 3.526295e-05
2019 4 0 -0.02332104 -0.02332104 3.526295e-05
2019 5 0 -0.01920631 -0.01920631 3.526295e-05
2019 6 0 -0.005083632 -0.005083632 3.526295e-05
2019 7 0 -0.002989786 -0.002989786 3.526295e-05
2019 8 0 -0.0004550024 -0.0004550024 3.526295e-05
2019 9 0 0.001070251 0.001070251 3.526295e-05
2019 10 0 0.001381781 0.001381781 3.526295e-05
2019 11 0 0.001775453 0.001775453 3.526295e-05
2019 12 0 0.001845009 0.001845009 3.526295e-05
2020 1 0 -0.01349115 -0.01349115 3.662938e-05
2020 2 0 -0.009737125 -0.009737125 3.299737e-05
2020 3 0 -0.02497943 -0.02497943 2.158182e-05
2020 4 0 -0.0237287 -0.0237287 6.032638e-06
2020 5 0 -0.0194239 -0.0194239 7.637201e-06
2020 6 0 -0.005102739 -0.005102739 7.82749e-06
2020 7 0 -0.002981696 -0.002981696 1.04577e-05
2020 8 0 -0.0004519672 -0.0004519672 1.220145e-05
2020 9 0 0.001063758 0.001063758 1.261379e-05
2020 10 0 0.001378597 0.001378597 1.323225e-05
2020 11 0 0.001772647 0.001772647 1.43893e-05
2020 12 0 0.001834237 0.001834237 1.518737e-05
