year month land ocean net foss
2015 1 -2.209695 -0.2195718 -2.429267 0.06646022
2015 2 -2.182722 -0.2034824 -2.386204 0.0693564
2015 3 -2.077081 -0.1821849 -2.259266 0.06876264
2015 4 -0.684536 -0.06223847 -0.7467745 0.06869829
2015 5 -0.2425131 -0.04452209 -0.2870352 0.06811888
2015 6 -0.4700517 -0.1512733 -0.621325 0.06996243
2015 7 0.1424057 -0.2239807 -0.08157499 0.06943513
2015 8 1.124318 -0.1465454 0.9777725 0.07030077
2015 9 2.894385 -0.02468305 2.869702 0.07107608
2015 10 3.684692 -0.02134231 3.66335 0.0701787
2015 11 2.454349 -0.08830373 2.366046 0.07039963
2015 12 -0.332175 -0.08318628 -0.4153613 0.06974113
2016 1 -1.724568 -0.2195718 -1.944139 0.06601396
2016 2 -2.252659 -0.202416 -2.455075 0.06718234
2016 3 -2.194908 -0.1785455 -2.373454 0.06865947
2016 4 -0.733531 -0.05939887 -0.7929299 0.06833468
2016 5 -0.6040333 -0.04514493 -0.6491782 0.06790196
2016 6 -0.3416354 -0.1525923 -0.4942277 0.06971892
2016 7 0.3846474 -0.2221693 0.1624782 0.06888684
2016 8 1.379203 -0.1420725 1.237131 0.07028901
2016 9 2.766341 -0.02220546 2.744135 0.07080784
2016 10 3.171001 -0.02289716 3.148104 0.06970766
2016 11 1.829075 -0.0898073 1.739268 0.07032442
2016 12 -0.8262589 -0.08265281 -0.9089117 0.06936062
2017 1 -1.901958 -0.2195718 -2.121529 0.06694117
2017 2 -2.668149 -0.2034824 -2.871631 0.06999768
2017 3 -2.623728 -0.1821849 -2.805913 0.06952268
2017 4 -1.264306 -0.06223847 -1.326545 0.06903451
2017 5 -1.082263 -0.04452209 -1.126785 0.06892966
2017 6 -0.8868721 -0.1512733 -1.038145 0.0706072
2017 7 -0.148379 -0.2239807 -0.3723597 0.06974656
2017 8 0.8164122 -0.1465454 0.6698668 0.07119862
2017 9 3.03674 -0.02468305 3.012057 0.07160253
2017 10 3.47413 -0.02134231 3.452788 0.07069567
2017 11 1.624567 -0.08830373 1.536263 0.07122215
2017 12 -1.205272 -0.08318628 -1.288459 0.07007465
2018 1 -1.745582 -0.2195718 -1.965154 0.06718062
2018 2 -2.683206 -0.2034824 -2.886688 0.07010958
2018 3 -1.809939 -0.1821849 -1.992124 0.06947224
2018 4 -1.392056 -0.06223847 -1.454294 0.06919584
2018 5 -1.546746 -0.04452209 -1.591268 0.06900337
2018 6 -1.030087 -0.1512733 -1.18136 0.07058093
2018 7 -0.1243753 -0.2239807 -0.348356 0.06989119
2018 8 0.8804288 -0.1465454 0.7338834 0.07123173
2018 9 2.596516 -0.02468305 2.571833 0.07147435
2018 10 3.183318 -0.02134231 3.161975 0.07090978
2018 11 2.118399 -0.08830373 2.030095 0.07127386
2018 12 -0.8309881 -0.08318628 -0.9141744 0.07009559
2019 1 -2.129676 -0.2195718 -2.349248 0.06784597
2019 2 -2.145213 -0.2034824 -2.348695 0.07080561
2019 3 -1.995802 -0.1821849 -2.177987 0.06996011
2019 4 -0.6735349 -0.06223847 -0.7357733 0.07004038
2019 5 -0.768074 -0.04452209 -0.8125961 0.06966076
2019 6 -0.5310643 -0.1512733 -0.6823376 0.07109315
2019 7 0.4765698 -0.2239807 0.2525891 0.07072858
2019 8 1.541166 -0.1465454 1.394621 0.0718096
2019 9 3.276195 -0.02468305 3.251512 0.07223828
2019 10 3.455972 -0.02134231 3.43463 0.07160328
2019 11 1.902186 -0.08830373 1.813882 0.07185804
2019 12 -0.6592549 -0.08318628 -0.7424411 0.07085077
2020 1 -2.032028 -0.2195718 -2.2516 0.07208808
2020 2 -2.577811 -0.202416 -2.780227 0.06821984
2020 3 -2.715817 -0.1785455 -2.894362 0.06114651
2020 4 -1.537737 -0.05939887 -1.597135 0.0494478
2020 5 -1.411053 -0.04514493 -1.456198 0.05126901
2020 6 -1.034937 -0.1525923 -1.187529 0.059661
2020 7 0.08292273 -0.2221693 -0.1392465 0.05932539
2020 8 0.4348044 -0.1420725 0.2927319 0.05952218
2020 9 3.244445 -0.02220546 3.22224 0.061932
2020 10 3.885441 -0.02289716 3.862544 0.06348423
2020 11 2.40776 -0.0898073 2.317953 0.0642695
2020 12 -0.7661777 -0.08265281 -0.8488305 0.06575148
