year month land ocean net foss
2015 1 3.776265 0.05769571 3.833961 8.656976
2015 2 1.912316 0.7475987 2.659915 8.923629
2015 3 2.309375 0.7272131 3.036588 8.660329
2015 4 -0.3413066 -0.2594409 -0.6007476 8.390098
2015 5 -12.66294 -1.349978 -14.01292 8.111184
2015 6 -27.35962 -2.286716 -29.64634 8.395776
2015 7 -27.38845 -2.063911 -29.45236 8.317251
2015 8 -12.28914 -1.018382 -13.30752 8.33631
2015 9 2.051343 -0.4444061 1.606937 8.445909
2015 10 9.439058 -0.5296126 8.909445 8.477225
2015 11 9.272795 -1.062118 8.210677 8.862518
2015 12 7.997082 -1.171578 6.825504 9.254607
2016 1 5.3081 0.05769571 5.365796 8.653587
2016 2 2.173086 0.750033 2.923119 8.654733
2016 3 1.602071 0.7006715 2.302742 8.699523
2016 4 -1.043195 -0.3003911 -1.343586 8.387591
2016 5 -12.90217 -1.381315 -14.28349 8.149834
2016 6 -28.73853 -2.299519 -31.03805 8.414581
2016 7 -28.36287 -2.056941 -30.41981 8.296068
2016 8 -12.92513 -1.007183 -13.93231 8.38592
2016 9 0.9554067 -0.4427503 0.5126564 8.45692
2016 10 7.592494 -0.5330018 7.059492 8.479166
2016 11 8.309045 -1.062708 7.246338 8.900313
2016 12 7.049072 -1.151673 5.897398 9.243781
2017 1 4.156677 0.05769571 4.214373 8.777089
2017 2 0.8041004 0.7475987 1.551699 9.048277
2017 3 0.5925508 0.7272131 1.319764 8.805184
2017 4 -0.7389277 -0.2594409 -0.9983686 8.48009
2017 5 -12.52143 -1.349978 -13.8714 8.273922
2017 6 -27.59044 -2.286716 -29.87715 8.518714
2017 7 -28.79293 -2.063911 -30.85684 8.402178
2017 8 -13.07907 -1.018382 -14.09745 8.491594
2017 9 1.187138 -0.4444061 0.7427317 8.546336
2017 10 8.382478 -0.5296126 7.852866 8.605476
2017 11 8.264353 -1.062118 7.202235 9.01125
2017 12 6.709079 -1.171578 5.537501 9.335563
2018 1 6.492029 0.05769571 6.549725 8.976016
2018 2 2.378546 0.7475987 3.126145 9.231081
2018 3 4.29574 0.7272131 5.022953 8.967436
2018 4 0.1357255 -0.2594409 -0.1237154 8.670447
2018 5 -12.45678 -1.349978 -13.80675 8.44524
2018 6 -26.51809 -2.286716 -28.80481 8.67697
2018 7 -27.65681 -2.063911 -29.72072 8.591611
2018 8 -14.04209 -1.018382 -15.06047 8.663099
2018 9 2.294772 -0.4444061 1.850366 8.704536
2018 10 9.093792 -0.5296126 8.564179 8.801407
2018 11 9.006754 -1.062118 7.944635 9.18961
2018 12 7.122357 -1.171578 5.950778 9.529523
2019 1 4.994032 0.05769571 5.051728 8.98519
2019 2 2.420148 0.7475987 3.167747 9.240892
2019 3 2.110812 0.7272131 2.838026 8.964415
2019 4 -0.7441073 -0.2594409 -1.003548 8.713832
2019 5 -11.35669 -1.349978 -12.70667 8.466773
2019 6 -27.91515 -2.286716 -30.20187 8.688566
2019 7 -27.59141 -2.063911 -29.65532 8.637478
2019 8 -14.47361 -1.018382 -15.49199 8.671798
2019 9 1.59711 -0.4444061 1.152704 8.750889
2019 10 9.406531 -0.5296126 8.876918 8.828767
2019 11 9.709815 -1.062118 8.647696 9.196216
2019 12 8.040579 -1.171578 6.869001 9.57437
2020 1 5.219411 0.05769571 5.277107 8.679617
2020 2 1.103702 0.750033 1.853735 8.457677
2020 3 1.039761 0.7006715 1.740433 8.085311
2020 4 -0.4711349 -0.3003911 -0.771526 7.344425
2020 5 -11.21852 -1.381315 -12.59984 7.372794
2020 6 -26.38325 -2.299519 -28.68277 8.141753
2020 7 -28.31965 -2.056941 -30.37659 8.139084
2020 8 -13.47089 -1.007183 -14.47807 8.282947
2020 9 4.199069 -0.4427503 3.756319 8.479585
2020 10 9.912115 -0.5330018 9.379113 8.49696
2020 11 8.220296 -1.062708 7.157589 8.753376
2020 12 6.844638 -1.151673 5.692965 9.522416
