year month land ocean net foss
2015 1 2.088971 -0.1147785 1.974192 1.865727
2015 2 1.578453 -0.02800084 1.550452 1.919316
2015 3 0.9810449 0.04347203 1.024517 1.828884
2015 4 -0.4904162 0.02317346 -0.4672428 1.770597
2015 5 -5.187396 -0.1247126 -5.312109 1.703554
2015 6 -8.384068 -0.3920679 -8.776136 1.76214
2015 7 -8.380892 -0.4140077 -8.7949 1.751881
2015 8 -3.265422 -0.1105675 -3.375989 1.744297
2015 9 0.334654 0.0109597 0.3456137 1.773223
2015 10 3.765931 0.01878553 3.784716 1.77434
2015 11 3.653088 0.01979097 3.672879 1.860989
2015 12 2.754193 -0.03498833 2.719204 1.951653
2016 1 2.131734 -0.1147785 2.016956 1.858563
2016 2 1.516072 -0.02619472 1.489877 1.855693
2016 3 0.9095787 0.04484602 0.9544247 1.832372
2016 4 -1.25492 0.02086815 -1.234052 1.76504
2016 5 -5.37456 -0.1321144 -5.506675 1.705686
2016 6 -8.655012 -0.3993195 -9.054332 1.760806
2016 7 -8.766815 -0.4144687 -9.181284 1.741402
2016 8 -3.86194 -0.1086712 -3.970611 1.749515
2016 9 0.4501795 0.01168398 0.4618635 1.770474
2016 10 3.87423 0.02029368 3.894524 1.768081
2016 11 3.839007 0.0194589 3.858466 1.863973
2016 12 2.965063 -0.035676 2.929387 1.943733
2017 1 2.329683 -0.1147785 2.214905 1.878454
2017 2 1.718219 -0.02800084 1.690218 1.93412
2017 3 0.9797168 0.04347203 1.023189 1.849257
2017 4 -0.9589434 0.02317346 -0.9357699 1.778333
2017 5 -5.530652 -0.1247126 -5.655365 1.726968
2017 6 -8.572219 -0.3920679 -8.964286 1.777415
2017 7 -8.05201 -0.4140077 -8.466018 1.757943
2017 8 -3.494788 -0.1105675 -3.605356 1.766423
2017 9 -0.1082379 0.0109597 -0.09727815 1.784025
2017 10 3.141709 0.01878553 3.160494 1.788801
2017 11 3.841475 0.01979097 3.861266 1.881976
2017 12 2.671999 -0.03498833 2.63701 1.956501
2018 1 2.137876 -0.1147785 2.023098 1.914762
2018 2 1.629393 -0.02800084 1.601392 1.966035
2018 3 1.276039 0.04347203 1.319511 1.876829
2018 4 -0.6687491 0.02317346 -0.6455756 1.811479
2018 5 -5.580335 -0.1247126 -5.705048 1.756987
2018 6 -8.631936 -0.3920679 -9.024004 1.804784
2018 7 -9.43861 -0.4140077 -9.852618 1.791907
2018 8 -4.270775 -0.1105675 -4.381342 1.797644
2018 9 0.9999118 0.0109597 1.010872 1.810355
2018 10 4.229846 0.01878553 4.248632 1.82378
2018 11 3.934394 0.01979097 3.954185 1.912784
2018 12 2.754004 -0.03498833 2.719015 1.98973
2019 1 2.08503 -0.1147785 1.970251 1.900478
2019 2 1.671915 -0.02800084 1.643915 1.951071
2019 3 1.023909 0.04347203 1.067381 1.859771
2019 4 -0.879622 0.02317346 -0.8564485 1.805875
2019 5 -4.801844 -0.1247126 -4.926557 1.747045
2019 6 -8.236845 -0.3920679 -8.628913 1.791195
2019 7 -9.372843 -0.4140077 -9.78685 1.786867
2019 8 -4.822728 -0.1105675 -4.933295 1.784813
2019 9 -0.4202743 0.0109597 -0.4093146 1.804541
2019 10 3.565023 0.01878553 3.583808 1.814433
2019 11 3.904677 0.01979097 3.924468 1.898349
2019 12 2.845618 -0.03498833 2.810629 1.982391
2020 1 2.222683 -0.1147785 2.107905 1.809863
2020 2 1.62117 -0.02619472 1.594976 1.764404
2020 3 1.037817 0.04484602 1.082663 1.658378
2020 4 -0.9884281 0.02086815 -0.96756 1.492923
2020 5 -4.583694 -0.1321144 -4.715808 1.488994
2020 6 -7.705478 -0.3993195 -8.104798 1.663009
2020 7 -9.260085 -0.4144687 -9.674554 1.66342
2020 8 -4.573471 -0.1086712 -4.682142 1.681924
2020 9 0.9473108 0.01168398 0.9589948 1.721973
2020 10 4.104392 0.02029368 4.124686 1.716814
2020 11 3.744613 0.0194589 3.764072 1.764036
2020 12 2.696671 -0.035676 2.660995 1.962919
