year month land ocean net foss
2015 1 0 -0.2804794 -0.2804794 2.565802e-05
2015 2 0 -0.36366 -0.36366 2.565802e-05
2015 3 0 -0.5000698 -0.5000698 2.565802e-05
2015 4 0 -0.2498834 -0.2498834 2.565802e-05
2015 5 0 -0.0856123 -0.0856123 2.565802e-05
2015 6 0 -0.02490735 -0.02490735 2.565802e-05
2015 7 0 0.05456468 0.05456468 2.565802e-05
2015 8 0 0.05555418 0.05555418 2.565802e-05
2015 9 0 0.04189584 0.04189584 2.565802e-05
2015 10 0 0.03074001 0.03074001 2.565802e-05
2015 11 0 0.03802282 0.03802282 2.565802e-05
2015 12 0 0.003435839 0.003435839 2.565802e-05
2016 1 0 -0.2804794 -0.2804794 2.592646e-05
2016 2 0 -0.3644744 -0.3644744 2.592646e-05
2016 3 0 -0.5000552 -0.5000552 2.592646e-05
2016 4 0 -0.2489147 -0.2489147 2.592646e-05
2016 5 0 -0.08507913 -0.08507913 2.592646e-05
2016 6 0 -0.0247048 -0.0247048 2.592646e-05
2016 7 0 0.05393228 0.05393228 2.592646e-05
2016 8 0 0.05452592 0.05452592 2.592646e-05
2016 9 0 0.04081481 0.04081481 2.592646e-05
2016 10 0 0.03087074 0.03087074 2.592646e-05
2016 11 0 0.03923385 0.03923385 2.592646e-05
2016 12 0 0.003512346 0.003512346 2.592646e-05
2017 1 0 -0.2804794 -0.2804794 2.751839e-05
2017 2 0 -0.36366 -0.36366 2.751839e-05
2017 3 0 -0.5000698 -0.5000698 2.751839e-05
2017 4 0 -0.2498834 -0.2498834 2.751839e-05
2017 5 0 -0.0856123 -0.0856123 2.751839e-05
2017 6 0 -0.02490735 -0.02490735 2.751839e-05
2017 7 0 0.05456468 0.05456468 2.751839e-05
2017 8 0 0.05555418 0.05555418 2.751839e-05
2017 9 0 0.04189584 0.04189584 2.751839e-05
2017 10 0 0.03074001 0.03074001 2.751839e-05
2017 11 0 0.03802282 0.03802282 2.751839e-05
2017 12 0 0.003435839 0.003435839 2.751839e-05
2018 1 0 -0.2804794 -0.2804794 2.766655e-05
2018 2 0 -0.36366 -0.36366 2.766655e-05
2018 3 0 -0.5000698 -0.5000698 2.766655e-05
2018 4 0 -0.2498834 -0.2498834 2.766655e-05
2018 5 0 -0.0856123 -0.0856123 2.766655e-05
2018 6 0 -0.02490735 -0.02490735 2.766655e-05
2018 7 0 0.05456468 0.05456468 2.766655e-05
2018 8 0 0.05555418 0.05555418 2.766655e-05
2018 9 0 0.04189584 0.04189584 2.766655e-05
2018 10 0 0.03074001 0.03074001 2.766655e-05
2018 11 0 0.03802282 0.03802282 2.766655e-05
2018 12 0 0.003435839 0.003435839 2.766655e-05
2019 1 0 -0.2804794 -0.2804794 2.763042e-05
2019 2 0 -0.36366 -0.36366 2.763042e-05
2019 3 0 -0.5000698 -0.5000698 2.763042e-05
2019 4 0 -0.2498834 -0.2498834 2.763042e-05
2019 5 0 -0.0856123 -0.0856123 2.763042e-05
2019 6 0 -0.02490735 -0.02490735 2.763042e-05
2019 7 0 0.05456468 0.05456468 2.763042e-05
2019 8 0 0.05555418 0.05555418 2.763042e-05
2019 9 0 0.04189584 0.04189584 2.763042e-05
2019 10 0 0.03074001 0.03074001 2.763042e-05
2019 11 0 0.03802282 0.03802282 2.763042e-05
2019 12 0 0.003435839 0.003435839 2.763042e-05
2020 1 0 -0.2804794 -0.2804794 2.870109e-05
2020 2 0 -0.3644744 -0.3644744 2.585522e-05
2020 3 0 -0.5000552 -0.5000552 1.691052e-05
2020 4 0 -0.2489147 -0.2489147 4.726897e-06
2020 5 0 -0.08507913 -0.08507913 5.984158e-06
2020 6 0 -0.0247048 -0.0247048 6.133259e-06
2020 7 0 0.05393228 0.05393228 8.194173e-06
2020 8 0 0.05452592 0.05452592 9.560491e-06
2020 9 0 0.04081481 0.04081481 9.883582e-06
2020 10 0 0.03087074 0.03087074 1.036818e-05
2020 11 0 0.03923385 0.03923385 1.127479e-05
2020 12 0 0.003512346 0.003512346 1.190012e-05
