year month land ocean net foss
2015 1 0.1274313 -0.03527685 0.09215445 0.002527812
2015 2 0.1197439 -0.03527685 0.08446703 0.002592797
2015 3 0.1156164 -0.03593734 0.07967904 0.002451362
2015 4 0.1114354 -0.03521855 0.07621683 0.002412316
2015 5 0.09589442 -0.03262458 0.06326984 0.002305375
2015 6 -0.1651588 -0.0349759 -0.2001347 0.002394835
2015 7 -0.7211601 -0.03392805 -0.7550881 0.002412006
2015 8 -0.3333182 -0.03880458 -0.3721228 0.002434844
2015 9 0.05351174 -0.04634483 0.007166908 0.002419347
2015 10 0.1695506 -0.05601807 0.1135326 0.002408039
2015 11 0.155025 -0.05259721 0.1024278 0.002468519
2015 12 0.141723 -0.03694646 0.1047765 0.002506106
2016 1 0.1363694 -0.03527685 0.1010926 0.002481011
2016 2 0.1293433 -0.03527685 0.09406648 0.002475252
2016 3 0.1229228 -0.03593734 0.08698544 0.002414445
2016 4 0.1183823 -0.03521855 0.08316372 0.002372204
2016 5 0.09991836 -0.03262458 0.06729378 0.002267883
2016 6 -0.1755325 -0.0349759 -0.2105084 0.002355227
2016 7 -0.7142958 -0.03392805 -0.7482238 0.002371239
2016 8 -0.3349069 -0.03880458 -0.3737115 0.002401776
2016 9 0.02422503 -0.04634483 -0.0221198 0.002381815
2016 10 0.1744594 -0.05601807 0.1184413 0.002366771
2016 11 0.160947 -0.05259721 0.1083498 0.002431603
2016 12 0.1451161 -0.03694646 0.1081696 0.002461865
2017 1 0.137041 -0.03527685 0.1017641 0.002587076
2017 2 0.132515 -0.03527685 0.09723813 0.002656275
2017 3 0.1263397 -0.03593734 0.09040236 0.002517912
2017 4 0.1232971 -0.03521855 0.08807851 0.00247281
2017 5 0.1098712 -0.03262458 0.07724663 0.002369319
2017 6 -0.08462868 -0.0349759 -0.1196046 0.002457079
2017 7 -0.6262177 -0.03392805 -0.6601458 0.002470365
2017 8 -0.3136465 -0.03880458 -0.3524511 0.002503308
2017 9 0.07174917 -0.04634483 0.02540434 0.002482519
2017 10 0.1615294 -0.05601807 0.1055114 0.002471566
2017 11 0.1483442 -0.05259721 0.09574698 0.002536945
2017 12 0.1379077 -0.03694646 0.1009612 0.00256279
2018 1 0.1293588 -0.03527685 0.09408198 0.002646344
2018 2 0.1230746 -0.03527685 0.08779775 0.002715191
2018 3 0.115848 -0.03593734 0.07991069 0.002570867
2018 4 0.1119886 -0.03521855 0.07677002 0.002527554
2018 5 0.1001987 -0.03262458 0.06757413 0.002421672
2018 6 -0.2147117 -0.0349759 -0.2496876 0.002509248
2018 7 -0.6249925 -0.03392805 -0.6589205 0.00252548
2018 8 -0.4320824 -0.03880458 -0.470887 0.002557368
2018 9 0.06936467 -0.04634483 0.02301984 0.002533574
2018 10 0.161815 -0.05601807 0.105797 0.002527329
2018 11 0.1484262 -0.05259721 0.09582901 0.002591562
2018 12 0.1375191 -0.03694646 0.1005727 0.002618322
2019 1 0.130072 -0.03527685 0.0947951 0.002600819
2019 2 0.1234309 -0.03527685 0.08815407 0.002667966
2019 3 0.1186221 -0.03593734 0.08268477 0.002524303
2019 4 0.1146562 -0.03521855 0.07943765 0.002487749
2019 5 0.1010084 -0.03262458 0.06838383 0.002380292
2019 6 -0.2395179 -0.0349759 -0.2744938 0.002463765
2019 7 -0.7151484 -0.03392805 -0.7490764 0.002485582
2019 8 -0.4574378 -0.03880458 -0.4962424 0.002512515
2019 9 0.06360087 -0.04634483 0.01725604 0.002492213
2019 10 0.1754175 -0.05601807 0.1193994 0.002485361
2019 11 0.1597972 -0.05259721 0.1072 0.002545723
2019 12 0.1465201 -0.03694646 0.1095736 0.002574761
2020 1 0.1380469 -0.03527685 0.1027701 0.002579204
2020 2 0.1315938 -0.03527685 0.09631695 0.002567936
2020 3 0.1262958 -0.03593734 0.09035844 0.002115403
2020 4 0.1222287 -0.03521855 0.08701015 0.001641405
2020 5 0.08515129 -0.03262458 0.05252671 0.001625746
2020 6 -0.275833 -0.0349759 -0.3108089 0.001825921
2020 7 -0.586967 -0.03392805 -0.620895 0.001899097
2020 8 -0.4574618 -0.03880458 -0.4962664 0.001939202
2020 9 0.03479623 -0.04634483 -0.0115486 0.001961891
2020 10 0.1868484 -0.05601807 0.1308304 0.001951571
2020 11 0.1709147 -0.05259721 0.1183174 0.001984773
2020 12 0.1573511 -0.03694646 0.1204046 0.002124117
