year month land ocean net foss
2015 1 -0.6577667 0.09707066 -0.5606961 0.2356733
2015 2 -0.6088883 -0.0749887 -0.683877 0.2532219
2015 3 -0.5297766 -0.3223166 -0.8520932 0.2372777
2015 4 -0.2129276 -0.3872609 -0.6001885 0.2423079
2015 5 -0.02390817 -0.9209913 -0.9448995 0.2422721
2015 6 0.7696997 -0.9842651 -0.2145655 0.2538848
2015 7 0.1265009 -1.410423 -1.283922 0.2509241
2015 8 0.6558636 -1.635341 -0.9794776 0.2513851
2015 9 0.2666138 -1.545532 -1.278919 0.2564852
2015 10 0.4876553 -0.5830428 -0.09538754 0.2525893
2015 11 0.5174986 0.76973 1.287229 0.2551085
2015 12 -0.2912785 0.4032552 0.1119767 0.2469179
2016 1 0.3356325 0.2649963 0.6006288 0.2369094
2016 2 0.4051458 -0.07820492 0.3269408 0.2471038
2016 3 -0.6681182 -0.08524602 -0.7533642 0.2396524
2016 4 -0.07592189 -0.5718542 -0.647776 0.2436659
2016 5 0.178108 -0.7624947 -0.5843867 0.2446153
2016 6 0.4424436 -0.5445383 -0.1020947 0.2559884
2016 7 0.1737732 -0.3052047 -0.1314316 0.2517485
2016 8 -0.02440769 -2.013167 -2.037575 0.2544982
2016 9 -0.0653717 -1.360111 -1.425483 0.2584648
2016 10 -0.07376762 -0.3690697 -0.4428374 0.2538704
2016 11 -0.4655123 0.2390531 -0.2264592 0.2579171
2016 12 -0.3417341 0.3007768 -0.04095725 0.2482644
2017 1 -0.7592403 -0.04047629 -0.7997166 0.2391417
2017 2 -0.5504156 -0.02850115 -0.5789167 0.2572571
2017 3 -0.8040419 -0.04165227 -0.8456942 0.2413977
2017 4 -0.4125503 -1.060335 -1.472885 0.2448072
2017 5 -0.06560898 -0.856248 -0.921857 0.2470953
2017 6 0.2048054 -0.9863535 -0.7815481 0.257838
2017 7 0.5832132 -0.7228431 -0.1396299 0.2535984
2017 8 0.2391824 -1.723423 -1.48424 0.2564041
2017 9 0.4132087 -1.448357 -1.035149 0.2598481
2017 10 0.3088778 0.07209347 0.3809713 0.2562612
2017 11 0.4807156 0.5642406 1.044956 0.2598325
2017 12 0.6301099 0.1043218 0.7344316 0.249429
2018 1 -0.5023197 -0.1228544 -0.6251741 0.2391786
2018 2 -0.5815769 -0.1687946 -0.7503715 0.2567087
2018 3 -0.783636 -0.3092419 -1.092878 0.2401233
2018 4 -0.3592441 -0.8849559 -1.2442 0.2445719
2018 5 -0.1737617 -1.239809 -1.413571 0.246428
2018 6 0.2371766 -1.104426 -0.8672495 0.2566811
2018 7 0.679708 -1.266527 -0.5868186 0.2534002
2018 8 0.4995658 -1.426575 -0.9270092 0.2556063
2018 9 0.5796114 -1.18116 -0.6015483 0.2584218
2018 10 0.4816564 -0.3676094 0.1140471 0.2562492
2018 11 -0.2295354 0.5600612 0.3305258 0.2591067
2018 12 -0.2381797 0.1037999 -0.1343798 0.248659
2019 1 -0.4365264 0.07027479 -0.3662516 0.2414124
2019 2 -0.2414172 -0.2465619 -0.4879791 0.2591337
2019 3 -0.7681961 0.05396545 -0.7142307 0.2416137
2019 4 -0.4175324 -0.7190196 -1.136552 0.2475228
2019 5 0.103997 -0.5181953 -0.4141983 0.2486591
2019 6 0.7133851 -0.473126 0.2402591 0.2583765
2019 7 0.8497537 -0.549387 0.3003667 0.256448
2019 8 0.3585987 -0.9708671 -0.6122684 0.2574471
2019 9 0.4836267 -1.635373 -1.151746 0.2612756
2019 10 0.280239 0.04036266 0.3206017 0.2586081
2019 11 0.4003374 0.9463494 1.346687 0.2609652
2019 12 -0.3687275 0.5700218 0.2012943 0.2513829
2020 1 -0.7695349 -0.1030194 -0.8725542 0.2508444
2020 2 -0.4630445 -0.05666632 -0.5197108 0.2515879
2020 3 -0.5271774 -0.008375356 -0.5355527 0.2175463
2020 4 -0.5235246 -0.2689874 -0.7925119 0.1913057
2020 5 0.1372981 -0.2150516 -0.07775351 0.1979125
2020 6 0.4897258 -0.501281 -0.01155523 0.2324646
2020 7 0.7833065 -1.258664 -0.4753577 0.2308202
2020 8 0.5381469 -1.934448 -1.396302 0.2278511
2020 9 0.5713665 -1.308116 -0.7367491 0.2390561
2020 10 0.2213038 0.583297 0.8046008 0.2394487
2020 11 -0.04347553 1.002701 0.9592251 0.2406201
2020 12 -0.8410813 0.5292981 -0.3117832 0.2393538
