year month land ocean net foss
2015 1 0.8951902 0.005500565 0.9006908 0.1456044
2015 2 0.9370841 -0.03446048 0.9026237 0.1531096
2015 3 0.7745576 -0.09790119 0.6766564 0.1471558
2015 4 0.921334 -0.2311614 0.6901726 0.142458
2015 5 -0.2379954 -0.1919911 -0.4299864 0.1368614
2015 6 -5.264897 -0.3465464 -5.611444 0.1438592
2015 7 -7.591675 -0.2307888 -7.822464 0.1364539
2015 8 -3.902919 -0.1941112 -4.09703 0.1394384
2015 9 2.475568 -0.2638776 2.21169 0.1402917
2015 10 2.557427 -0.3523607 2.205067 0.1429574
2015 11 1.54459 -0.06569762 1.478892 0.1455564
2015 12 1.307758 0.06390399 1.371662 0.147985
2016 1 0.9342547 0.09904597 1.033301 0.1503146
2016 2 1.04713 -0.09076836 0.9563614 0.1535574
2016 3 0.760441 -0.07388325 0.6865577 0.152684
2016 4 0.1948747 -0.102969 0.09190574 0.1471969
2016 5 -0.01851154 -0.1744019 -0.1929134 0.1420658
2016 6 -7.380264 -0.1434856 -7.52375 0.1489919
2016 7 -9.028898 -0.1492183 -9.178116 0.1407984
2016 8 -2.792619 -0.2406399 -3.033259 0.1449577
2016 9 1.957333 -0.1146652 1.842668 0.145271
2016 10 2.927139 -0.1087915 2.818348 0.1477322
2016 11 1.655509 -0.08746491 1.568044 0.1510829
2016 12 1.16925 0.0274953 1.196745 0.1528994
2017 1 1.001556 0.09759448 1.099151 0.1546578
2017 2 0.6664585 -0.007326281 0.6591322 0.162727
2017 3 0.9792691 -0.05387999 0.9253891 0.1568435
2017 4 1.404758 -0.1969439 1.207814 0.151015
2017 5 0.2392653 -0.1051498 0.1341155 0.1463049
2017 6 -4.454354 -0.2743518 -4.728706 0.1530965
2017 7 -8.119384 -0.11603 -8.235414 0.1446764
2017 8 -3.238285 -0.2942343 -3.532519 0.1490113
2017 9 1.975878 -0.2194425 1.756436 0.1490384
2017 10 2.866151 -0.2542843 2.611867 0.1520523
2017 11 1.779257 -0.1430458 1.636211 0.1551448
2017 12 1.242794 -0.06438219 1.178412 0.1566038
2018 1 1.163444 -0.057264 1.10618 0.1602448
2018 2 1.628957 -0.0595662 1.56939 0.1682926
2018 3 1.318782 -0.09726068 1.221521 0.1619119
2018 4 1.18474 -0.04553323 1.139206 0.1564299
2018 5 0.3204785 -0.1447056 0.1757728 0.1512533
2018 6 -4.867281 -0.05091626 -4.918197 0.1580129
2018 7 -8.350794 -0.08472477 -8.435519 0.1498029
2018 8 -3.749702 -0.09093171 -3.840633 0.1540143
2018 9 1.326571 -0.09072667 1.235844 0.1537563
2018 10 2.850049 -0.05160282 2.798447 0.1575412
2018 11 1.354451 0.1004105 1.454862 0.1603544
2018 12 1.069842 0.0810598 1.150902 0.1619459
2019 1 1.076988 0.004025382 1.081013 0.1575052
2019 2 1.210625 -0.1160061 1.094619 0.1654286
2019 3 1.195094 -0.1062563 1.088837 0.1588541
2019 4 1.233071 -0.1540973 1.078974 0.1542643
2019 5 0.3293614 -0.08896647 0.2403949 0.1487761
2019 6 -6.280252 -0.06678721 -6.347039 0.1551391
2019 7 -9.472483 -0.1453934 -9.617876 0.1477086
2019 8 -3.310871 -0.1590757 -3.469946 0.1512846
2019 9 2.362697 -0.2266116 2.136086 0.1515438
2019 10 2.804325 -0.01385268 2.790472 0.1549422
2019 11 1.981769 0.0009742803 1.982743 0.157349
2019 12 1.484671 -0.0008776454 1.483793 0.159425
2020 1 1.058586 -0.03350176 1.025085 0.1520062
2020 2 1.012733 0.07171092 1.084444 0.1599596
2020 3 1.119542 0.01987861 1.139421 0.1520852
2020 4 0.6140834 0.03926656 0.6533499 0.1351555
2020 5 0.01073278 -0.05921964 -0.04848687 0.1302472
2020 6 -6.07308 -0.1715744 -6.244654 0.1429977
2020 7 -9.048585 -0.06163059 -9.110215 0.1385207
2020 8 -3.070932 -0.09112557 -3.162058 0.1425229
2020 9 1.589274 -0.3517905 1.237484 0.1444575
2020 10 3.039145 0.01051267 3.049658 0.1456873
2020 11 1.491363 0.06347471 1.554837 0.1480647
2020 12 1.488166 0.01736929 1.505535 0.1617453
