year month land ocean net foss
2015 1 -0.1974027 -0.4733528 -0.6707555 0.007197368
2015 2 -0.1175302 -0.2329385 -0.3504688 0.007698465
2015 3 0.02497826 -0.6047112 -0.5797329 0.00753342
2015 4 0.1817078 -0.4690205 -0.2873127 0.007574838
2015 5 0.2028714 -0.3696543 -0.1667829 0.007640349
2015 6 0.1505045 -0.3517693 -0.2012648 0.007911308
2015 7 0.1592222 -0.3215633 -0.1623411 0.007931016
2015 8 0.1761891 -0.641461 -0.4652719 0.007914938
2015 9 0.008082071 -0.5359786 -0.5278965 0.007926407
2015 10 -0.1560096 -0.7580013 -0.9140109 0.007687529
2015 11 -0.2094129 -0.3609893 -0.5704023 0.007793063
2015 12 -0.2063812 -0.173594 -0.3799752 0.007658812
2016 1 -0.1107766 -0.5614076 -0.6721842 0.007183963
2016 2 -0.06513 -0.5870537 -0.6521837 0.007458632
2016 3 0.003097464 -0.3319199 -0.3288224 0.007546891
2016 4 0.140125 -0.4757072 -0.3355821 0.007556512
2016 5 0.1732727 -0.6266125 -0.4533397 0.007647655
2016 6 0.1890332 -0.6299345 -0.4409014 0.007906728
2016 7 0.1544967 -0.8201019 -0.6656051 0.007896701
2016 8 0.155885 -0.4217943 -0.2659092 0.007936622
2016 9 0.0169416 -0.4935543 -0.4766127 0.007919765
2016 10 -0.04774702 -0.4664279 -0.5141749 0.007671128
2016 11 -0.1904966 -0.9292971 -1.119794 0.007805532
2016 12 -0.1454742 -0.4238937 -0.5693678 0.007642531
2017 1 -0.2130135 -0.8216907 -1.034704 0.007161186
2017 2 -0.08946924 -0.7964098 -0.8858791 0.007660753
2017 3 0.003341266 -0.7300613 -0.72672 0.007507482
2017 4 0.1840233 -0.5657958 -0.3817724 0.007508606
2017 5 0.2286703 -0.4330689 -0.2043986 0.007625878
2017 6 0.1973078 -0.562168 -0.3648602 0.007866995
2017 7 0.2199408 -0.7679835 -0.5480426 0.007862321
2017 8 0.1631171 -0.6233964 -0.4602793 0.007900204
2017 9 0.01929679 -0.3272897 -0.3079929 0.007868456
2017 10 -0.05088117 -0.615685 -0.6665662 0.007645181
2017 11 -0.1280808 -0.4321139 -0.5601947 0.007767406
2017 12 -0.07872887 -0.2742807 -0.3530096 0.007591334
2018 1 -0.1492875 -0.4537632 -0.6030507 0.00711818
2018 2 -0.09814996 -0.507852 -0.6060019 0.007600518
2018 3 -0.003537463 -0.4539606 -0.457498 0.007436702
2018 4 0.1792096 -0.4969413 -0.3177317 0.007458929
2018 5 0.2386841 -0.7049836 -0.4662994 0.007565897
2018 6 0.2636376 -1.143533 -0.8798958 0.007791045
2018 7 0.2044702 -0.9653201 -0.7608498 0.007809877
2018 8 0.1475491 -0.8536422 -0.7060931 0.007833913
2018 9 0.04904394 -0.3445725 -0.2955286 0.007793364
2018 10 -0.06446997 -0.3521201 -0.4165901 0.007598292
2018 11 -0.1129042 -0.4651711 -0.5780753 0.007702633
2018 12 -0.107236 -0.2948156 -0.4020517 0.00753203
2019 1 -0.1637406 -0.3510926 -0.5148332 0.007191666
2019 2 -0.1330872 -0.3223696 -0.4554569 0.007683631
2019 3 -0.01554746 -0.7416862 -0.7572336 0.007498527
2019 4 0.1458532 -0.5630512 -0.4171979 0.007553987
2019 5 0.1959181 -0.6829114 -0.4869933 0.007648115
2019 6 0.1549142 -0.2485354 -0.09362127 0.007867876
2019 7 0.1189169 -0.5104384 -0.3915215 0.007916437
2019 8 0.1170314 -0.6829591 -0.5659277 0.007908436
2019 9 0.02932619 -0.4572701 -0.4279439 0.007888585
2019 10 -0.06801835 -0.1028715 -0.1708898 0.007678748
2019 11 -0.1285568 -0.2256852 -0.354242 0.007772733
2019 12 -0.1876005 -0.2895861 -0.4771866 0.007621308
2020 1 -0.2666635 -0.4252554 -0.6919189 0.007201528
2020 2 -0.116363 -0.6465831 -0.7629461 0.007499242
2020 3 0.003650581 -0.5923128 -0.5886622 0.006644413
2020 4 0.1540418 -0.6532421 -0.4992003 0.005789635
2020 5 0.2730655 -0.5192973 -0.2462319 0.005990527
2020 6 0.341686 -0.3929388 -0.05125276 0.006817772
2020 7 0.2531434 -0.6667634 -0.41362 0.007004017
2020 8 0.128648 -1.229904 -1.101256 0.006927685
2020 9 0.03281825 -0.619948 -0.5871298 0.007121475
2020 10 -0.08792859 -0.2328991 -0.3208277 0.006800084
2020 11 -0.1246177 -0.518897 -0.6435148 0.006758659
2020 12 -0.1050034 -0.5249504 -0.6299538 0.006767619
