year month land ocean net foss
2015 1 0.07320385 -0.05583588 0.01736797 0.002527812
2015 2 0.08714624 -0.08136518 0.005781062 0.002592797
2015 3 0.1438282 -0.08057541 0.06325283 0.002451362
2015 4 0.1432597 -0.06315077 0.08010891 0.002412316
2015 5 0.2154926 -0.05195809 0.1635345 0.002305375
2015 6 -0.08993033 -0.04791703 -0.1378474 0.002394835
2015 7 -0.9356778 -0.08209671 -1.017775 0.002412006
2015 8 -0.3932415 -0.08404112 -0.4772827 0.002434844
2015 9 0.09616515 -0.04981752 0.04634764 0.002419347
2015 10 0.1366822 -0.07008326 0.06659892 0.002408039
2015 11 0.1444274 -0.1534679 -0.009040595 0.002468519
2015 12 0.1002955 -0.1048273 -0.004531747 0.002506106
2016 1 0.0773444 -0.06447128 0.01287313 0.002481011
2016 2 0.1166982 -0.08417272 0.0325255 0.002475252
2016 3 0.1143812 -0.0764884 0.03789283 0.002414445
2016 4 0.1107039 -0.078178 0.03252595 0.002372204
2016 5 0.1695271 -0.04405655 0.1254705 0.002267883
2016 6 -0.2806271 -0.0273158 -0.3079429 0.002355227
2016 7 -0.6540575 -0.05616084 -0.7102183 0.002371239
2016 8 -0.320505 -0.04858084 -0.3690858 0.002401776
2016 9 0.2175494 -0.0216251 0.1959243 0.002381815
2016 10 0.2056607 -0.03823107 0.1674296 0.002366771
2016 11 0.1166987 -0.04365233 0.07304635 0.002431603
2016 12 0.09171254 -0.1169405 -0.02522793 0.002461865
2017 1 0.06834079 -0.03974298 0.02859781 0.002587076
2017 2 0.08227412 -0.03098875 0.05128538 0.002656275
2017 3 0.08632319 -0.07380553 0.01251766 0.002517912
2017 4 0.05874926 -0.06186842 -0.003119166 0.00247281
2017 5 0.08863271 -0.0161627 0.07247 0.002369319
2017 6 -0.1102738 -0.001284099 -0.1115579 0.002457079
2017 7 -1.432477 -0.06993286 -1.50241 0.002470365
2017 8 -0.7275034 -0.04680049 -0.7743039 0.002503308
2017 9 0.2139628 0.001539513 0.2155023 0.002482519
2017 10 0.1174086 -0.04365558 0.07375306 0.002471566
2017 11 0.1551177 -0.08040438 0.0747133 0.002536945
2017 12 0.1170622 -0.1397613 -0.0226991 0.00256279
2018 1 0.1055434 -0.1134173 -0.007873946 0.002646344
2018 2 0.1048971 -0.09462332 0.01027379 0.002715191
2018 3 0.07545571 -0.1051678 -0.02971212 0.002570867
2018 4 0.1312073 -0.06180385 0.06940347 0.002527554
2018 5 0.3020472 -0.01021325 0.291834 0.002421672
2018 6 -0.1671114 -0.06139965 -0.2285111 0.002509248
2018 7 -0.7830261 0.03578052 -0.7472456 0.00252548
2018 8 -0.3074897 -0.05841967 -0.3659094 0.002557368
2018 9 0.1091189 0.02162312 0.130742 0.002533574
2018 10 0.1333104 -0.007382775 0.1259276 0.002527329
2018 11 0.1416505 0.02113894 0.1627894 0.002591562
2018 12 0.08475734 -0.01184635 0.072911 0.002618322
2019 1 0.09221616 -0.05084419 0.04137197 0.002600819
2019 2 0.1151691 -0.07556127 0.03960779 0.002667966
2019 3 0.1236693 -0.04488369 0.07878566 0.002524303
2019 4 0.125069 -0.03641265 0.08865636 0.002487749
2019 5 0.1414791 -0.01240547 0.1290736 0.002380292
2019 6 -0.2026946 -0.04502404 -0.2477187 0.002463765
2019 7 -0.9781383 -0.0266215 -1.00476 0.002485582
2019 8 -0.4380102 -0.03909742 -0.4771076 0.002512515
2019 9 0.1653252 -0.02987666 0.1354485 0.002492213
2019 10 0.2544582 -0.029046 0.2254122 0.002485361
2019 11 0.1622747 -0.08105153 0.08122318 0.002545723
2019 12 0.1006203 -0.2076375 -0.1070173 0.002574761
2020 1 0.08139832 -0.1129393 -0.03154098 0.002579204
2020 2 0.0525116 -0.01143465 0.04107695 0.002567936
2020 3 0.08377973 -0.05264927 0.03113046 0.002115403
2020 4 0.1571741 -0.09319729 0.0639768 0.001641405
2020 5 0.2245339 -0.01562876 0.2089052 0.001625746
2020 6 -0.2463389 -0.0323732 -0.2787121 0.001825921
2020 7 -0.6129239 0.005449475 -0.6074744 0.001899097
2020 8 -0.370507 -0.09763961 -0.4681466 0.001939202
2020 9 0.1466913 -0.07403581 0.07265553 0.001961891
2020 10 0.1669684 0.02728434 0.1942527 0.001951571
2020 11 0.1362657 -0.07495957 0.06130617 0.001984773
2020 12 0.1102595 -0.1015678 0.008691798 0.002124117
