year month land ocean net foss
2015 1 -0.5080714 0.3484215 -0.1596499 1.031357
2015 2 1.364618 0.6596056 2.024223 1.076385
2015 3 -0.4764313 0.5469489 0.07051761 1.052433
2015 4 0.2897038 -0.02858773 0.2611161 1.045999
2015 5 -0.3418679 -0.2672965 -0.6091644 1.032179
2015 6 1.154112 0.7070789 1.861191 1.051832
2015 7 1.407774 0.658089 2.065863 1.036863
2015 8 0.9812739 -0.1297769 0.851497 1.031274
2015 9 3.3121 -0.240152 3.071948 1.052603
2015 10 3.289378 0.3378236 3.627202 1.050776
2015 11 2.359461 0.9838264 3.343287 1.067663
2015 12 2.512474 0.7968289 3.309303 1.077117
2016 1 3.361564 0.4454267 3.806991 1.061006
2016 2 2.095865 0.71941 2.815275 1.076691
2016 3 3.355468 0.4060727 3.761541 1.086976
2016 4 0.3174432 -0.1857382 0.131705 1.076264
2016 5 -0.5403036 0.09832013 -0.4419834 1.06615
2016 6 1.089196 0.3387657 1.427962 1.084638
2016 7 1.447613 0.02740892 1.475022 1.065347
2016 8 -1.469921 0.2243923 -1.245529 1.067576
2016 9 -0.1539267 -0.05609098 -0.2100176 1.085469
2016 10 1.094969 0.6470494 1.742018 1.082233
2016 11 2.464542 0.5482772 3.012819 1.10331
2016 12 3.345587 0.3857869 3.731374 1.108324
2017 1 -0.434875 0.5583469 0.1234719 1.074009
2017 2 0.6108467 0.3617975 0.9726442 1.120464
2017 3 -1.197161 0.1498375 -1.047324 1.097431
2017 4 -2.260048 -0.2800404 -2.540088 1.084952
2017 5 -1.362017 0.1714047 -1.190613 1.078905
2017 6 0.3626091 1.119624 1.482233 1.09428
2017 7 0.6813929 1.416224 2.097617 1.075242
2017 8 0.3097065 0.9809292 1.290636 1.07695
2017 9 0.541334 0.1821164 0.7234504 1.092985
2017 10 -0.09312249 0.4381908 0.3450683 1.093701
2017 11 2.088048 0.8062526 2.894301 1.113548
2017 12 1.717746 1.000945 2.718691 1.116688
2018 1 0.2547269 0.7649401 1.019667 1.119564
2018 2 1.098747 0.4882585 1.587005 1.165819
2018 3 -2.232367 0.6347147 -1.597652 1.139793
2018 4 -2.484043 0.377771 -2.106272 1.130779
2018 5 -3.397301 0.1137268 -3.283574 1.122449
2018 6 0.5321055 0.2085698 0.7406753 1.136391
2018 7 0.3609028 0.3652406 0.7261434 1.120137
2018 8 0.1062428 0.1124135 0.2186563 1.11937
2018 9 0.7227913 0.1185844 0.8413756 1.135018
2018 10 0.2037232 0.617603 0.8213262 1.140145
2018 11 2.883925 1.284263 4.168188 1.158496
2018 12 2.156664 0.8542699 3.010933 1.163036
2019 1 0.4599082 0.5479165 1.007825 1.145209
2019 2 1.34791 0.4567312 1.804642 1.192605
2019 3 -0.8276729 0.5588725 -0.2688004 1.16352
2019 4 0.9438175 0.1464309 1.090248 1.159096
2019 5 -0.02595138 0.3264888 0.3005374 1.147604
2019 6 1.163735 0.924424 2.088159 1.160827
2019 7 1.31348 0.5619229 1.875403 1.148378
2019 8 -0.3539299 0.3366404 -0.01728951 1.14355
2019 9 0.8913907 0.3169677 1.208358 1.1637
2019 10 -0.6068978 0.5427933 -0.06410446 1.166995
2019 11 0.1319227 0.5060954 0.6380181 1.183389
2019 12 0.5916464 0.2635727 0.8552191 1.192343
2020 1 -0.4253986 0.02794647 -0.3974521 1.158015
2020 2 2.465531 0.2789624 2.744493 1.174204
2020 3 -0.7514804 0.3136451 -0.4378353 1.026968
2020 4 -1.575539 0.3205968 -1.254942 0.8590462
2020 5 -0.8662989 -0.3147726 -1.181072 0.9014038
2020 6 1.740355 0.5529001 2.293255 1.018824
2020 7 0.3656565 0.1113681 0.4770246 1.04156
2020 8 -2.223869 -0.1084395 -2.332308 1.030578
2020 9 -0.1714775 0.03258835 -0.1388892 1.093362
2020 10 -0.2250697 0.7088583 0.4837886 1.09414
2020 11 1.09519 1.154826 2.250016 1.083468
2020 12 1.175297 1.014452 2.189749 1.103948
