year month land ocean net foss
2015 1 -2.694191 -0.4996297 -3.193821 0.4050868
2015 2 -1.022644 -1.091985 -2.11463 0.4349327
2015 3 -0.6584854 -1.347015 -2.0055 0.4118997
2015 4 0.1057084 -1.684643 -1.578935 0.4192075
2015 5 0.8116552 -2.778008 -1.966353 0.4188355
2015 6 0.5483622 -2.775257 -2.226894 0.4370689
2015 7 1.22492 -3.16946 -1.94454 0.4333201
2015 8 0.6372712 -1.766219 -1.128948 0.434548
2015 9 0.129414 -3.451626 -3.322212 0.4415596
2015 10 0.4011092 -1.056132 -0.6550224 0.4317523
2015 11 0.266911 0.1807945 0.4477055 0.437018
2015 12 -0.04145191 -0.3254478 -0.3668997 0.4251154
2016 1 -0.7323185 -2.287273 -3.019591 0.4088218
2016 2 -0.8762924 -1.705825 -2.582117 0.426026
2016 3 -0.6051477 -1.107948 -1.713096 0.4175513
2016 4 0.6535325 -1.773239 -1.119707 0.4231308
2016 5 0.9124271 -2.080427 -1.168 0.424404
2016 6 1.42573 -2.055885 -0.6301555 0.442209
2016 7 -0.1400083 -2.267379 -2.407387 0.4364504
2016 8 -0.7943764 -3.088878 -3.883254 0.441344
2016 9 -0.4458833 -2.07319 -2.519073 0.4465129
2016 10 -0.9842482 -0.8077666 -1.792015 0.4356341
2016 11 -1.25349 -1.27123 -2.524719 0.443244
2016 12 -0.3586747 -1.406646 -1.765321 0.4290521
2017 1 -1.689852 -1.438781 -3.128633 0.4070212
2017 2 -1.556315 -1.885527 -3.441842 0.4375357
2017 3 -1.332116 -2.206131 -3.538247 0.414831
2017 4 -0.134522 -2.422588 -2.55711 0.4195288
2017 5 0.4558251 -2.750812 -2.294987 0.4228248
2017 6 0.3364694 -2.999012 -2.662542 0.4395159
2017 7 0.02908837 -2.298079 -2.268991 0.4338532
2017 8 0.7022279 -2.709714 -2.007487 0.4387785
2017 9 0.5591396 -2.776578 -2.217438 0.4430689
2017 10 0.1113116 -1.283781 -1.172469 0.4338806
2017 11 0.178876 -1.117729 -0.9388528 0.4406829
2017 12 0.09805887 -1.917126 -1.819067 0.4254159
2018 1 -1.02103 -1.050726 -2.071756 0.4071042
2018 2 -1.499541 -1.415556 -2.915097 0.4366939
2018 3 -1.288293 -1.841264 -3.129558 0.4129455
2018 4 0.5354434 -2.139199 -1.603756 0.4192435
2018 5 1.104501 -3.424465 -2.319964 0.4218763
2018 6 1.712586 -4.196136 -2.48355 0.4377358
2018 7 0.8094886 -2.39308 -1.583592 0.4336252
2018 8 0.5084861 -3.157631 -2.649145 0.4376012
2018 9 0.5056166 -2.193983 -1.688366 0.4409851
2018 10 0.03841018 -1.145346 -1.106936 0.4339263
2018 11 -0.4716231 -0.1721303 -0.6437534 0.4395866
2018 12 -0.7713812 -1.129992 -1.901374 0.4243418
2019 1 -1.797907 -1.745341 -3.543249 0.4111278
2019 2 -1.29511 -1.989063 -3.284173 0.4411165
2019 3 -0.9366357 -1.582305 -2.518941 0.4158163
2019 4 -0.03384276 -1.7033 -1.737143 0.4244524
2019 5 1.277721 -2.289621 -1.0119 0.4259425
2019 6 1.382605 -2.108657 -0.7260519 0.4410715
2019 7 1.139922 -2.132858 -0.9929365 0.4390548
2019 8 0.7827778 -2.762342 -1.979564 0.4410729
2019 9 0.04942724 -2.538868 -2.489441 0.446054
2019 10 0.3641758 -1.108615 -0.7444394 0.4381183
2019 11 -0.1320304 -0.9219244 -1.053955 0.4430235
2019 12 -0.6599747 -1.359887 -2.019862 0.4291485
2020 1 -2.203949 -1.297568 -3.501517 0.4209501
2020 2 -1.001352 -1.764913 -2.766265 0.429498
2020 3 -1.351113 -1.2463 -2.597413 0.3744703
2020 4 0.0201944 -0.9972109 -0.9770165 0.3320835
2020 5 0.8880052 -2.961549 -2.073544 0.3415795
2020 6 1.653715 -2.042529 -0.3888134 0.3965583
2020 7 1.645449 -3.695119 -2.04967 0.3973548
2020 8 0.5053932 -3.52877 -3.023377 0.3931621
2020 9 0.09131161 -1.980126 -1.888815 0.4105958
2020 10 0.06044843 -0.490627 -0.4301786 0.4031978
2020 11 -0.2695047 0.003981368 -0.2655233 0.4034886
2020 12 -1.129195 -0.9686976 -2.097893 0.4020655
