year month land ocean net foss
2015 1 1.65395 -0.007376687 1.646573 0.2449993
2015 2 1.921892 -0.1099192 1.811973 0.2556789
2015 3 0.9422637 0.2500454 1.192309 0.2487287
2015 4 0.4101791 -0.00452342 0.4056557 0.2486324
2015 5 0.0109309 -0.02105171 -0.01012082 0.2444999
2015 6 -0.1604472 0.03784859 -0.1225986 0.2520607
2015 7 -0.8600375 0.06713609 -0.7929014 0.2496629
2015 8 -0.5069384 0.03842815 -0.4685103 0.2489273
2015 9 -0.6445211 -0.0483268 -0.6928479 0.2529453
2015 10 0.3722779 0.05772969 0.4300076 0.2516755
2015 11 0.2098809 0.1984506 0.4083315 0.2536048
2015 12 1.523315 0.347733 1.871048 0.2520885
2016 1 2.018446 -0.09862207 1.919824 0.2520142
2016 2 2.966075 0.1672786 3.133353 0.256347
2016 3 2.803022 0.1964441 2.999466 0.2570478
2016 4 0.5549659 0.02821372 0.5831796 0.25581
2016 5 -0.4751606 0.08142296 -0.3937376 0.2525157
2016 6 -0.531969 0.05865009 -0.4733189 0.2598463
2016 7 -0.09692091 -0.003880636 -0.1008015 0.2564721
2016 8 -1.021752 0.09200377 -0.9297486 0.2576456
2016 9 -1.307679 -0.09172443 -1.399404 0.2608449
2016 10 -0.2590901 0.009404059 -0.2496861 0.2590874
2016 11 1.081631 0.07042615 1.152058 0.2621776
2016 12 1.940776 0.1701986 2.110975 0.2595574
2017 1 1.297605 0.08905207 1.386657 0.2577525
2017 2 2.089624 0.155467 2.245091 0.2686756
2017 3 0.3525739 -0.06099324 0.2915807 0.2621219
2017 4 0.06778462 -0.1577375 -0.08995285 0.2604559
2017 5 -0.1385078 0.0102333 -0.1282745 0.2581556
2017 6 -0.8762771 0.2092898 -0.6669874 0.2647547
2017 7 -0.840196 0.2645959 -0.5756001 0.2614535
2017 8 -0.8961729 0.1997364 -0.6964365 0.2625563
2017 9 -1.365234 -0.09906455 -1.464298 0.2652195
2017 10 -0.9444577 -0.01970123 -0.9641589 0.2643514
2017 11 0.8108342 0.1835072 0.9943414 0.2670607
2017 12 1.408967 0.207902 1.616869 0.2639772
2018 1 1.55144 -0.1141947 1.437245 0.2644389
2018 2 1.878775 -0.1172562 1.761519 0.2751901
2018 3 0.3254066 -0.1710735 0.1543331 0.2680253
2018 4 -0.4003175 -0.00269259 -0.4030101 0.2669741
2018 5 -1.25536 -0.05460158 -1.309962 0.2642939
2018 6 -0.6094509 -0.01400514 -0.623456 0.2704889
2018 7 -0.7428314 0.04063107 -0.7022003 0.2677956
2018 8 -0.6470966 0.00576642 -0.6413302 0.2683413
2018 9 -0.7115756 -0.08284808 -0.7944237 0.2707461
2018 10 -0.6670182 0.105871 -0.5611471 0.270978
2018 11 0.943312 0.3351047 1.278417 0.2732916
2018 12 1.12465 0.2642628 1.388913 0.2703115
2019 1 1.152335 0.02409884 1.176434 0.2704523
2019 2 2.008408 0.006545362 2.014954 0.2814821
2019 3 0.5513265 0.07798643 0.6293129 0.2736145
2019 4 0.3525138 -0.01536948 0.3371444 0.2735338
2019 5 0.1574204 -0.02479186 0.1326285 0.2702253
2019 6 -0.2678363 0.1047455 -0.1630907 0.2761319
2019 7 -0.5856077 0.1003137 -0.485294 0.2743151
2019 8 -0.8921068 0.1248765 -0.7672303 0.2739264
2019 9 -1.146616 0.07338232 -1.073233 0.2772733
2019 10 -1.274376 0.1052623 -1.169114 0.2771676
2019 11 -0.5620466 0.08184782 -0.4801988 0.2790755
2019 12 0.5331506 0.04360623 0.5767569 0.276961
2020 1 1.457567 -0.1518421 1.305725 0.2708073
2020 2 2.326828 -0.113266 2.213562 0.2755976
2020 3 0.6212287 -0.03175718 0.5894715 0.2443322
2020 4 -0.1999376 -0.06261367 -0.2625512 0.2125454
2020 5 0.08643886 -0.3101244 -0.2236856 0.2151328
2020 6 0.1752003 -0.05373585 0.1214644 0.2435561
2020 7 -0.7822621 -0.0872203 -0.8694824 0.2471091
2020 8 -1.186876 0.01440514 -1.172471 0.2440915
2020 9 -1.665287 0.05146014 -1.613827 0.255417
2020 10 -1.482518 0.04923273 -1.433285 0.2512828
2020 11 0.2055985 0.1291473 0.3347459 0.2476449
2020 12 0.9850449 0.04333517 1.02838 0.250975
