year month land ocean net foss
2015 1 0 -0.2403909 -0.2403909 2.565802e-05
2015 2 0 -0.4535979 -0.4535979 2.565802e-05
2015 3 0 -0.3284905 -0.3284905 2.565802e-05
2015 4 0 -0.2122366 -0.2122366 2.565802e-05
2015 5 0 0.01574216 0.01574216 2.565802e-05
2015 6 0 0.06934206 0.06934206 2.565802e-05
2015 7 0 0.02153793 0.02153793 2.565802e-05
2015 8 0 0.02612588 0.02612588 2.565802e-05
2015 9 0 0.02613472 0.02613472 2.565802e-05
2015 10 0 0.1232089 0.1232089 2.565802e-05
2015 11 0 -0.111831 -0.111831 2.565802e-05
2015 12 0 -0.6026402 -0.6026402 2.565802e-05
2016 1 0 -0.4586577 -0.4586577 2.592646e-05
2016 2 0 -0.256259 -0.256259 2.592646e-05
2016 3 0 -0.178584 -0.178584 2.592646e-05
2016 4 0 -0.2319227 -0.2319227 2.592646e-05
2016 5 0 -0.05125767 -0.05125767 2.592646e-05
2016 6 0 0.1290795 0.1290795 2.592646e-05
2016 7 0 0.04736133 0.04736133 2.592646e-05
2016 8 0 -0.002474853 -0.002474853 2.592646e-05
2016 9 0 -0.07053425 -0.07053425 2.592646e-05
2016 10 0 0.007518291 0.007518291 2.592646e-05
2016 11 0 -0.1046409 -0.1046409 2.592646e-05
2016 12 0 -0.62855 -0.62855 2.592646e-05
2017 1 0 -0.5046219 -0.5046219 2.751839e-05
2017 2 0 -0.7435765 -0.7435765 2.751839e-05
2017 3 0 -0.651347 -0.651347 2.751839e-05
2017 4 0 -0.3961541 -0.3961541 2.751839e-05
2017 5 0 -0.004815506 -0.004815506 2.751839e-05
2017 6 0 0.02503938 0.02503938 2.751839e-05
2017 7 0 0.07355741 0.07355741 2.751839e-05
2017 8 0 0.06083566 0.06083566 2.751839e-05
2017 9 0 -0.02539851 -0.02539851 2.751839e-05
2017 10 0 -0.09402933 -0.09402933 2.751839e-05
2017 11 0 -0.1775262 -0.1775262 2.751839e-05
2017 12 0 -0.7655597 -0.7655597 2.751839e-05
2018 1 0 -0.4527094 -0.4527094 2.766655e-05
2018 2 0 -0.4357686 -0.4357686 2.766655e-05
2018 3 0 -0.495718 -0.495718 2.766655e-05
2018 4 0 -0.0634672 -0.0634672 2.766655e-05
2018 5 0 -0.09295851 -0.09295851 2.766655e-05
2018 6 0 0.07394763 0.07394763 2.766655e-05
2018 7 0 0.0228875 0.0228875 2.766655e-05
2018 8 0 0.01222257 0.01222257 2.766655e-05
2018 9 0 -0.04675115 -0.04675115 2.766655e-05
2018 10 0 -0.04367103 -0.04367103 2.766655e-05
2018 11 0 -0.1820125 -0.1820125 2.766655e-05
2018 12 0 -0.6989198 -0.6989198 2.766655e-05
2019 1 0 -0.9066572 -0.9066572 2.763042e-05
2019 2 0 -2.477266 -2.477266 2.763042e-05
2019 3 0 -0.4305066 -0.4305066 2.763042e-05
2019 4 0 -0.2161148 -0.2161148 2.763042e-05
2019 5 0 -0.09027753 -0.09027753 2.763042e-05
2019 6 0 0.1074507 0.1074507 2.763042e-05
2019 7 0 0.01246669 0.01246669 2.763042e-05
2019 8 0 0.02353071 0.02353071 2.763042e-05
2019 9 0 -0.1132101 -0.1132101 2.763042e-05
2019 10 0 -0.0934592 -0.0934592 2.763042e-05
2019 11 0 -0.1698646 -0.1698646 2.763042e-05
2019 12 0 -0.6640075 -0.6640075 2.763042e-05
2020 1 0 -0.7699144 -0.7699144 2.870109e-05
2020 2 0 -1.233538 -1.233538 2.585522e-05
2020 3 0 -1.089256 -1.089256 1.691052e-05
2020 4 0 -0.3329281 -0.3329281 4.726897e-06
2020 5 0 -0.0118543 -0.0118543 5.984158e-06
2020 6 0 0.01869669 0.01869669 6.133259e-06
2020 7 0 0.05741592 0.05741592 8.194173e-06
2020 8 0 0.1118643 0.1118643 9.560491e-06
2020 9 0 -0.165856 -0.165856 9.883582e-06
2020 10 0 -0.2782273 -0.2782273 1.036818e-05
2020 11 0 -0.1872937 -0.1872937 1.127479e-05
2020 12 0 -0.6228556 -0.6228556 1.190012e-05
