lat prs annmn cos sin
1 1 -2.950283 -0.3191622 -0.743777
2 1 -2.808317 -0.1662596 -0.7134892
3 1 -2.687901 -0.0859881 -0.5902057
4 1 -2.444859 -0.3812714 -0.437548
5 1 -2.035673 -0.8117157 -0.3477602
6 1 -1.712037 -0.6027191 -0.1702564
7 1 -1.50966 -0.6526824 0.6477617
8 1 -1.206787 -0.553758 1.341867
9 1 -0.954406 -0.7746483 2.189969
10 1 -0.1414334 -0.5194661 2.845998
11 1 0.3653694 -0.8880944 3.239091
12 1 0.8129737 -0.154359 3.524566
13 1 0.7044316 0.9582544 4.199204
14 1 0.4481316 1.515864 4.78359
15 1 -0.0260069 1.487039 4.672984
1 2 -3.083708 -0.5043071 -0.8175076
2 2 -2.92428 -0.2750569 -0.7325293
3 2 -2.663969 -0.182129 -0.5968576
4 2 -2.590029 -0.3222662 -0.5510247
5 2 -2.245153 -0.9736908 -0.4976984
6 2 -2.016218 -0.7277368 -0.3125568
7 2 -1.587911 -0.5514736 0.3075584
8 2 -1.224264 -0.6946274 1.525262
9 2 -0.8747556 -1.035622 2.387734
10 2 -0.059124 -0.905397 2.88972
11 2 0.6428553 -0.6779836 3.53631
12 2 0.8766751 0.2915867 3.811578
13 2 1.082883 1.01973 4.398457
14 2 0.8539408 1.707274 5.259929
15 2 0.6205816 2.015177 5.311672
1 3 -3.177802 -0.6008541 -0.8553544
2 3 -3.009699 -0.3726184 -0.7824962
3 3 -2.697409 -0.1761417 -0.5910856
4 3 -2.656307 -0.259699 -0.515746
5 3 -2.417309 -0.8152209 -0.4770406
6 3 -2.076571 -0.7210389 -0.2913965
7 3 -1.239808 -0.06067791 -0.1350525
8 3 -1.077025 -0.7169592 1.574676
9 3 -0.7785354 -0.9094597 2.449197
10 3 0.05975671 -0.5471728 3.06047
11 3 0.7545331 -0.4285663 3.780214
12 3 0.9743716 0.3455872 4.014421
13 3 1.489538 0.7640543 4.342187
14 3 0.9365251 2.039238 5.887144
15 3 0.796002 2.226286 5.486859
1 4 -3.263505 -0.6415357 -0.8756815
2 4 -3.134189 -0.5590918 -0.8406509
3 4 -2.771586 -0.1745935 -0.6256275
4 4 -2.622672 -0.2788164 -0.460778
5 4 -2.492072 -0.5556744 -0.56726
6 4 -2.11054 -0.5625406 -0.3357783
7 4 -0.8393518 0.6130658 -0.3378622
8 4 -0.9241657 -0.4808663 1.474403
9 4 -0.5861829 -0.5186368 2.500394
10 4 0.2490808 -0.1895975 3.167661
11 4 0.8312891 -0.09325391 3.996343
12 4 1.176886 0.1447205 4.273839
13 4 1.708624 0.8426806 4.39997
14 4 1.229766 2.010627 6.044376
15 4 0.9270283 2.221031 5.782583
1 5 -3.349341 -0.6911607 -0.8898322
2 5 -3.214416 -0.6410028 -0.8745141
3 5 -2.888932 -0.2824139 -0.7080969
4 5 -2.635434 -0.3503955 -0.4024489
5 5 -2.59049 -0.3397027 -0.6888071
6 5 -2.224311 -0.4334005 -0.3927478
7 5 -0.5863398 0.5462524 -0.4204972
8 5 -0.785597 -0.6575011 1.619435
9 5 -0.2411394 -0.1448655 2.866536
10 5 0.3870663 0.394171 3.544433
11 5 1.097316 0.1144045 4.420787
12 5 1.416967 0.2419107 4.537769
13 5 1.991055 0.8061527 4.392711
14 5 1.737891 1.455403 5.899687
15 5 1.076253 2.255703 6.022424
1 6 -3.46506 -0.8162492 -0.8939763
2 6 -3.277157 -0.7297564 -0.8910934
3 6 -2.958542 -0.2822178 -0.7070631
4 6 -2.822173 -0.5511599 -0.3553266
5 6 -2.652114 -0.2068807 -0.6466657
6 6 -2.192994 -0.5041924 -0.5195788
7 6 -1.102313 -0.2519286 -0.05282095
8 6 -0.6691989 -0.79128 1.664755
9 6 0.107185 0.1287477 3.236329
10 6 0.7021207 0.3923557 4.171558
11 6 1.171133 0.6874375 4.643634
12 6 1.805355 0.471864 4.812994
13 6 2.326819 0.7972262 4.309022
14 6 1.703236 2.26787 6.52043
15 6 1.379478 2.369775 5.994373
1 7 -3.603052 -0.9941898 -0.9972133
2 7 -3.268034 -0.7070672 -0.9772965
3 7 -3.185162 -1.235047 -0.4741581
4 7 -3.037838 -1.115657 -0.2658828
5 7 -2.766072 -0.3917987 -0.6713883
6 7 -2.332082 -0.6763195 -0.5779801
7 7 -1.57466 -0.4196572 -0.1094972
8 7 -0.7208031 -0.8079071 1.636362
9 7 0.6910987 0.05885521 3.784388
10 7 0.8726461 0.6729764 4.79125
11 7 1.529248 1.587586 4.438222
12 7 2.412593 0.1169989 5.00999
13 7 2.75872 0.4085882 4.378973
14 7 3.662077 0.3543981 5.126025
15 7 2.300634 3.469785 5.561084
