year month land ocean net foss
2015 1 1.811402 0.4333833 2.244785 3.39712
2015 2 0.9552699 -0.4943975 0.4608724 3.489327
2015 3 0.5567701 -0.1021291 0.454641 3.398262
2015 4 -1.08684 0.5725872 -0.5142526 3.315981
2015 5 -4.412551 -0.8876979 -5.300249 3.217433
2015 6 -2.294759 -0.1194449 -2.414204 3.344524
2015 7 -3.376167 0.07003575 -3.306131 3.362088
2015 8 -1.990851 0.186482 -1.804369 3.369116
2015 9 -0.9671773 -0.4837861 -1.450963 3.387261
2015 10 0.9260423 0.1327867 1.058829 3.364208
2015 11 1.893037 -0.7765174 1.116519 3.517844
2015 12 1.874778 -0.7431835 1.131595 3.703015
2016 1 2.16552 0.3472102 2.512731 3.387115
2016 2 1.129443 0.2355787 1.365022 3.375527
2016 3 0.6259819 0.06999527 0.6959772 3.404634
2016 4 -0.762328 -0.02330488 -0.7856329 3.304963
2016 5 -3.36218 -0.3650147 -3.727195 3.224466
2016 6 -3.024399 -0.332956 -3.357355 3.342486
2016 7 -2.802638 0.1853726 -2.617265 3.34385
2016 8 -1.538608 -0.1423125 -1.680921 3.380035
2016 9 -0.3864909 0.352592 -0.03389889 3.38245
2016 10 0.7226986 -1.096629 -0.3739308 3.355735
2016 11 1.430919 -1.487692 -0.05677305 3.523689
2016 12 1.868127 -2.109368 -0.2412412 3.687857
2017 1 2.422764 -0.1492614 2.273502 3.439937
2017 2 1.316636 -0.1620572 1.154578 3.532962
2017 3 0.3317492 -0.6992296 -0.3674804 3.44938
2017 4 -1.196542 -1.174804 -2.371345 3.345186
2017 5 -3.58708 -1.035608 -4.622688 3.276765
2017 6 -3.681021 -0.556979 -4.238 3.386381
2017 7 -2.42545 0.004090214 -2.42136 3.389789
2017 8 -1.621867 0.3522882 -1.269579 3.424879
2017 9 -0.8932599 0.02514911 -0.8681108 3.420941
2017 10 0.816979 -1.334009 -0.5170301 3.409596
2017 11 3.352906 -0.07328624 3.27962 3.572088
2017 12 2.090528 -2.322744 -0.2322162 3.72823
2018 1 1.904736 -0.7200639 1.184672 3.522418
2018 2 1.660608 -0.157653 1.502955 3.608833
2018 3 0.5208156 0.5130527 1.033868 3.515723
2018 4 -1.017097 -0.3319962 -1.349094 3.423907
2018 5 -3.27517 -0.4260242 -3.701194 3.347555
2018 6 -3.248919 -0.4781069 -3.727026 3.451071
2018 7 -1.941356 -0.2074026 -2.148758 3.469673
2018 8 -1.738299 -0.4008177 -2.139116 3.496009
2018 9 -0.806852 0.04623918 -0.7606128 3.487858
2018 10 0.5432082 0.9097786 1.452987 3.490681
2018 11 -0.4870575 -0.8008875 -1.287945 3.646859
2018 12 0.9160979 -1.082089 -0.1659913 3.810077
2019 1 1.181545 0.5986622 1.780207 3.542733
2019 2 0.8930659 -0.473574 0.4194919 3.629746
2019 3 0.5401088 -0.4867543 0.05335453 3.531808
2019 4 -0.8383602 0.02608817 -0.812272 3.457578
2019 5 -3.100807 -0.3387576 -3.439565 3.371282
2019 6 -2.886959 -0.516596 -3.403555 3.47169
2019 7 -3.323103 0.04401733 -3.279086 3.50269
2019 8 -2.916271 -0.2496899 -3.165961 3.513361
2019 9 -0.73691 0.03841658 -0.6984934 3.522846
2019 10 1.10523 -0.6708711 0.4343587 3.518831
2019 11 1.619374 -1.804829 -0.1854553 3.666763
2019 12 2.262866 -0.6083017 1.654565 3.847196
2020 1 2.100901 0.8623584 2.96326 3.403685
2020 2 1.33357 -0.2913739 1.042196 3.262423
2020 3 0.4088451 -0.3831556 0.02568947 3.179952
2020 4 -0.9213856 -0.2804032 -1.201789 3.041445
2020 5 -3.265609 -0.270951 -3.53656 3.031067
2020 6 -2.717993 -0.05993836 -2.777931 3.308978
2020 7 -1.637744 0.03339748 -1.604347 3.332798
2020 8 -2.432917 0.1472884 -2.285628 3.398438
2020 9 -0.1099695 0.03929393 -0.0706756 3.427024
2020 10 0.1171503 -0.06249153 0.05465873 3.409447
2020 11 1.365083 -0.2891269 1.075956 3.528157
2020 12 1.821654 -0.4801884 1.341465 3.85521
