year month land ocean net foss
2015 1 -1.026384 -0.04662046 -1.073004 0.2356733
2015 2 -0.9213944 0.07578858 -0.8456058 0.2532219
2015 3 -0.590589 -0.3919843 -0.9825733 0.2372777
2015 4 -0.1337049 -0.1799131 -0.313618 0.2423079
2015 5 -0.06185848 0.325162 0.2633035 0.2422721
2015 6 0.9928852 -1.87326 -0.8803749 0.2538848
2015 7 0.9882418 -1.957691 -0.9694488 0.2509241
2015 8 0.7051967 -2.438474 -1.733278 0.2513851
2015 9 0.9177635 -2.82315 -1.905386 0.2564852
2015 10 0.9230769 -0.2681741 0.6549028 0.2525893
2015 11 0.1744087 0.2554257 0.4298344 0.2551085
2015 12 0.1729749 0.1465709 0.3195458 0.2469179
2016 1 -0.2806632 0.03735883 -0.2433044 0.2369094
2016 2 -0.4516835 -0.2159323 -0.6676158 0.2471038
2016 3 -0.400105 -0.2022056 -0.6023106 0.2396524
2016 4 -0.2357327 -0.6113894 -0.8471221 0.2436659
2016 5 0.5651533 -0.7085261 -0.1433728 0.2446153
2016 6 1.376638 -2.607993 -1.231354 0.2559884
2016 7 0.4573314 -2.231349 -1.774018 0.2517485
2016 8 -0.2707404 -2.518928 -2.789668 0.2544982
2016 9 -0.432088 -0.8903041 -1.322392 0.2584648
2016 10 -0.1474548 -0.2036513 -0.3511061 0.2538704
2016 11 0.5131944 0.1044502 0.6176446 0.2579171
2016 12 -0.3908814 -0.03418957 -0.425071 0.2482644
2017 1 -1.073541 -0.2063609 -1.279901 0.2391417
2017 2 -0.3822326 -0.1252111 -0.5074437 0.2572571
2017 3 -0.813299 0.1431137 -0.6701853 0.2413977
2017 4 -0.3097947 -0.5214433 -0.831238 0.2448072
2017 5 0.4830374 -0.2192892 0.2637481 0.2470953
2017 6 0.97033 -1.201213 -0.2308833 0.257838
2017 7 0.5644122 -1.275511 -0.7110988 0.2535984
2017 8 0.49769 -1.016088 -0.5183982 0.2564041
2017 9 0.5754512 -1.35063 -0.7751791 0.2598481
2017 10 0.5176105 0.724947 1.242558 0.2562612
2017 11 1.128323 1.162475 2.290799 0.2598325
2017 12 -0.2573557 -0.2492943 -0.50665 0.249429
2018 1 -0.9501166 -0.0332122 -0.9833288 0.2391786
2018 2 -0.5097971 0.111266 -0.3985311 0.2567087
2018 3 -0.791962 -0.1626698 -0.9546318 0.2401233
2018 4 -0.164916 -0.2820866 -0.4470026 0.2445719
2018 5 0.2364528 -0.5636454 -0.3271926 0.246428
2018 6 0.7996143 -1.460267 -0.6606531 0.2566811
2018 7 0.8290874 -2.365762 -1.536675 0.2534002
2018 8 0.3765056 -0.9086425 -0.5321369 0.2556063
2018 9 0.7526479 -0.6544749 0.098173 0.2584218
2018 10 0.5491163 -0.1928358 0.3562805 0.2562492
2018 11 -0.07993762 0.871471 0.7915334 0.2591067
2018 12 -0.362803 0.4861094 0.1233064 0.248659
2019 1 -1.062523 0.02645927 -1.036064 0.2414124
2019 2 -0.640723 -0.1484617 -0.7891847 0.2591337
2019 3 -0.6917498 -0.03798461 -0.7297344 0.2416137
2019 4 -0.3057305 -0.5951876 -0.9009181 0.2475228
2019 5 0.4013638 -0.5787129 -0.1773492 0.2486591
2019 6 1.432073 -1.395196 0.03687729 0.2583765
2019 7 0.9666833 -2.118764 -1.152081 0.256448
2019 8 0.3299028 -2.132473 -1.80257 0.2574471
2019 9 0.7835172 -1.716688 -0.9331706 0.2612756
2019 10 1.014134 -0.2176542 0.7964799 0.2586081
2019 11 0.4413277 0.5506924 0.9920201 0.2609652
2019 12 -0.5483273 -0.03011691 -0.5784442 0.2513829
2020 1 -1.119797 -0.05153691 -1.171334 0.2508444
2020 2 -0.8443742 -0.04035928 -0.8847334 0.2515879
2020 3 -1.137439 -0.1138008 -1.25124 0.2175463
2020 4 -0.558266 -0.2625769 -0.8208429 0.1913057
2020 5 -0.06563131 -0.5885861 -0.6542175 0.1979125
2020 6 0.8605583 -1.187598 -0.32704 0.2324646
2020 7 0.1234942 -1.79481 -1.671316 0.2308202
2020 8 0.6806213 -1.4121 -0.7314791 0.2278511
2020 9 0.7069765 -1.366763 -0.6597864 0.2390561
2020 10 0.384747 -0.4230777 -0.03833067 0.2394487
2020 11 0.4443632 0.3016174 0.7459806 0.2406201
2020 12 -0.3307896 -0.1180152 -0.4488049 0.2393538
