year month land ocean net foss
2015 1 -0.09326073 -0.5391988 -0.6324596 0.001408784
2015 2 -0.02021079 -0.6562499 -0.6764607 0.001485787
2015 3 0.004228625 -0.4367294 -0.4325007 0.001433433
2015 4 0.03801907 -0.2814398 -0.2434207 0.001434862
2015 5 0.05437699 -0.210562 -0.156185 0.001414344
2015 6 0.05723325 -0.06885677 -0.01162352 0.001447094
2015 7 0.05054025 -0.1327104 -0.0821701 0.001418176
2015 8 0.03962432 -0.1864412 -0.1468169 0.001431035
2015 9 0.01941174 -0.2723761 -0.2529644 0.0014536
2015 10 -0.028319 -0.3051531 -0.3334721 0.001425383
2015 11 -0.06039679 -0.4507849 -0.5111817 0.00144318
2015 12 -0.1043664 -0.5874713 -0.6918377 0.001435956
2016 1 -0.09670019 -0.6156308 -0.712331 0.001422832
2016 2 -0.03301022 -0.6525589 -0.6855691 0.001465029
2016 3 0.01445146 -0.5231372 -0.5086857 0.001452546
2016 4 0.03967153 -0.2849693 -0.2452978 0.001449821
2016 5 0.04790296 -0.2117406 -0.1638376 0.001430837
2016 6 0.06058369 -0.07220798 -0.01162429 0.001463568
2016 7 0.05020429 -0.1269213 -0.076717 0.001429868
2016 8 0.04007762 -0.177849 -0.1377714 0.001450138
2016 9 0.01604343 -0.2886046 -0.2725611 0.00146935
2016 10 -0.01881378 -0.2388107 -0.2576245 0.001437898
2016 11 -0.04933637 -0.3665445 -0.4158809 0.001461833
2016 12 -0.07320658 -0.5739262 -0.6471328 0.001450756
2017 1 -0.0691329 -0.5341865 -0.6033195 0.001392175
2017 2 -0.03347321 -0.5937463 -0.6272195 0.00147076
2017 3 0.002326144 -0.4213523 -0.4190261 0.001420313
2017 4 0.04064484 -0.3149186 -0.2742738 0.001415019
2017 5 0.05145755 -0.2428759 -0.1914183 0.001400858
2017 6 0.05643882 -0.05088768 0.005551137 0.001430603
2017 7 0.05176955 -0.1280674 -0.07629783 0.001396708
2017 8 0.04005474 -0.1851322 -0.1450775 0.001417428
2017 9 0.01588818 -0.2709131 -0.2550249 0.001434657
2017 10 -0.02212565 -0.281493 -0.3036187 0.001406135
2017 11 -0.0612079 -0.4681848 -0.5293927 0.001428562
2017 12 -0.07764786 -0.7378462 -0.8154941 0.001415861
2018 1 -0.06913271 -0.6514824 -0.7206151 0.001391822
2018 2 -0.03347321 -0.717074 -0.7505472 0.00146823
2018 3 0.002326143 -0.4401027 -0.4377765 0.001416263
2018 4 0.04064484 -0.2784566 -0.2378118 0.001413044
2018 5 0.05145756 -0.2374484 -0.1859908 0.001398437
2018 6 0.05643882 -0.07847123 -0.02203241 0.001426478
2018 7 0.05176955 -0.1366976 -0.084928 0.001394864
2018 8 0.04005474 -0.1878574 -0.1478027 0.001414306
2018 9 0.01588497 -0.3162495 -0.3003645 0.001429089
2018 10 -0.02212577 -0.3406192 -0.3627449 0.001405427
2018 11 -0.06120786 -0.5000263 -0.5612342 0.001425537
2018 12 -0.07764794 -0.7536539 -0.8313018 0.001412477
2019 1 -0.06913278 -0.6905722 -0.7597049 0.001365291
2019 2 -0.03347327 -0.6083061 -0.6417794 0.001439374
2019 3 0.002326139 -0.4810623 -0.4787362 0.001386309
2019 4 0.04064484 -0.3028569 -0.2622121 0.00138757
2019 5 0.05145755 -0.2706521 -0.2191945 0.001370967
2019 6 0.05643882 -0.075955 -0.01951618 0.00139583
2019 7 0.05176955 -0.1354125 -0.08364298 0.001369451
2019 8 0.04005474 -0.2079879 -0.1679332 0.001385001
2019 9 0.01588494 -0.3206953 -0.3048103 0.001401266
2019 10 -0.02212578 -0.2998489 -0.3219746 0.001377835
2019 11 -0.06120792 -0.378369 -0.4395769 0.001395901
2019 12 -0.07764794 -0.6262954 -0.7039433 0.001385791
2020 1 -0.0691329 -0.6248073 -0.6939402 0.001368301
2020 2 -0.0328868 -0.6933402 -0.726227 0.00140483
2020 3 0.002326139 -0.539493 -0.5371669 0.001221548
2020 4 0.04064485 -0.3324392 -0.2917943 0.001054262
2020 5 0.05145755 -0.2402629 -0.1888054 0.001064999
2020 6 0.05643882 -0.09753459 -0.04109577 0.00119813
2020 7 0.05176955 -0.1338874 -0.08211783 0.001205994
2020 8 0.04005474 -0.2369714 -0.1969166 0.001207493
2020 9 0.01588494 -0.333318 -0.3174331 0.001261379
2020 10 -0.02212577 -0.3732125 -0.3953382 0.001219129
2020 11 -0.06120791 -0.5202662 -0.5814741 0.00120984
2020 12 -0.07764794 -0.8303411 -0.9079891 0.001224184
