year month land ocean net foss
2015 1 -2.824255 0.6910402 -2.133215 1.031357
2015 2 -0.3453868 0.7003192 0.3549324 1.076385
2015 3 2.706517 0.5357084 3.242225 1.052433
2015 4 0.1193434 0.4838771 0.6032205 1.045999
2015 5 -1.641939 0.6222786 -1.01966 1.032179
2015 6 -1.056307 0.7736132 -0.2826936 1.051832
2015 7 -0.9873313 0.6947314 -0.2925999 1.036863
2015 8 0.2131105 0.7015799 0.9146905 1.031274
2015 9 2.884641 0.663166 3.547807 1.052603
2015 10 5.646988 0.5434393 6.190427 1.050776
2015 11 5.606549 0.6666677 6.273216 1.067663
2015 12 3.956889 0.555246 4.512135 1.077117
2016 1 2.4483 0.467164 2.915464 1.061006
2016 2 2.516163 0.4744648 2.990628 1.076691
2016 3 5.599482 0.5019604 6.101442 1.086976
2016 4 4.268182 0.6048307 4.873012 1.076264
2016 5 1.559979 0.6914722 2.251451 1.06615
2016 6 -0.1864627 0.7594522 0.5729895 1.084638
2016 7 -2.72352 0.7920582 -1.931462 1.065347
2016 8 -1.494469 0.865321 -0.6291477 1.067576
2016 9 1.357612 0.7811401 2.138752 1.085469
2016 10 2.766689 0.7719895 3.538679 1.082233
2016 11 3.310382 0.6015532 3.911935 1.10331
2016 12 1.943273 0.5353576 2.47863 1.108324
2017 1 -0.1295675 0.4716987 0.3421312 1.074009
2017 2 0.05214394 0.4333599 0.4855038 1.120464
2017 3 -0.179474 0.5675188 0.3880448 1.097431
2017 4 -1.145011 0.5781521 -0.5668587 1.084952
2017 5 -0.7471701 0.7522528 0.005082631 1.078905
2017 6 -0.2841488 0.9036466 0.6194978 1.09428
2017 7 -2.863005 0.9796094 -1.883395 1.075242
2017 8 -2.452106 0.9306129 -1.521493 1.07695
2017 9 0.774809 1.002167 1.776976 1.092985
2017 10 3.076912 0.90153 3.978442 1.093701
2017 11 4.526197 0.9787182 5.504915 1.113548
2017 12 1.187575 0.8317145 2.01929 1.116688
2018 1 -0.9508911 0.7872754 -0.1636157 1.119564
2018 2 1.373582 0.6709914 2.044574 1.165819
2018 3 -1.150707 0.8063453 -0.3443616 1.139793
2018 4 -2.435512 0.6406392 -1.794873 1.130779
2018 5 -2.344806 0.7371199 -1.607686 1.122449
2018 6 -2.516602 0.9457795 -1.570822 1.136391
2018 7 -3.088758 1.024471 -2.064287 1.120137
2018 8 -0.889859 0.8643908 -0.02546826 1.11937
2018 9 1.988108 0.6814079 2.669516 1.135018
2018 10 3.332544 0.7078316 4.040376 1.140145
2018 11 3.01447 0.7368669 3.751337 1.158496
2018 12 1.318095 0.6623855 1.980481 1.163036
2019 1 0.7992783 0.6605822 1.45986 1.145209
2019 2 2.154496 0.4814248 2.635921 1.192605
2019 3 3.478803 0.6730199 4.151823 1.16352
2019 4 3.680942 0.7692946 4.450237 1.159096
2019 5 2.403909 0.7826324 3.186541 1.147604
2019 6 1.657425 1.020812 2.678237 1.160827
2019 7 -2.488356 0.9314448 -1.556912 1.148378
2019 8 -2.845894 0.9559132 -1.88998 1.14355
2019 9 2.534428 0.8209608 3.355388 1.1637
2019 10 3.944658 0.7935034 4.738161 1.166995
2019 11 3.848929 0.8802403 4.72917 1.183389
2019 12 1.407278 0.7315006 2.138779 1.192343
2020 1 -1.159131 0.6711376 -0.4879937 1.158015
2020 2 1.854311 0.5198605 2.374172 1.174204
2020 3 4.171311 0.6938088 4.86512 1.026968
2020 4 2.34024 0.766078 3.106318 0.8590462
2020 5 3.721214 0.7809134 4.502128 0.9014038
2020 6 1.431577 1.060718 2.492295 1.018824
2020 7 -2.589936 0.9836492 -1.606286 1.04156
2020 8 -0.8482244 0.974239 0.1260146 1.030578
2020 9 1.343465 0.8133672 2.156833 1.093362
2020 10 3.04239 0.7963319 3.838722 1.09414
2020 11 2.603929 0.8767472 3.480677 1.083468
2020 12 0.2631146 0.6890492 0.9521638 1.103948
