year month land ocean net foss
2015 1 0.946647 -0.05215869 0.8944883 0.1456044
2015 2 1.183993 -0.06939126 1.114602 0.1531096
2015 3 1.179069 -0.0536656 1.125403 0.1471558
2015 4 0.8505951 -0.1001324 0.7504627 0.142458
2015 5 -0.8154618 -0.1118 -0.9272618 0.1368614
2015 6 -5.093188 -0.1400204 -5.233208 0.1438592
2015 7 -6.150437 -0.1221188 -6.272556 0.1364539
2015 8 -2.424188 -0.1397465 -2.563934 0.1394384
2015 9 1.919236 -0.1480809 1.771155 0.1402917
2015 10 2.613301 -0.12825 2.485051 0.1429574
2015 11 1.821233 -0.09091113 1.730322 0.1455564
2015 12 1.32457 -0.0917263 1.232843 0.147985
2016 1 1.107982 -0.07510371 1.032879 0.1503146
2016 2 1.239239 -0.06599035 1.173248 0.1535574
2016 3 1.20199 -0.064607 1.137383 0.152684
2016 4 0.5963558 -0.1061082 0.4902476 0.1471969
2016 5 -0.9293763 -0.120764 -1.05014 0.1420658
2016 6 -5.645036 -0.1337522 -5.778788 0.1489919
2016 7 -5.653745 -0.1224866 -5.776232 0.1407984
2016 8 -1.858742 -0.1345106 -1.993252 0.1449577
2016 9 2.109324 -0.1683751 1.940948 0.145271
2016 10 2.625265 -0.1473215 2.477944 0.1477322
2016 11 1.739318 -0.1041608 1.635157 0.1510829
2016 12 1.149709 -0.09221549 1.057493 0.1528994
2017 1 1.08966 -0.09417177 0.9954885 0.1546578
2017 2 1.162699 -0.07868326 1.084016 0.162727
2017 3 1.30328 -0.06446344 1.238817 0.1568435
2017 4 1.037381 -0.1090039 0.9283772 0.151015
2017 5 -0.2419619 -0.1223634 -0.3643254 0.1463049
2017 6 -4.715304 -0.1527464 -4.86805 0.1530965
2017 7 -6.903188 -0.1302719 -7.03346 0.1446764
2017 8 -2.159372 -0.1150828 -2.274455 0.1490113
2017 9 1.870814 -0.1538737 1.716941 0.1490384
2017 10 2.764108 -0.139214 2.624894 0.1520523
2017 11 1.82055 -0.1235869 1.696963 0.1551448
2017 12 1.450738 -0.0869556 1.363782 0.1566038
2018 1 1.117342 -0.06190675 1.055436 0.1602448
2018 2 1.14773 -0.07507937 1.07265 0.1682926
2018 3 1.210509 -0.07021042 1.140298 0.1619119
2018 4 1.135085 -0.09444627 1.040639 0.1564299
2018 5 -0.1842516 -0.1623248 -0.3465764 0.1512533
2018 6 -4.690897 -0.1477806 -4.838678 0.1580129
2018 7 -6.341837 -0.1321985 -6.474036 0.1498029
2018 8 -2.298962 -0.1240575 -2.42302 0.1540143
2018 9 1.638445 -0.1480956 1.490349 0.1537563
2018 10 2.693313 -0.1399982 2.553314 0.1575412
2018 11 1.707922 -0.1098834 1.598039 0.1603544
2018 12 1.286573 -0.1036703 1.182903 0.1619459
2019 1 0.9620036 -0.1102455 0.8517581 0.1575052
2019 2 1.103687 -0.09284376 1.010843 0.1654286
2019 3 1.3002 -0.0899867 1.210214 0.1588541
2019 4 0.9989954 -0.1234673 0.8755281 0.1542643
2019 5 -0.5653234 -0.1350755 -0.7003989 0.1487761
2019 6 -5.015946 -0.1355014 -5.151448 0.1551391
2019 7 -6.357982 -0.13732 -6.495302 0.1477086
2019 8 -2.13572 -0.1417546 -2.277475 0.1512846
2019 9 1.832158 -0.160549 1.671609 0.1515438
2019 10 2.726655 -0.1524475 2.574208 0.1549422
2019 11 1.80399 -0.09879961 1.705191 0.157349
2019 12 1.229831 -0.1041374 1.125693 0.159425
2020 1 0.9485145 -0.1100117 0.8385027 0.1520062
2020 2 1.082751 -0.09358229 0.9891683 0.1599596
2020 3 1.276472 -0.09168744 1.184784 0.1520852
2020 4 1.000957 -0.1232336 0.8777229 0.1351555
2020 5 -0.4679912 -0.134699 -0.6026902 0.1302472
2020 6 -5.764098 -0.1399255 -5.904024 0.1429977
2020 7 -6.428734 -0.1413905 -6.570125 0.1385207
2020 8 -2.084973 -0.1452213 -2.230194 0.1425229
2020 9 1.526561 -0.1624737 1.364087 0.1444575
2020 10 2.724261 -0.1502917 2.57397 0.1456873
2020 11 1.991658 -0.09846586 1.893192 0.1480647
2020 12 1.30861 -0.1036462 1.204963 0.1617453
