year month land ocean net foss
2015 1 2.448261 -0.4988212 1.94944 1.865727
2015 2 1.939832 -0.425468 1.514364 1.919316
2015 3 1.4955 -0.5061985 0.9893013 1.828884
2015 4 -0.02116246 -0.5849899 -0.6061524 1.770597
2015 5 -4.025694 -0.5108767 -4.536571 1.703554
2015 6 -8.327779 -0.4208771 -8.748656 1.76214
2015 7 -7.466134 -0.2054272 -7.671561 1.751881
2015 8 -2.970569 -0.1168487 -3.087418 1.744297
2015 9 0.8390307 -0.1864091 0.6526216 1.773223
2015 10 3.698036 -0.4934753 3.204561 1.77434
2015 11 3.751373 -0.705729 3.045644 1.860989
2015 12 3.268692 -0.7116444 2.557048 1.951653
2016 1 2.548094 -0.4813645 2.066729 1.858563
2016 2 2.200487 -0.3891101 1.811377 1.855693
2016 3 1.431431 -0.4348436 0.996587 1.832372
2016 4 -1.347192 -0.516882 -1.864074 1.76504
2016 5 -4.939143 -0.5234413 -5.462585 1.705686
2016 6 -8.139576 -0.4088911 -8.548467 1.760806
2016 7 -7.871548 -0.2103478 -8.081896 1.741402
2016 8 -3.665427 -0.1205153 -3.785943 1.749515
2016 9 1.254011 -0.1867199 1.067291 1.770474
2016 10 4.141297 -0.5246521 3.616645 1.768081
2016 11 3.777326 -0.6805497 3.096776 1.863973
2016 12 2.929867 -0.6386375 2.29123 1.943733
2017 1 2.400615 -0.4900939 1.910521 1.878454
2017 2 2.224093 -0.4170552 1.807038 1.93412
2017 3 1.64974 -0.5318523 1.117887 1.849257
2017 4 -0.6197831 -0.5320266 -1.15181 1.778333
2017 5 -4.456739 -0.5944116 -5.05115 1.726968
2017 6 -8.076752 -0.468823 -8.545575 1.777415
2017 7 -7.847021 -0.2203499 -8.067371 1.757943
2017 8 -3.985604 -0.1039637 -4.089567 1.766423
2017 9 0.9508745 -0.2124309 0.7384436 1.784025
2017 10 3.850856 -0.5078997 3.342957 1.788801
2017 11 3.508736 -0.6612719 2.847464 1.881976
2017 12 2.884854 -0.6664232 2.21843 1.956501
2018 1 2.573699 -0.6785685 1.895131 1.914762
2018 2 2.260994 -0.5123812 1.748613 1.966035
2018 3 2.039558 -0.5541368 1.485422 1.876829
2018 4 -0.09741606 -0.7171394 -0.8145554 1.811479
2018 5 -4.452288 -0.5718217 -5.02411 1.756987
2018 6 -8.292373 -0.421288 -8.713661 1.804784
2018 7 -7.911806 -0.189617 -8.101423 1.791907
2018 8 -4.101065 -0.08362945 -4.184694 1.797644
2018 9 1.523725 -0.1664151 1.35731 1.810355
2018 10 3.729949 -0.4712692 3.25868 1.82378
2018 11 3.186428 -0.7641431 2.422285 1.912784
2018 12 2.92199 -0.8143092 2.107681 1.98973
2019 1 2.517361 -0.5183028 1.999058 1.900478
2019 2 2.105093 -0.5324208 1.572672 1.951071
2019 3 1.583581 -0.4828522 1.100729 1.859771
2019 4 -0.2572341 -0.6189343 -0.8761684 1.805875
2019 5 -3.951918 -0.6052966 -4.557215 1.747045
2019 6 -7.226762 -0.3994488 -7.626211 1.791195
2019 7 -8.09936 -0.1919 -8.29126 1.786867
2019 8 -3.662559 -0.08653136 -3.74909 1.784813
2019 9 0.9974933 -0.2206598 0.7768335 1.804541
2019 10 3.760676 -0.5222733 3.238403 1.814433
2019 11 3.566745 -0.7643629 2.802382 1.898349
2019 12 3.194738 -0.9537482 2.24099 1.982391
2020 1 2.619798 -0.4966795 2.123119 1.809863
2020 2 2.202171 -0.5073243 1.694847 1.764404
2020 3 1.713503 -0.4677639 1.245739 1.658378
2020 4 -0.2757413 -0.6094877 -0.885229 1.492923
2020 5 -3.862112 -0.5974631 -4.459575 1.488994
2020 6 -7.40995 -0.3936924 -7.803642 1.663009
2020 7 -8.188241 -0.1914423 -8.379683 1.66342
2020 8 -3.968151 -0.08971759 -4.057868 1.681924
2020 9 0.8084539 -0.2229 0.5855539 1.721973
2020 10 4.011898 -0.5166078 3.49529 1.716814
2020 11 3.891879 -0.7450077 3.146871 1.764036
2020 12 3.40089 -0.9294846 2.471406 1.962919
