year month land ocean net foss
2015 1 -0.4027012 -0.6772451 -1.079946 1.778712
2015 2 -0.6263847 -0.7482208 -1.374605 1.835634
2015 3 0.2444772 -0.5691894 -0.3247122 1.805538
2015 4 0.1807378 -0.4190407 -0.2383029 1.764394
2015 5 0.02515605 -0.1896191 -0.164463 1.728063
2015 6 -0.1401349 -0.01145898 -0.1515939 1.775361
2015 7 -1.04729 0.1911598 -0.8561306 1.76182
2015 8 -1.562287 0.2743659 -1.287921 1.755929
2015 9 -1.57592 0.2329349 -1.342985 1.784111
2015 10 -1.09974 0.09807224 -1.001668 1.778622
2015 11 0.1880527 -0.1773959 0.01065679 1.863886
2015 12 0.0132695 -0.4018707 -0.3886012 1.937359
2016 1 -0.3441969 -0.5216401 -0.865837 1.772323
2016 2 -0.6139604 -0.7273076 -1.341268 1.774439
2016 3 0.7014705 -0.5635785 0.137892 1.80575
2016 4 1.451581 -0.3821692 1.069412 1.757728
2016 5 1.113215 -0.1909044 0.9223104 1.731439
2016 6 0.436913 -0.03197699 0.404936 1.772601
2016 7 -0.6546277 0.1247158 -0.5299119 1.752146
2016 8 -1.71176 0.2618839 -1.449876 1.758834
2016 9 -1.850389 0.1988299 -1.651559 1.779071
2016 10 -0.8788672 0.04712368 -0.8317435 1.774109
2016 11 -0.6216578 -0.2077518 -0.8294096 1.863953
2016 12 -0.6005228 -0.4709277 -1.07145 1.927865
2017 1 -0.665013 -0.6151455 -1.280159 1.803535
2017 2 -0.6913312 -0.6537216 -1.345053 1.86017
2017 3 0.6665737 -0.5715571 0.09501662 1.832265
2017 4 0.8864271 -0.3953637 0.4910634 1.78432
2017 5 -0.06312469 -0.2017195 -0.2648442 1.763127
2017 6 0.933918 -0.03087106 0.9030469 1.799578
2017 7 -0.3287365 0.120366 -0.2083705 1.780705
2017 8 -1.74721 0.2420204 -1.50519 1.785765
2017 9 -1.601555 0.1972919 -1.404263 1.80368
2017 10 -1.213986 0.04588516 -1.168101 1.805986
2017 11 -0.4909499 -0.2133669 -0.7043168 1.892405
2017 12 -0.4951337 -0.4403597 -0.9354934 1.953623
2018 1 -0.7613298 -0.6661206 -1.42745 1.859421
2018 2 -0.5162943 -0.7188733 -1.235168 1.914536
2018 3 0.2655403 -0.6585721 -0.3930318 1.882176
2018 4 0.5500133 -0.521517 0.02849633 1.840575
2018 5 0.3222249 -0.2775438 0.04468117 1.815043
2018 6 0.373375 -0.08902189 0.2843531 1.848261
2018 7 -0.4991349 0.08490092 -0.414234 1.835716
2018 8 -1.051234 0.1963359 -0.8548977 1.835402
2018 9 -1.59732 0.2000374 -1.397283 1.853677
2018 10 -1.146396 0.0483786 -1.098017 1.861804
2018 11 -0.2769443 -0.1877738 -0.464718 1.946046
2018 12 0.1691723 -0.4337051 -0.2645328 2.011858
2019 1 -0.2443304 -0.5682076 -0.812538 1.888373
2019 2 -0.363846 -0.628689 -0.992535 1.944691
2019 3 0.1166599 -0.5046179 -0.387958 1.909708
2019 4 0.6883313 -0.3600053 0.328326 1.874767
2019 5 0.5466742 -0.1867794 0.3598948 1.844092
2019 6 0.2709387 -0.02340512 0.2475335 1.877253
2019 7 -0.008151747 0.1525165 0.1443648 1.869753
2019 8 -1.442366 0.2799461 -1.16242 1.862218
2019 9 -2.052864 0.293897 -1.758967 1.889256
2019 10 -0.9328727 0.1167563 -0.8161163 1.893338
2019 11 -0.4026094 -0.156034 -0.5586435 1.975247
2019 12 -0.6443781 -0.4108901 -1.055268 2.050225
2020 1 -0.5452425 -0.5446502 -1.089893 1.864558
2020 2 -0.9167451 -0.6071652 -1.52391 1.803474
2020 3 0.2416983 -0.4930076 -0.2513093 1.692159
2020 4 0.9607094 -0.3595273 0.601182 1.528224
2020 5 1.271276 -0.1919685 1.079307 1.608004
2020 6 1.218347 -0.02024805 1.198099 1.753084
2020 7 0.1717643 0.1573356 0.3290999 1.78028
2020 8 -1.666332 0.2860687 -1.380263 1.801663
2020 9 -1.814902 0.3021323 -1.51277 1.873116
2020 10 -0.6466043 0.1261559 -0.5204485 1.875874
2020 11 -0.3219735 -0.1565423 -0.4785158 1.933856
2020 12 -0.933544 -0.4185827 -1.352127 2.029179
