year month land ocean net foss
2015 1 -2.484331 0.2289367 -2.255394 0.06646022
2015 2 -2.500775 0.3105019 -2.190274 0.0693564
2015 3 -2.261351 0.2394895 -2.021861 0.06876264
2015 4 -1.942845 0.1469759 -1.795869 0.06869829
2015 5 -1.118443 0.008179938 -1.110263 0.06811888
2015 6 0.3460467 -0.166967 0.1790797 0.06996243
2015 7 1.041826 -0.3282603 0.7135654 0.06943513
2015 8 1.599719 -0.3430686 1.256651 0.07030077
2015 9 2.544606 -0.2299842 2.314621 0.07107608
2015 10 2.59448 -0.1502524 2.444228 0.0701787
2015 11 2.536645 0.05237605 2.589021 0.07039963
2015 12 0.8227507 0.1645309 0.9872816 0.06974113
2016 1 -0.788293 0.2320504 -0.5562426 0.06601396
2016 2 -2.811365 0.3376978 -2.473667 0.06718234
2016 3 -2.787697 0.2899537 -2.497743 0.06865947
2016 4 -2.572094 0.2196315 -2.352462 0.06833468
2016 5 -1.257038 0.01789671 -1.239141 0.06790196
2016 6 0.0586059 -0.1997586 -0.1411527 0.06971892
2016 7 0.8661181 -0.3445526 0.5215656 0.06888684
2016 8 2.071687 -0.3652513 1.706436 0.07028901
2016 9 2.708805 -0.2974832 2.411322 0.07080784
2016 10 2.614603 -0.1014425 2.513161 0.06970766
2016 11 2.153101 -0.0003732402 2.152728 0.07032442
2016 12 -0.5173431 0.1011482 -0.4161949 0.06936062
2017 1 -3.017291 0.1512236 -2.866067 0.06694117
2017 2 -4.075752 0.2232471 -3.852505 0.06999768
2017 3 -4.340053 0.2139686 -4.126084 0.06952268
2017 4 -3.598586 0.1254159 -3.47317 0.06903451
2017 5 -2.349585 -0.02371156 -2.373297 0.06892966
2017 6 -1.39849 -0.1711113 -1.569602 0.0706072
2017 7 -0.1305586 -0.3359726 -0.4665312 0.06974656
2017 8 1.701265 -0.3638048 1.337461 0.07119862
2017 9 3.298903 -0.2183808 3.080522 0.07160253
2017 10 3.461134 -0.1050844 3.35605 0.07069567
2017 11 2.091012 0.03500288 2.126014 0.07122215
2017 12 -0.2097619 0.1181659 -0.09159594 0.07007465
2018 1 -2.289444 0.2129787 -2.076465 0.06718062
2018 2 -2.605904 0.22339 -2.382514 0.07010958
2018 3 -3.106087 0.2259646 -2.880123 0.06947224
2018 4 -2.588157 0.1174228 -2.470734 0.06919584
2018 5 -1.72482 -0.01272183 -1.737542 0.06900337
2018 6 -0.5202944 -0.1535406 -0.673835 0.07058093
2018 7 0.3828251 -0.3271959 0.05562925 0.06989119
2018 8 1.612582 -0.3550359 1.257546 0.07123173
2018 9 2.540972 -0.277211 2.263761 0.07147435
2018 10 2.587703 -0.07728715 2.510416 0.07090978
2018 11 2.007264 0.03483499 2.042099 0.07127386
2018 12 -0.3867709 0.1444392 -0.2423317 0.07009559
2019 1 -2.795944 0.2225157 -2.573428 0.06784597
2019 2 -2.713623 0.2183836 -2.49524 0.07080561
2019 3 -2.372044 0.2684831 -2.103561 0.06996011
2019 4 -2.067096 0.1707381 -1.896358 0.07004038
2019 5 -1.306479 0.0362428 -1.270236 0.06966076
2019 6 0.1340687 -0.1416301 -0.007561479 0.07109315
2019 7 0.7898303 -0.3070683 0.4827621 0.07072858
2019 8 1.387903 -0.3552818 1.032621 0.0718096
2019 9 3.013058 -0.2229497 2.790109 0.07223828
2019 10 2.941835 -0.07036098 2.871474 0.07160328
2019 11 2.041459 0.08656105 2.12802 0.07185804
2019 12 -0.1836533 0.1292541 -0.05439919 0.07085077
2020 1 -2.841248 0.2325282 -2.60872 0.07208808
2020 2 -3.431198 0.2255035 -3.205695 0.06821984
2020 3 -3.315543 0.2722765 -3.043266 0.06114651
2020 4 -3.166368 0.1760886 -2.990279 0.0494478
2020 5 -2.559395 0.05026084 -2.509134 0.05126901
2020 6 -0.6653035 -0.1209079 -0.7862114 0.059661
2020 7 0.2078795 -0.2837098 -0.07583033 0.05932539
2020 8 1.269963 -0.3366063 0.9333564 0.05952218
2020 9 2.898858 -0.2030913 2.695766 0.061932
2020 10 3.774121 -0.04295425 3.731166 0.06348423
2020 11 2.449852 0.09023769 2.54009 0.0642695
2020 12 -1.233488 0.1266896 -1.106799 0.06575148
