year month land ocean net foss
2015 1 -4.456864 0.6912952 -3.765568 1.031357
2015 2 -2.336897 0.7012195 -1.635677 1.076385
2015 3 0.7999281 0.5283303 1.328258 1.052433
2015 4 0.09625624 0.4740699 0.5703262 1.045999
2015 5 0.4194988 0.6167472 1.036246 1.032179
2015 6 1.631092 0.7748379 2.40593 1.051832
2015 7 -0.6706526 0.6916399 0.0209873 1.036863
2015 8 -1.995435 0.6942251 -1.30121 1.031274
2015 9 1.601914 0.6504175 2.252331 1.052603
2015 10 5.593975 0.52727 6.121246 1.050776
2015 11 4.468695 0.623219 5.091914 1.067663
2015 12 3.139601 0.5091396 3.648741 1.077117
2016 1 2.051843 0.42778 2.479623 1.061006
2016 2 0.5777606 0.4685525 1.046313 1.076691
2016 3 2.333556 0.4927116 2.826268 1.086976
2016 4 1.757268 0.5756156 2.332884 1.076264
2016 5 0.41629 0.6562888 1.072579 1.06615
2016 6 -0.3072813 0.7358724 0.428591 1.084638
2016 7 -2.450077 0.7780226 -1.672055 1.065347
2016 8 -1.723683 0.8529334 -0.8707498 1.067576
2016 9 0.227738 0.7544494 0.9821874 1.085469
2016 10 2.739946 0.7343619 3.474308 1.082233
2016 11 3.60172 0.5651468 4.166867 1.10331
2016 12 0.5980198 0.5052734 1.103293 1.108324
2017 1 -2.063514 0.4619142 -1.6016 1.074009
2017 2 -1.87148 0.4314051 -1.440075 1.120464
2017 3 -1.203809 0.5546781 -0.6491309 1.097431
2017 4 -0.9843835 0.5629238 -0.4214597 1.084952
2017 5 -0.2838327 0.7436433 0.4598106 1.078905
2017 6 -0.6797915 0.8961815 0.21639 1.09428
2017 7 -2.896293 0.9735775 -1.922716 1.075242
2017 8 -2.392291 0.9276117 -1.46468 1.07695
2017 9 0.8897507 0.9931312 1.882882 1.092985
2017 10 3.359712 0.8825189 4.242231 1.093701
2017 11 2.849281 0.9434689 3.79275 1.113548
2017 12 -1.689519 0.8055609 -0.883958 1.116688
2018 1 -2.843082 0.7948683 -2.048214 1.119564
2018 2 0.1176645 0.6965272 0.8141917 1.165819
2018 3 -1.306685 0.819035 -0.4876504 1.139793
2018 4 -2.235561 0.6361377 -1.599424 1.130779
2018 5 -1.439488 0.7248816 -0.7146065 1.122449
2018 6 -1.301752 0.9165498 -0.3852022 1.136391
2018 7 -2.208449 0.986069 -1.22238 1.120137
2018 8 -0.9489134 0.8363354 -0.112578 1.11937
2018 9 0.688755 0.6541098 1.342865 1.135018
2018 10 3.019098 0.6675531 3.686651 1.140145
2018 11 4.312525 0.6536903 4.966215 1.158496
2018 12 0.7856041 0.6090422 1.394646 1.163036
2019 1 -1.905243 0.6378549 -1.267388 1.145209
2019 2 -0.4580062 0.4816103 0.0236041 1.192605
2019 3 0.7645317 0.648487 1.413019 1.16352
2019 4 1.468172 0.7309718 2.199144 1.159096
2019 5 1.055681 0.7387572 1.794438 1.147604
2019 6 0.9494592 0.9925211 1.94198 1.160827
2019 7 -1.492694 0.8988343 -0.5938602 1.148378
2019 8 -1.691501 0.9451428 -0.7463583 1.14355
2019 9 1.92365 0.8094408 2.733091 1.1637
2019 10 2.129368 0.7587225 2.888091 1.166995
2019 11 0.8246007 0.8249974 1.649598 1.183389
2019 12 -0.3993776 0.6558667 0.2564891 1.192343
2020 1 -1.213612 0.652193 -0.5614193 1.158015
2020 2 -1.081987 0.4894392 -0.5925479 1.174204
2020 3 -0.2832653 0.6442227 0.3609574 1.026968
2020 4 -0.4615696 0.7240344 0.2624647 0.8590462
2020 5 0.2376074 0.7357503 0.9733577 0.9014038
2020 6 0.5187122 0.998391 1.517103 1.018824
2020 7 -2.151756 0.899476 -1.25228 1.04156
2020 8 -1.92134 0.9473752 -0.9739652 1.030578
2020 9 -0.3676372 0.8094852 0.441848 1.093362
2020 10 2.930942 0.7609441 3.691886 1.09414
2020 11 3.010831 0.7962891 3.80712 1.083468
2020 12 -0.949132 0.6240595 -0.3250725 1.103948
