year month land ocean net foss
2015 1 2.701575 0.02571154 2.727286 1.062129
2015 2 2.353057 0.009347318 2.362404 1.088648
2015 3 2.420259 -0.03318654 2.387073 1.066069
2015 4 1.598668 -0.2160671 1.382601 0.9749839
2015 5 -3.633325 -0.3729794 -4.006305 0.9040669
2015 6 -11.82608 -0.3906056 -12.21669 0.9303582
2015 7 -9.49579 -0.2979139 -9.793704 0.8691966
2015 8 -3.223914 -0.275456 -3.49937 0.8904645
2015 9 2.52813 -0.2906861 2.237444 0.916969
2015 10 4.163831 -0.3210293 3.842802 0.9828725
2015 11 3.880205 -0.2123386 3.667866 1.034691
2015 12 3.461858 0.003777499 3.465635 1.086909
2016 1 2.347535 0.05766827 2.405203 1.073897
2016 2 2.439005 0.07055632 2.509561 1.066947
2016 3 2.229799 0.03240358 2.262203 1.084046
2016 4 0.9954988 -0.1627718 0.832727 0.9870936
2016 5 -3.877616 -0.3089522 -4.186568 0.9194386
2016 6 -12.07578 -0.371141 -12.44692 0.9450597
2016 7 -9.934724 -0.3105044 -10.24523 0.8789672
2016 8 -3.293238 -0.3208717 -3.61411 0.9087468
2016 9 3.149714 -0.369213 2.780501 0.9306825
2016 10 4.106545 -0.3429217 3.763623 0.9954386
2016 11 3.598749 -0.2034914 3.395258 1.051872
2016 12 2.990864 -0.08411633 2.906747 1.099845
2017 1 2.757019 0.002142915 2.759162 1.090822
2017 2 2.55993 0.1328373 2.692767 1.118032
2017 3 2.411857 0.01255455 2.424412 1.100015
2017 4 1.573473 -0.1978975 1.375575 0.9991655
2017 5 -3.134029 -0.3548141 -3.488843 0.9354934
2017 6 -11.84028 -0.4001307 -12.24042 0.9601952
2017 7 -11.36742 -0.3366774 -11.7041 0.8926547
2017 8 -3.387427 -0.2531385 -3.640565 0.924146
2017 9 3.192222 -0.3010752 2.891147 0.9430197
2017 10 4.715512 -0.3416454 4.373866 1.012617
2017 11 3.890193 -0.3026725 3.587521 1.066346
2017 12 3.186764 -0.145794 3.04097 1.112555
2018 1 2.54708 -0.0482504 2.49883 1.109346
2018 2 2.263254 -0.02969838 2.233556 1.133901
2018 3 2.571741 0.0133093 2.58505 1.115205
2018 4 2.097863 -0.1578437 1.94002 1.016216
2018 5 -2.98434 -0.3774973 -3.361837 0.9500336
2018 6 -11.72551 -0.3806179 -12.10613 0.9745197
2018 7 -10.84898 -0.3347749 -11.18376 0.9082754
2018 8 -4.084418 -0.3019452 -4.386363 0.939783
2018 9 2.563741 -0.2978544 2.265887 0.9552903
2018 10 4.397395 -0.3237341 4.073661 1.031075
2018 11 3.708138 -0.2802389 3.427899 1.081318
2018 12 2.872575 -0.1860433 2.686532 1.128882
2019 1 2.620654 -0.09008994 2.530564 1.082298
2019 2 2.106386 0.03264643 2.139032 1.106097
2019 3 2.273407 0.01147137 2.284878 1.085859
2019 4 1.140145 -0.2282087 0.9119366 0.9943374
2019 5 -3.477663 -0.3670444 -3.844708 0.9271853
2019 6 -12.04005 -0.3616306 -12.40169 0.9496777
2019 7 -11.37928 -0.2755675 -11.65485 0.8888323
2019 8 -4.100187 -0.2819141 -4.382101 0.9164477
2019 9 2.351265 -0.345106 2.006159 0.9340754
2019 10 4.437113 -0.3723713 4.064742 1.006548
2019 11 3.744606 -0.3364418 3.408165 1.052868
2019 12 3.140639 -0.2400989 2.90054 1.10334
2020 1 2.654715 -0.07033793 2.584377 1.025898
2020 2 2.144323 0.04126821 2.185591 1.035281
2020 3 2.391469 0.01490577 2.406375 1.026106
2020 4 1.087566 -0.229179 0.8583872 0.8129408
2020 5 -4.305239 -0.3675012 -4.672741 0.7712612
2020 6 -12.91563 -0.3619996 -13.27763 0.8752833
2020 7 -10.33897 -0.2762272 -10.6152 0.8247841
2020 8 -3.067368 -0.282455 -3.349823 0.8632668
2020 9 2.522835 -0.3426443 2.180191 0.9004277
2020 10 4.73419 -0.3644538 4.369736 0.9439611
2020 11 4.063784 -0.3277422 3.736042 0.9737603
2020 12 3.343112 -0.2300991 3.113013 1.109142
