year month land ocean net foss
2015 1 -0.0730927 -0.4268214 -0.4999141 0.001408784
2015 2 -0.03334311 -0.4454335 -0.4787767 0.001485787
2015 3 0.01251892 -0.2095826 -0.1970637 0.001433433
2015 4 0.04651804 -0.09118621 -0.04466817 0.001434862
2015 5 0.06333825 0.1073388 0.170677 0.001414344
2015 6 0.05959813 0.2196902 0.2792883 0.001447094
2015 7 0.05839745 0.304611 0.3630085 0.001418176
2015 8 0.04449615 0.3018744 0.3463705 0.001431035
2015 9 0.02668846 0.1971097 0.2237982 0.0014536
2015 10 -0.02418254 0.08180904 0.0576265 0.001425383
2015 11 -0.05792951 -0.2259709 -0.2839004 0.00144318
2015 12 -0.08576359 -0.3903305 -0.476094 0.001435956
2016 1 -0.08016681 -0.5399091 -0.6200759 0.001422832
2016 2 -0.04620153 -0.4383552 -0.4845567 0.001465029
2016 3 0.01170131 -0.2453433 -0.233642 0.001452546
2016 4 0.04092273 -0.01154985 0.02937288 0.001449821
2016 5 0.05963022 0.1864923 0.2461226 0.001430837
2016 6 0.06345026 0.3548839 0.4183342 0.001463568
2016 7 0.05622881 0.3441525 0.4003813 0.001429868
2016 8 0.04373683 0.3083449 0.3520818 0.001450138
2016 9 0.01854748 0.199978 0.2185255 0.00146935
2016 10 -0.02060796 -0.05869413 -0.07930209 0.001437898
2016 11 -0.05574568 -0.2183681 -0.2741137 0.001461833
2016 12 -0.07471876 -0.366949 -0.4416677 0.001450756
2017 1 -0.05884913 -0.4604129 -0.519262 0.001392175
2017 2 -0.04120191 -0.4416259 -0.4828278 0.00147076
2017 3 0.007989308 -0.2715463 -0.263557 0.001420313
2017 4 0.04034212 -0.1254647 -0.08512254 0.001415019
2017 5 0.05934337 0.1123072 0.1716506 0.001400858
2017 6 0.05733196 0.232913 0.290245 0.001430603
2017 7 0.05336071 0.3787024 0.4320631 0.001396708
2017 8 0.04265861 0.2774384 0.320097 0.001417428
2017 9 0.02351114 0.1516698 0.1751809 0.001434657
2017 10 -0.02897827 -0.05126946 -0.08024773 0.001406135
2017 11 -0.07196315 -0.2909214 -0.3628845 0.001428562
2017 12 -0.08914177 -0.3936158 -0.4827576 0.001415861
2018 1 -0.06447597 -0.4078718 -0.4723477 0.001391822
2018 2 -0.03360984 -0.3804596 -0.4140694 0.00146823
2018 3 0.0002446763 -0.2468678 -0.2466231 0.001416263
2018 4 0.04444899 -0.08731977 -0.04287077 0.001413044
2018 5 0.05816266 0.04898478 0.1071474 0.001398437
2018 6 0.05886414 0.1873463 0.2462104 0.001426478
2018 7 0.05282951 0.3432452 0.3960747 0.001394864
2018 8 0.04231313 0.3667916 0.4091047 0.001414306
2018 9 0.02092255 0.2249868 0.2459093 0.001429089
2018 10 -0.02655155 -0.03591542 -0.06246697 0.001405427
2018 11 -0.07062137 -0.2872786 -0.3578999 0.001425537
2018 12 -0.0707837 -0.4599928 -0.5307765 0.001412477
2019 1 -0.07599731 -0.5735083 -0.6495056 0.001365291
2019 2 -0.03982256 -0.434674 -0.4744966 0.001439374
2019 3 0.01524033 -0.3135213 -0.298281 0.001386309
2019 4 0.04144058 -0.141116 -0.09967542 0.00138757
2019 5 0.05267821 0.04727391 0.09995212 0.001370967
2019 6 0.05830132 0.1299295 0.1882308 0.00139583
2019 7 0.05571414 0.1767211 0.2324352 0.001369451
2019 8 0.0401161 0.2756816 0.3157977 0.001385001
2019 9 0.02165967 0.1561956 0.1778552 0.001401266
2019 10 -0.02901675 -0.1087732 -0.1377899 0.001377835
2019 11 -0.0590088 -0.2616511 -0.3206599 0.001395901
2019 12 -0.08125122 -0.4318972 -0.5131485 0.001385791
2020 1 -0.07655872 -0.5775968 -0.6541555 0.001368301
2020 2 -0.04119768 -0.4372139 -0.4784116 0.00140483
2020 3 0.0147023 -0.3149971 -0.3002948 0.001221548
2020 4 0.04121659 -0.1439134 -0.1026968 0.001054262
2020 5 0.05293052 0.04864215 0.1015727 0.001064999
2020 6 0.05853375 0.1313067 0.1898405 0.00119813
2020 7 0.05598576 0.1764076 0.2323934 0.001205994
2020 8 0.04074014 0.2759882 0.3167283 0.001207493
2020 9 0.02350627 0.1587491 0.1822553 0.001261379
2020 10 -0.02762484 -0.1042419 -0.1318667 0.001219129
2020 11 -0.0637625 -0.2851508 -0.3489133 0.00120984
2020 12 -0.08583707 -0.442911 -0.5287481 0.001224184
