year month land ocean net foss
2015 1 0.1915477 -0.6570471 -0.4654994 1.778712
2015 2 0.3691702 -0.7226348 -0.3534646 1.835634
2015 3 1.110749 -0.5512182 0.5595307 1.805538
2015 4 0.5203329 -0.4143089 0.106024 1.764394
2015 5 -0.2459662 -0.1965568 -0.442523 1.728063
2015 6 -0.4442645 -0.01361566 -0.4578801 1.775361
2015 7 -1.204411 0.198634 -1.005777 1.76182
2015 8 -1.864827 0.2872828 -1.577544 1.755929
2015 9 -1.682868 0.2433599 -1.439508 1.784111
2015 10 -1.177315 0.1022488 -1.075066 1.778622
2015 11 0.5273368 -0.1758093 0.3515275 1.863886
2015 12 0.9265571 -0.39162 0.5349371 1.937359
2016 1 0.8861406 -0.5063295 0.3798111 1.772323
2016 2 0.6938864 -0.7067891 -0.0129027 1.774439
2016 3 1.636525 -0.5516215 1.084904 1.80575
2016 4 1.73988 -0.384574 1.355306 1.757728
2016 5 0.1276955 -0.2023727 -0.07467721 1.731439
2016 6 -0.4724081 -0.04014471 -0.5125528 1.772601
2016 7 -0.9825715 0.1274175 -0.855154 1.752146
2016 8 -2.056358 0.2713769 -1.784981 1.758834
2016 9 -2.473621 0.2057332 -2.267888 1.779071
2016 10 -1.63404 0.04885403 -1.585186 1.774109
2016 11 -0.1434398 -0.2025283 -0.3459681 1.863953
2016 12 0.1119173 -0.4517076 -0.3397903 1.927865
2017 1 0.1259856 -0.5927342 -0.4667486 1.803535
2017 2 0.1398453 -0.6361594 -0.4963141 1.86017
2017 3 0.8531484 -0.5698477 0.2833008 1.832265
2017 4 0.1093066 -0.4140268 -0.3047202 1.78432
2017 5 -1.430722 -0.2197444 -1.650467 1.763127
2017 6 -0.6292935 -0.0372229 -0.6665164 1.799578
2017 7 -0.9758661 0.1234709 -0.8523953 1.780705
2017 8 -1.946717 0.2553278 -1.69139 1.785765
2017 9 -2.57256 0.2066092 -2.365951 1.80368
2017 10 -1.888746 0.05058736 -1.838159 1.805986
2017 11 -0.6087903 -0.2117105 -0.8205008 1.892405
2017 12 -0.122797 -0.4287561 -0.551553 1.953623
2018 1 0.3344236 -0.6427877 -0.3083642 1.859421
2018 2 1.024643 -0.6857035 0.3389399 1.914536
2018 3 1.393733 -0.6312682 0.7624645 1.882176
2018 4 0.7639045 -0.512635 0.2512694 1.840575
2018 5 -0.9173279 -0.2814172 -1.198745 1.815043
2018 6 -0.9728138 -0.09252552 -1.065339 1.848261
2018 7 -1.114818 0.08953306 -1.025285 1.835716
2018 8 -1.846524 0.2060484 -1.640475 1.835402
2018 9 -2.725122 0.2046883 -2.520433 1.853677
2018 10 -1.527921 0.04900874 -1.478912 1.861804
2018 11 -0.109448 -0.1885689 -0.2980169 1.946046
2018 12 0.5621517 -0.4311899 0.1309618 2.011858
2019 1 0.503164 -0.5579103 -0.05474624 1.888373
2019 2 0.6740056 -0.6145507 0.0594549 1.944691
2019 3 0.8977519 -0.4982681 0.3994838 1.909708
2019 4 0.8320295 -0.3673032 0.4647262 1.874767
2019 5 0.09646408 -0.2020353 -0.1055712 1.844092
2019 6 -0.5771556 -0.02987257 -0.6070282 1.877253
2019 7 -1.119562 0.1526946 -0.9668673 1.869753
2019 8 -2.465527 0.2833633 -2.182163 1.862218
2019 9 -2.475481 0.2959491 -2.179532 1.889256
2019 10 -1.434996 0.1137285 -1.321267 1.893338
2019 11 -0.2434159 -0.1720622 -0.4154781 1.975247
2019 12 0.417322 -0.4308027 -0.0134807 2.050225
2020 1 0.9396533 -0.5478339 0.3918194 1.864558
2020 2 1.070152 -0.6038842 0.4662674 1.803474
2020 3 1.451543 -0.4904821 0.9610611 1.692159
2020 4 0.9386883 -0.3642295 0.5744588 1.528224
2020 5 -0.04689158 -0.2033579 -0.2502495 1.608004
2020 6 -0.4524206 -0.03159163 -0.4840123 1.753084
2020 7 -0.5749193 0.1534554 -0.4214639 1.78028
2020 8 -1.890069 0.2871224 -1.602947 1.801663
2020 9 -2.178054 0.2986524 -1.879402 1.873116
2020 10 -1.464764 0.115336 -1.349428 1.875874
2020 11 -0.03486248 -0.1688102 -0.2036726 1.933856
2020 12 0.1249621 -0.4276378 -0.3026757 2.029179
