year month land ocean net foss
2015 1 7.888431 -2.546811 5.34162 8.251889
2015 2 7.568054 -2.800903 4.767151 8.488696
2015 3 6.674432 -2.916967 3.757465 8.248429
2015 4 5.350505 -2.949864 2.400641 7.97089
2015 5 -9.772471 -2.348984 -12.12146 7.692349
2015 6 -27.54568 -1.635142 -29.18082 7.958707
2015 7 -30.35129 -1.179938 -31.53122 7.883931
2015 8 -13.70728 -1.018567 -14.72584 7.901762
2015 9 4.292752 -1.113 3.179753 8.004349
2015 10 13.10193 -1.465456 11.63647 8.045473
2015 11 13.84215 -1.926799 11.91535 8.4255
2015 12 11.10763 -2.352743 8.754882 8.829492
2016 1 8.015222 -2.327786 5.687436 8.244765
2016 2 6.444206 -2.288846 4.155359 8.228707
2016 3 6.439692 -2.068818 4.370874 8.281971
2016 4 2.926618 -1.996536 0.9300825 7.96446
2016 5 -10.67648 -1.896588 -12.57307 7.72543
2016 6 -33.50561 -1.560232 -35.06584 7.972372
2016 7 -31.92156 -1.038085 -32.95965 7.859618
2016 8 -12.96535 -0.8119879 -13.77733 7.944576
2016 9 4.300982 -0.787673 3.513309 8.010408
2016 10 11.49565 -0.9765563 10.5191 8.043532
2016 11 11.04904 -1.422152 9.626885 8.457069
2016 12 9.444128 -1.786031 7.658097 8.814729
2017 1 7.717522 -1.818307 5.899215 8.370067
2017 2 6.49888 -1.546389 4.95249 8.610742
2017 3 5.417728 -1.593892 3.823835 8.390353
2017 4 3.268923 -1.708882 1.560041 8.060561
2017 5 -9.259691 -1.688833 -10.94852 7.851097
2017 6 -31.55457 -1.18991 -32.74448 8.079198
2017 7 -33.63535 -0.6352292 -34.27057 7.968325
2017 8 -16.88823 -0.4721642 -17.3604 8.052816
2017 9 1.918914 -0.47355 1.445364 8.103267
2017 10 11.85222 -0.6129648 11.23926 8.171595
2017 11 11.56775 -1.103172 10.46458 8.570567
2017 12 8.99588 -1.542383 7.453497 8.910147
2018 1 7.702294 -1.695443 6.006851 8.568912
2018 2 7.882441 -1.598203 6.284238 8.794387
2018 3 5.5251 -1.636499 3.888601 8.554491
2018 4 3.626249 -1.764235 1.862014 8.251204
2018 5 -9.532547 -1.535589 -11.06814 8.023364
2018 6 -30.08256 -1.019303 -31.10186 8.239234
2018 7 -33.11091 -0.3894623 -33.50037 8.157986
2018 8 -14.22851 -0.0814324 -14.30995 8.225498
2018 9 1.983915 -0.03094744 1.952967 8.263551
2018 10 11.55001 -0.2877781 11.26223 8.367481
2018 11 12.09958 -0.8078762 11.29171 8.750023
2018 12 9.268977 -1.363462 7.905515 9.105181
2019 1 7.389027 -1.930496 5.458531 8.574063
2019 2 6.397855 -1.882754 4.5151 8.799775
2019 3 5.841174 -1.817725 4.023449 8.548598
2019 4 3.490313 -1.972049 1.518264 8.289379
2019 5 -9.382604 -1.707015 -11.08962 8.04083
2019 6 -31.18109 -1.22771 -32.4088 8.247494
2019 7 -35.07745 -0.5042793 -35.58173 8.198423
2019 8 -14.79157 -0.1444636 -14.93603 8.230725
2019 9 2.074705 -0.1150101 1.959695 8.304835
2019 10 11.79678 -0.5287096 11.26807 8.390649
2019 11 11.27408 -0.9401496 10.33393 8.753193
2019 12 8.435834 -1.268892 7.166942 9.145222
2020 1 7.222214 -1.557288 5.664926 8.258667
2020 2 6.423665 -1.51999 4.903675 8.028179
2020 3 6.951563 -1.337768 5.613796 7.710841
2020 4 2.837378 -1.445082 1.392295 7.012341
2020 5 -8.957769 -1.403319 -10.36109 7.031215
2020 6 -32.02225 -1.106446 -33.12869 7.745194
2020 7 -30.9926 -0.5870652 -31.57967 7.741729
2020 8 -16.00758 -0.3059155 -16.31349 7.889785
2020 9 2.155137 -0.3114201 1.843717 8.068989
2020 10 12.35116 -0.6514516 11.69971 8.093762
2020 11 11.90638 -1.038528 10.86786 8.349888
2020 12 9.392482 -1.422938 7.969544 9.12035
