year month land ocean net foss
2015 1 -1.350232 0.5625017 -0.7877301 1.031357
2015 2 0.3000084 0.4191039 0.7191122 1.076385
2015 3 -1.376983 0.2146297 -1.162354 1.052433
2015 4 -1.624381 0.2308542 -1.393527 1.045999
2015 5 -2.330475 0.3804104 -1.950065 1.032179
2015 6 -1.308773 0.584584 -0.7241888 1.051832
2015 7 -1.214278 0.6035915 -0.610687 1.036863
2015 8 -1.537629 0.5905824 -0.9470465 1.031274
2015 9 2.831759 0.5177301 3.349489 1.052603
2015 10 2.537503 0.5514277 3.088931 1.050776
2015 11 4.713685 0.7254491 5.439134 1.067663
2015 12 2.794968 0.5754992 3.370467 1.077117
2016 1 2.41187 0.7574972 3.169367 1.061006
2016 2 2.349993 0.5864082 2.936401 1.076691
2016 3 2.236746 0.4150385 2.651785 1.086976
2016 4 2.072637 0.3853204 2.457957 1.076264
2016 5 0.4954549 0.3928025 0.8882575 1.06615
2016 6 0.4751557 0.4947722 0.9699279 1.084638
2016 7 -1.066064 0.5040441 -0.5620197 1.065347
2016 8 -0.8481823 0.4834878 -0.3646944 1.067576
2016 9 0.8640547 0.6109693 1.475024 1.085469
2016 10 0.4335912 0.6315049 1.065096 1.082233
2016 11 3.734505 0.7634258 4.49793 1.10331
2016 12 2.772303 0.8028214 3.575124 1.108324
2017 1 0.05984405 0.7749883 0.8348323 1.074009
2017 2 -0.3085472 0.5663006 0.2577533 1.120464
2017 3 -2.118431 0.3681049 -1.750326 1.097431
2017 4 -1.062046 0.3659068 -0.6961392 1.084952
2017 5 -1.026721 0.4693203 -0.5574006 1.078905
2017 6 0.9959414 0.6987185 1.69466 1.09428
2017 7 -1.045622 0.788532 -0.2570905 1.075242
2017 8 -0.4648877 0.7208453 0.2559576 1.07695
2017 9 1.465722 0.8051795 2.270902 1.092985
2017 10 1.675856 0.8230912 2.498947 1.093701
2017 11 3.261713 0.9991679 4.260881 1.113548
2017 12 2.091039 0.9886173 3.079656 1.116688
2018 1 -0.1822202 0.8193637 0.6371435 1.119564
2018 2 0.2722475 0.5519302 0.8241777 1.165819
2018 3 -1.370147 0.4490836 -0.9210634 1.139793
2018 4 -2.064152 0.4660072 -1.598145 1.130779
2018 5 -3.112995 0.5574643 -2.555531 1.122449
2018 6 -1.185766 0.7083072 -0.4774592 1.136391
2018 7 -2.042126 0.7415357 -1.30059 1.120137
2018 8 -1.239389 0.7530967 -0.4862925 1.11937
2018 9 0.2270876 0.7642849 0.9913725 1.135018
2018 10 0.9171836 0.7151178 1.632301 1.140145
2018 11 2.105261 0.8709346 2.976195 1.158496
2018 12 1.491338 0.8197206 2.311058 1.163036
2019 1 -0.1910087 0.7016996 0.5106909 1.145209
2019 2 0.6537549 0.5825674 1.236322 1.192605
2019 3 0.2558594 0.5561413 0.8120006 1.16352
2019 4 1.746724 0.6077165 2.354441 1.159096
2019 5 0.2334848 0.7039547 0.9374396 1.147604
2019 6 1.12344 0.8703061 1.993746 1.160827
2019 7 -0.175744 0.8967362 0.7209922 1.148378
2019 8 0.009051541 0.8080747 0.8171263 1.14355
2019 9 1.403494 0.7403088 2.143803 1.1637
2019 10 2.189618 0.6546159 2.844234 1.166995
2019 11 3.133095 0.7459129 3.879008 1.183389
2019 12 2.040408 0.674983 2.715391 1.192343
2020 1 2.077408 0.6381978 2.715606 1.158015
2020 2 1.381785 0.5904053 1.972191 1.174204
2020 3 0.8442476 0.5407541 1.385002 1.026968
2020 4 0.1265398 0.5873429 0.7138827 0.8590462
2020 5 -0.3526716 0.6305764 0.2779048 0.9014038
2020 6 0.9274791 0.7842248 1.711704 1.018824
2020 7 0.008071921 0.7344238 0.7424957 1.04156
2020 8 -0.3690846 0.5963537 0.2272691 1.030578
2020 9 1.476103 0.6206278 2.096731 1.093362
2020 10 1.369724 0.6860504 2.055774 1.09414
2020 11 3.550771 0.8458147 4.396586 1.083468
2020 12 3.190162 0.7990496 3.989212 1.103948
