year month land ocean net foss
2015 1 0.1327483 0.147364 0.2801124 0.2449993
2015 2 0.5236072 0.1250306 0.6486379 0.2556789
2015 3 0.6020138 0.1138717 0.7158855 0.2487287
2015 4 0.3223322 0.08488119 0.4072134 0.2486324
2015 5 0.4235363 0.1089625 0.5324988 0.2444999
2015 6 -0.4536868 0.1636635 -0.2900233 0.2520607
2015 7 -1.086897 0.1648062 -0.9220909 0.2496629
2015 8 -1.157786 0.1476533 -1.010132 0.2489273
2015 9 -0.2632231 0.1147891 -0.1484339 0.2529453
2015 10 0.3442282 0.09901768 0.4432459 0.2516755
2015 11 -0.04794856 0.1056031 0.05765453 0.2536048
2015 12 0.6135482 0.1166916 0.7302397 0.2520885
2016 1 1.395109 0.1886299 1.583738 0.2520142
2016 2 1.266298 0.1698755 1.436173 0.256347
2016 3 2.618697 0.1463584 2.765056 0.2570478
2016 4 3.571868 0.1261073 3.697976 0.25581
2016 5 1.625654 0.1463704 1.772025 0.2525157
2016 6 -0.06720939 0.1956017 0.1283923 0.2598463
2016 7 -0.4769995 0.2065879 -0.2704116 0.2564721
2016 8 -0.8330835 0.1760248 -0.6570587 0.2576456
2016 9 -0.6901016 0.1599938 -0.5301078 0.2608449
2016 10 -0.5085657 0.1375093 -0.3710563 0.2590874
2016 11 1.181767 0.1513134 1.333081 0.2621776
2016 12 1.91495 0.1826587 2.097609 0.2595574
2017 1 1.226215 0.2127434 1.438958 0.2577525
2017 2 1.122692 0.185815 1.308507 0.2686756
2017 3 0.965115 0.1532082 1.118323 0.2621219
2017 4 2.154871 0.1315157 2.286387 0.2604559
2017 5 1.185136 0.1687674 1.353903 0.2581556
2017 6 0.3209367 0.2381959 0.5591326 0.2647547
2017 7 -0.5183216 0.2594044 -0.2589172 0.2614535
2017 8 -0.7760435 0.2133399 -0.5627036 0.2625563
2017 9 -0.9352159 0.1953722 -0.7398437 0.2652195
2017 10 -1.055016 0.1689887 -0.8860277 0.2643514
2017 11 -0.2007098 0.1892258 -0.01148401 0.2670607
2017 12 0.8366155 0.2153398 1.051955 0.2639772
2018 1 0.5913052 0.2181085 0.8094137 0.2644389
2018 2 0.5480987 0.1739486 0.7220474 0.2751901
2018 3 0.352317 0.1594887 0.5118057 0.2680253
2018 4 0.6809908 0.1427235 0.8237143 0.2669741
2018 5 -0.1722402 0.1759617 0.003721518 0.2642939
2018 6 -0.4997158 0.2268011 -0.2729147 0.2704889
2018 7 -1.3798 0.2372521 -1.142548 0.2677956
2018 8 -1.887219 0.2057552 -1.681463 0.2683413
2018 9 -1.993594 0.176878 -1.816716 0.2707461
2018 10 -2.117665 0.1440391 -1.973626 0.270978
2018 11 -0.8970939 0.1606074 -0.7364865 0.2732916
2018 12 0.6921351 0.1812194 0.8733544 0.2703115
2019 1 0.7626431 0.2016173 0.9642605 0.2704523
2019 2 0.9282885 0.1858701 1.114159 0.2814821
2019 3 1.192049 0.1860493 1.378098 0.2736145
2019 4 2.819838 0.1685065 2.988344 0.2735338
2019 5 1.42263 0.2000928 1.622722 0.2702253
2019 6 0.4211705 0.2552377 0.6764082 0.2761319
2019 7 -0.4323997 0.2638549 -0.1685448 0.2743151
2019 8 -0.7833092 0.2181486 -0.5651607 0.2739264
2019 9 -1.0192 0.1804655 -0.8387349 0.2772733
2019 10 -1.293513 0.1393326 -1.15418 0.2771676
2019 11 -0.4621078 0.1485363 -0.3135715 0.2790755
2019 12 0.9994065 0.1639718 1.163378 0.276961
2020 1 1.197342 0.1835262 1.380868 0.2708073
2020 2 0.9236273 0.1793911 1.103018 0.2755976
2020 3 1.774898 0.1733906 1.948288 0.2443322
2020 4 2.982384 0.1581936 3.140578 0.2125454
2020 5 1.361869 0.1823303 1.544199 0.2151328
2020 6 0.2061399 0.2372407 0.4433805 0.2435561
2020 7 -0.1831473 0.2379493 0.05480206 0.2471091
2020 8 -0.6696654 0.192301 -0.4773644 0.2440915
2020 9 -0.8283437 0.1591972 -0.6691465 0.255417
2020 10 -1.016673 0.1387649 -0.8779079 0.2512828
2020 11 0.3332437 0.1544098 0.4876535 0.2476449
2020 12 1.331195 0.1774561 1.508652 0.250975
