year month land ocean net foss
2015 1 -1.447397 0.1316258 -1.315771 1.031357
2015 2 2.454476 0.2777646 2.732241 1.076385
2015 3 1.315037 0.2482459 1.563283 1.052433
2015 4 0.9486909 0.2168631 1.165554 1.045999
2015 5 1.27975 0.2369314 1.516681 1.032179
2015 6 2.715039 0.3217921 3.036831 1.051832
2015 7 1.469174 0.3819495 1.851124 1.036863
2015 8 -0.5482023 0.481202 -0.06700033 1.031274
2015 9 4.252672 0.46941 4.722082 1.052603
2015 10 4.421044 0.3642058 4.78525 1.050776
2015 11 6.486899 0.3235939 6.810493 1.067663
2015 12 4.802455 0.2370454 5.0395 1.077117
2016 1 4.78786 0.4794044 5.267264 1.061006
2016 2 2.493199 0.5713167 3.064515 1.076691
2016 3 4.754992 0.5427817 5.297774 1.086976
2016 4 2.985755 0.4611111 3.446866 1.076264
2016 5 1.233728 0.29268 1.526408 1.06615
2016 6 1.594124 0.1435692 1.737693 1.084638
2016 7 -0.6346251 0.02581275 -0.6088123 1.065347
2016 8 -0.5065282 0.1192835 -0.3872447 1.067576
2016 9 2.095119 0.3180677 2.413186 1.085469
2016 10 3.813916 0.3192547 4.133171 1.082233
2016 11 6.42032 0.2537134 6.674034 1.10331
2016 12 3.268624 0.2040664 3.472691 1.108324
2017 1 1.023197 0.3161981 1.339395 1.074009
2017 2 0.9241801 0.4346485 1.358829 1.120464
2017 3 -1.694076 0.3873631 -1.306713 1.097431
2017 4 0.6953862 0.2948475 0.9902337 1.084952
2017 5 0.6204554 0.2152608 0.8357162 1.078905
2017 6 1.490019 0.2019086 1.691927 1.09428
2017 7 -0.1797212 0.2366598 0.05693863 1.075242
2017 8 0.5328271 0.3616397 0.8944668 1.07695
2017 9 1.074771 0.5271153 1.601886 1.092985
2017 10 2.735586 0.4974858 3.233071 1.093701
2017 11 5.457069 0.4441504 5.901219 1.113548
2017 12 2.042521 0.3800332 2.422554 1.116688
2018 1 0.8917679 0.4808576 1.372626 1.119564
2018 2 1.221583 0.5532818 1.774865 1.165819
2018 3 -0.9177045 0.4654864 -0.4522181 1.139793
2018 4 -1.121084 0.3148895 -0.8061942 1.130779
2018 5 -1.218606 0.1112949 -1.107311 1.122449
2018 6 0.1122484 -0.07879996 0.03344845 1.136391
2018 7 -0.951751 -0.1736393 -1.12539 1.120137
2018 8 -0.6999149 0.003156823 -0.6967581 1.11937
2018 9 1.281489 0.2104715 1.491961 1.135018
2018 10 3.033473 0.2529584 3.286432 1.140145
2018 11 6.148484 0.2688748 6.417359 1.158496
2018 12 4.269165 0.2838343 4.553 1.163036
2019 1 1.810647 0.4104969 2.221144 1.145209
2019 2 1.442055 0.5277449 1.9698 1.192605
2019 3 0.3776243 0.5289312 0.9065555 1.16352
2019 4 3.924829 0.4384474 4.363277 1.159096
2019 5 1.570204 0.2957508 1.865955 1.147604
2019 6 1.827895 0.1482465 1.976141 1.160827
2019 7 -0.3197495 -0.03775399 -0.3575035 1.148378
2019 8 -1.793144 0.04692478 -1.746219 1.14355
2019 9 1.680649 0.3046883 1.985337 1.1637
2019 10 2.474461 0.32254 2.797001 1.166995
2019 11 3.194995 0.3002828 3.495277 1.183389
2019 12 1.770643 0.3593469 2.12999 1.192343
2020 1 1.082616 0.6023753 1.684991 1.158015
2020 2 0.03298878 0.7404175 0.7734063 1.174204
2020 3 1.771102 0.6678161 2.438918 1.026968
2020 4 -0.3950128 0.5750802 0.1800674 0.8590462
2020 5 0.4863625 0.4537175 0.94008 0.9014038
2020 6 1.351973 0.3612222 1.713195 1.018824
2020 7 -1.640082 0.255787 -1.384295 1.04156
2020 8 -2.095437 0.3547156 -1.740722 1.030578
2020 9 1.050896 0.5418667 1.592762 1.093362
2020 10 3.390886 0.4751175 3.866003 1.09414
2020 11 4.524979 0.3917369 4.916716 1.083468
2020 12 0.8489538 0.3481789 1.197133 1.103948
