year month land ocean net foss
2015 1 -1.100597 0.04742934 -1.053168 0.2356733
2015 2 -1.298949 0.1056551 -1.193294 0.2532219
2015 3 -1.077366 0.03805395 -1.039312 0.2372777
2015 4 -0.841492 -0.06243603 -0.9039281 0.2423079
2015 5 -0.7026477 -0.1866673 -0.889315 0.2422721
2015 6 -0.1986147 -0.3488523 -0.5474669 0.2538848
2015 7 -0.2188561 -0.3969364 -0.6157925 0.2509241
2015 8 -0.6840482 -0.3707181 -1.054766 0.2513851
2015 9 0.5183244 -0.2678689 0.2504555 0.2564852
2015 10 0.6417557 -0.1847011 0.4570545 0.2525893
2015 11 0.8091358 -0.154488 0.6546478 0.2551085
2015 12 0.1723497 -0.07955499 0.09279471 0.2469179
2016 1 -0.6209832 0.03545376 -0.5855295 0.2369094
2016 2 -0.8929384 0.09405732 -0.7988811 0.2471038
2016 3 -1.612778 0.02661598 -1.586162 0.2396524
2016 4 -1.446313 -0.07339931 -1.519713 0.2436659
2016 5 -0.3224427 -0.2487493 -0.5711919 0.2446153
2016 6 -0.3570807 -0.4631493 -0.82023 0.2559884
2016 7 -0.5480206 -0.6109978 -1.159018 0.2517485
2016 8 -1.042272 -0.5354404 -1.577713 0.2544982
2016 9 -0.7856399 -0.3932711 -1.178911 0.2584648
2016 10 -0.5822047 -0.250022 -0.8322268 0.2538704
2016 11 0.1751212 -0.1530221 0.02209909 0.2579171
2016 12 -0.7288125 -0.06610151 -0.794914 0.2482644
2017 1 -1.42252 0.02106648 -1.401454 0.2391417
2017 2 -1.926227 0.07867937 -1.847547 0.2572571
2017 3 -2.071867 0.008635913 -2.063231 0.2413977
2017 4 -1.252416 -0.09345949 -1.345875 0.2448072
2017 5 -0.3851292 -0.2593968 -0.644526 0.2470953
2017 6 -0.06548702 -0.4241035 -0.4895905 0.257838
2017 7 -0.1087054 -0.5017367 -0.6104421 0.2535984
2017 8 0.1499553 -0.4083207 -0.2583654 0.2564041
2017 9 0.4605295 -0.3023751 0.1581544 0.2598481
2017 10 0.5101018 -0.1962636 0.3138382 0.2562612
2017 11 -0.03521174 -0.1247399 -0.1599516 0.2598325
2017 12 -0.5849171 -0.04614114 -0.6310582 0.249429
2018 1 -1.253083 0.04829376 -1.20479 0.2391786
2018 2 -1.533897 0.1036633 -1.430234 0.2567087
2018 3 -2.189801 0.04207978 -2.147722 0.2401233
2018 4 -1.247857 -0.05719916 -1.305056 0.2445719
2018 5 -0.4708331 -0.2391534 -0.7099865 0.246428
2018 6 -0.1605549 -0.4167517 -0.5773066 0.2566811
2018 7 -0.2499427 -0.5376886 -0.7876314 0.2534002
2018 8 -0.4384415 -0.4394948 -0.8779362 0.2556063
2018 9 0.1393234 -0.290978 -0.1516547 0.2584218
2018 10 0.5642968 -0.1636221 0.4006747 0.2562492
2018 11 -0.04147521 -0.1001882 -0.1416634 0.2591067
2018 12 -0.4707977 -0.02843021 -0.4992279 0.248659
2019 1 -1.254439 0.06317951 -1.19126 0.2414124
2019 2 -1.194809 0.1115121 -1.083297 0.2591337
2019 3 -1.723639 0.0540572 -1.669582 0.2416137
2019 4 -0.8164252 -0.05584611 -0.8722713 0.2475228
2019 5 -0.1139694 -0.2196459 -0.3336153 0.2486591
2019 6 0.3547877 -0.3891355 -0.03434774 0.2583765
2019 7 0.2154493 -0.5423125 -0.3268632 0.256448
2019 8 -0.3170728 -0.4511606 -0.7682334 0.2574471
2019 9 0.4132527 -0.2817 0.1315527 0.2612756
2019 10 0.8405218 -0.1500301 0.6904917 0.2586081
2019 11 0.3543359 -0.1011923 0.2531437 0.2609652
2019 12 -0.3228387 -0.02674108 -0.3495798 0.2513829
2020 1 -0.3993785 0.05787219 -0.3415063 0.2508444
2020 2 -0.5947851 0.09940434 -0.4953807 0.2515879
2020 3 -0.9309347 0.03787365 -0.893061 0.2175463
2020 4 -0.9344485 -0.05937504 -0.9938236 0.1913057
2020 5 0.08728787 -0.1877256 -0.1004377 0.1979125
2020 6 1.075564 -0.346244 0.7293203 0.2324646
2020 7 0.5449482 -0.4773808 0.06756738 0.2308202
2020 8 0.1593955 -0.4010564 -0.2416609 0.2278511
2020 9 0.6707284 -0.2847815 0.3859469 0.2390561
2020 10 1.580926 -0.1764687 1.404458 0.2394487
2020 11 0.9177889 -0.1213446 0.7964442 0.2406201
2020 12 -0.7726234 -0.03427734 -0.8069008 0.2393538
