year month land ocean net foss
2015 1 0.04274935 -0.01264703 0.03010231 0.002527812
2015 2 0.04105691 -0.01291556 0.02814135 0.002592797
2015 3 0.04346131 -0.02125462 0.02220669 0.002451362
2015 4 0.07805493 -0.0186497 0.05940524 0.002412316
2015 5 0.1131573 -0.01515484 0.09800241 0.002305375
2015 6 -0.1773581 -0.03207262 -0.2094308 0.002394835
2015 7 -0.6943157 -0.1163595 -0.8106751 0.002412006
2015 8 -0.4143194 -0.1767653 -0.5910847 0.002434844
2015 9 0.001814761 -0.2206678 -0.2188531 0.002419347
2015 10 0.04627393 -0.1787086 -0.1324347 0.002408039
2015 11 0.05136065 -0.1186388 -0.06727811 0.002468519
2015 12 0.04665693 -0.05306224 -0.006405309 0.002506106
2016 1 0.05289618 -0.02729609 0.02560009 0.002481011
2016 2 0.04448079 -0.01605457 0.02842622 0.002475252
2016 3 0.05944451 -0.01800382 0.0414407 0.002414445
2016 4 0.1392976 -0.01500822 0.1242894 0.002372204
2016 5 0.2020983 -0.0165335 0.1855648 0.002267883
2016 6 -0.1161423 -0.04888607 -0.1650283 0.002355227
2016 7 -0.5613633 -0.09509196 -0.6564552 0.002371239
2016 8 -0.3717519 -0.1498774 -0.5216293 0.002401776
2016 9 0.08519724 -0.2011762 -0.115979 0.002381815
2016 10 0.1083695 -0.176723 -0.06835342 0.002366771
2016 11 0.08054217 -0.1150623 -0.0345201 0.002431603
2016 12 0.05406418 -0.05885792 -0.004793742 0.002461865
2017 1 0.05206233 -0.02658953 0.02547281 0.002587076
2017 2 0.06340296 -0.01632713 0.04707584 0.002656275
2017 3 0.07988002 -0.02339836 0.05648166 0.002517912
2017 4 0.1500736 -0.02928849 0.1207851 0.00247281
2017 5 0.1813605 -0.03120073 0.1501598 0.002369319
2017 6 -0.1369861 -0.06296927 -0.1999553 0.002457079
2017 7 -0.561631 -0.1026612 -0.6642922 0.002470365
2017 8 -0.3685723 -0.1566458 -0.5252181 0.002503308
2017 9 0.03958057 -0.1937739 -0.1541934 0.002482519
2017 10 0.07041151 -0.1535186 -0.08310712 0.002471566
2017 11 0.06494819 -0.08812799 -0.0231798 0.002536945
2017 12 0.05451207 -0.04231366 0.01219841 0.00256279
2018 1 0.06814484 -0.01864652 0.04949832 0.002646344
2018 2 0.08477607 -0.01149854 0.07327753 0.002715191
2018 3 0.1068776 -0.01303544 0.09384213 0.002570867
2018 4 0.2042464 -0.01109525 0.1931512 0.002527554
2018 5 0.2420971 -0.01589377 0.2262033 0.002421672
2018 6 -0.07907909 -0.04230208 -0.1213812 0.002509248
2018 7 -0.5858729 -0.07836677 -0.6642397 0.00252548
2018 8 -0.3891826 -0.1227864 -0.5119691 0.002557368
2018 9 -0.02886058 -0.1429354 -0.171796 0.002533574
2018 10 0.003957081 -0.106287 -0.1023299 0.002527329
2018 11 0.03286425 -0.0630568 -0.03019255 0.002591562
2018 12 0.03847708 -0.03332555 0.005151526 0.002618322
2019 1 0.04641764 -0.01598979 0.03042785 0.002600819
2019 2 0.04856966 -0.01331748 0.03525217 0.002667966
2019 3 0.0757633 -0.01946351 0.05629979 0.002524303
2019 4 0.128389 -0.02911744 0.09927154 0.002487749
2019 5 0.1548541 -0.03032769 0.1245264 0.002380292
2019 6 -0.1005814 -0.04121181 -0.1417932 0.002463765
2019 7 -0.4938494 -0.05222273 -0.5460721 0.002485582
2019 8 -0.27856 -0.0808765 -0.3594365 0.002512515
2019 9 0.08592195 -0.1117755 -0.0258535 0.002492213
2019 10 0.1390521 -0.1065144 0.03253763 0.002485361
2019 11 0.09969111 -0.08359599 0.01609513 0.002545723
2019 12 0.07699358 -0.0492754 0.02771818 0.002574761
2020 1 0.08366899 -0.02545098 0.05821802 0.002579204
2020 2 0.08355962 -0.0193065 0.06425312 0.002567936
2020 3 0.09710088 -0.0275879 0.06951298 0.002115403
2020 4 0.1448677 -0.03003584 0.1148319 0.001641405
2020 5 0.1211573 -0.03606913 0.0850882 0.001625746
2020 6 -0.2865076 -0.08865494 -0.3751625 0.001825921
2020 7 -1.138766 -0.1580877 -1.296854 0.001899097
2020 8 -0.5135152 -0.2223543 -0.7358694 0.001939202
2020 9 0.04240822 -0.268766 -0.2263577 0.001961891
2020 10 0.1102419 -0.2048611 -0.09461922 0.001951571
2020 11 0.09676689 -0.136874 -0.04010716 0.001984773
2020 12 0.07026053 -0.07375259 -0.003492059 0.002124117
