lat prs annmn cos sin
1 1 -3.164342 -0.2552768 -0.4506404
2 1 -2.925924 -0.134896 -0.5004248
3 1 -2.821805 -0.06124991 -0.5138568
4 1 -2.442657 -0.2685205 -0.4044118
5 1 -2.188408 -0.5615916 -0.4345526
6 1 -1.824757 -0.4573634 -0.1695408
7 1 -1.542935 -0.6152193 0.7485984
8 1 -1.195739 -0.7802348 1.517592
9 1 -0.7999833 -0.9052934 2.399
10 1 -0.2350758 -0.7295625 2.984466
11 1 0.2163632 -0.9376789 3.452338
12 1 0.4343777 -0.224951 3.770925
13 1 0.2817976 0.7133278 4.331436
14 1 0.1424142 1.249194 4.876599
15 1 -0.5867084 1.511474 5.042162
1 2 -3.27367 -0.3622738 -0.5033533
2 2 -3.05987 -0.2160921 -0.5428439
3 2 -2.841119 -0.08649184 -0.5141698
4 2 -2.610447 -0.2604701 -0.4668405
5 2 -2.403364 -0.8466522 -0.7021215
6 2 -1.999025 -0.5853456 -0.3975247
7 2 -1.398023 -0.3190921 0.5305029
8 2 -1.138615 -0.7498492 1.677643
9 2 -0.7828085 -1.102344 2.492845
10 2 -0.1329913 -0.9872432 3.095968
11 2 0.4691898 -0.7406102 3.702604
12 2 0.631122 0.01648838 4.009816
13 2 0.7378515 0.9401549 4.387766
14 2 0.5225165 1.531935 5.413832
15 2 -0.04082551 2.049487 5.797864
1 3 -3.367286 -0.4152428 -0.5219595
2 3 -3.151554 -0.2767933 -0.5365021
3 3 -2.885293 -0.09863476 -0.499071
4 3 -2.657738 -0.2348169 -0.4571999
5 3 -2.471664 -0.6922785 -0.6162872
6 3 -2.045424 -0.5318588 -0.4107985
7 3 -1.230745 0.1153012 0.172796
8 3 -1.027026 -0.6907746 1.715709
9 3 -0.7302366 -1.024423 2.551234
10 3 -0.001531579 -0.7436863 3.17105
11 3 0.5891385 -0.5422302 3.85751
12 3 0.7180737 0.1450936 4.174079
13 3 1.156092 0.6974302 4.258738
14 3 0.640542 1.801962 5.745729
15 3 0.09195879 2.18282 6.031556
1 4 -3.469155 -0.4200025 -0.5341705
2 4 -3.239227 -0.377146 -0.5669007
3 4 -2.959937 -0.1302509 -0.4976156
4 4 -2.69273 -0.2465343 -0.4228118
5 4 -2.462493 -0.5054695 -0.6044179
6 4 -2.027099 -0.3233224 -0.4188511
7 4 -0.893981 0.7532256 0.02351252
8 4 -0.9356581 -0.5102989 1.645485
9 4 -0.5852721 -0.8471615 2.661537
10 4 0.1334952 -0.5717541 3.360125
11 4 0.6352516 -0.1837198 4.08507
12 4 0.8122342 0.2382438 4.385127
13 4 1.328412 0.749197 4.380085
14 4 0.7419353 2.033525 5.993903
15 4 0.174509 2.316982 6.419754
1 5 -3.559814 -0.4196237 -0.5538524
2 5 -3.329776 -0.4411676 -0.5668014
3 5 -3.050921 -0.1314543 -0.5034307
4 5 -2.765653 -0.2647077 -0.35991
5 5 -2.482597 -0.2529669 -0.5968517
6 5 -2.106634 -0.1826746 -0.3102342
7 5 -0.857095 0.9600457 0.1191631
8 5 -0.7974441 -0.4697602 1.717393
9 5 -0.321236 -0.5169524 2.975256
10 5 0.2561864 0.01738911 3.719174
11 5 0.8266021 0.05623865 4.418234
12 5 0.999483 0.3907555 4.607485
13 5 1.510444 0.8087129 4.569696
14 5 1.043327 1.702053 5.958626
15 5 0.1965293 2.380869 6.729959
1 6 -3.640546 -0.5014754 -0.569775
2 6 -3.458821 -0.5333102 -0.5111629
3 6 -3.18579 -0.1831726 -0.4066601
4 6 -2.871084 -0.3522914 -0.2629541
5 6 -2.499256 -0.09363351 -0.4493279
6 6 -2.230263 -0.1954437 -0.1880163
7 6 -1.31234 0.03448605 0.288705
8 6 -0.7382455 -0.4983532 1.696534
9 6 -0.05119109 -0.2186101 3.406756
10 6 0.4687564 0.2749962 4.20177
11 6 0.8043434 0.7579465 4.597105
12 6 1.128569 0.5308922 4.995845
13 6 1.716363 0.9215352 4.666757
14 6 1.06093 2.141151 6.220997
15 6 0.1650994 2.646981 7.008451
1 7 -3.776146 -0.6295435 -0.6642362
2 7 -3.523114 -0.5278826 -0.4916124
3 7 -3.225153 -0.3996667 -0.2119988
4 7 -2.964528 -0.4755519 -0.1561114
5 7 -2.608701 -0.2205536 -0.4162089
6 7 -2.412999 -0.3628835 -0.1963939
7 7 -1.731334 -0.3310923 0.2765718
8 7 -0.7745099 -0.4842061 1.653172
9 7 0.2322478 -0.09621718 3.766196
10 7 0.511467 0.6831761 4.891015
11 7 0.7066958 1.423758 4.520814
12 7 1.351714 0.5187793 5.036686
13 7 1.833081 1.153479 4.826182
14 7 2.740552 0.5662954 5.305161
15 7 0.4303619 2.960895 7.341586
