year month land ocean net foss
2015 1 -1.841669 -0.1803943 -2.022063 1.031357
2015 2 -0.296516 -0.05745398 -0.3539699 1.076385
2015 3 -0.8183957 -0.06930429 -0.8877 1.052433
2015 4 0.7163358 -0.05919716 0.6571386 1.045999
2015 5 0.9595674 -0.1205262 0.8390412 1.032179
2015 6 1.823922 -0.2524871 1.571434 1.051832
2015 7 1.442532 -0.3642225 1.078309 1.036863
2015 8 -0.8416155 -0.434041 -1.275656 1.031274
2015 9 4.226176 -0.3490178 3.877158 1.052603
2015 10 4.392403 -0.2375672 4.154836 1.050776
2015 11 4.474293 -0.1479188 4.326374 1.067663
2015 12 2.697083 -0.1992621 2.497821 1.077117
2016 1 2.451294 -0.2912828 2.160012 1.061006
2016 2 -0.5093152 -0.3036907 -0.8130059 1.076691
2016 3 2.898286 -0.2220429 2.676243 1.086976
2016 4 2.303601 -0.1451597 2.158441 1.076264
2016 5 1.048228 -0.1869509 0.8612775 1.06615
2016 6 1.639244 -0.3154772 1.323766 1.084638
2016 7 0.2027495 -0.4136751 -0.2109256 1.065347
2016 8 0.2202294 -0.4050377 -0.1848084 1.067576
2016 9 1.244059 -0.4120247 0.832034 1.085469
2016 10 2.714891 -0.235102 2.479789 1.082233
2016 11 4.421463 -0.04506224 4.3764 1.10331
2016 12 1.713761 -0.04478341 1.668978 1.108324
2017 1 -1.758657 -0.05643123 -1.815088 1.074009
2017 2 -1.439921 -0.006969205 -1.44689 1.120464
2017 3 -2.19778 -0.02306153 -2.220841 1.097431
2017 4 0.3892137 0.1111822 0.5003959 1.084952
2017 5 0.4852833 0.2744334 0.7597168 1.078905
2017 6 0.3134948 0.2646936 0.5781884 1.09428
2017 7 -0.3360146 0.01660922 -0.3194053 1.075242
2017 8 1.057591 -0.1464891 0.9111016 1.07695
2017 9 1.347782 -0.1624658 1.185316 1.092985
2017 10 3.501149 0.02194729 3.523097 1.093701
2017 11 4.320793 0.1030018 4.423794 1.113548
2017 12 0.2776227 -0.1598913 0.1177315 1.116688
2018 1 -1.314186 -0.05859138 -1.372777 1.119564
2018 2 0.08767916 0.3695237 0.4572028 1.165819
2018 3 -1.580988 0.5388672 -1.04212 1.139793
2018 4 -2.397506 0.5573324 -1.840174 1.130779
2018 5 -1.850299 0.3968878 -1.453411 1.122449
2018 6 -0.2969216 0.2969812 5.957983e-05 1.136391
2018 7 -0.264783 -0.02432402 -0.289107 1.120137
2018 8 -0.4461449 -0.2455287 -0.6916736 1.11937
2018 9 1.321764 -0.455967 0.8657966 1.135018
2018 10 2.657554 -0.08070321 2.57685 1.140145
2018 11 4.46027 0.1645423 4.624812 1.158496
2018 12 1.559942 -0.03798491 1.521957 1.163036
2019 1 -1.483672 -0.1959056 -1.679578 1.145209
2019 2 -0.664599 -0.08304694 -0.7476459 1.192605
2019 3 -0.6770922 0.1274801 -0.5496121 1.16352
2019 4 1.653358 0.2492952 1.902654 1.159096
2019 5 1.083255 0.2094271 1.292682 1.147604
2019 6 1.544489 0.1906267 1.735115 1.160827
2019 7 0.04933641 -0.2006648 -0.1513284 1.148378
2019 8 -0.8946111 -0.3968885 -1.2915 1.14355
2019 9 1.798658 -0.4043448 1.394313 1.1637
2019 10 2.849003 -0.209888 2.639115 1.166995
2019 11 1.83538 -0.1097804 1.7256 1.183389
2019 12 0.2790745 -0.1491284 0.129946 1.192343
2020 1 -0.9942467 -0.1081099 -1.102357 1.158015
2020 2 -2.485896 -0.1043166 -2.590212 1.174204
2020 3 -0.5828835 -0.04193326 -0.6248167 1.026968
2020 4 -0.506944 0.1181445 -0.3887995 0.8590462
2020 5 0.2834612 0.19245 0.4759112 0.9014038
2020 6 1.02301 0.1569018 1.179912 1.018824
2020 7 -1.114036 -0.1039564 -1.217992 1.04156
2020 8 -1.37193 -0.1474208 -1.51935 1.030578
2020 9 0.8028147 -0.03349983 0.7693149 1.093362
2020 10 2.841288 0.06717656 2.908465 1.09414
2020 11 2.073725 0.1558903 2.229616 1.083468
2020 12 -0.3240911 0.04603641 -0.2780547 1.103948
