year month land ocean net foss
2015 1 -1.991231e-11 -0.2708182 -0.2708182 2.565802e-05
2015 2 -1.582288e-11 -0.3939823 -0.3939823 2.565802e-05
2015 3 -1.503225e-11 -0.3095312 -0.3095312 2.565802e-05
2015 4 -1.758218e-11 -0.2253671 -0.2253671 2.565802e-05
2015 5 -2.534423e-11 -0.1326012 -0.1326012 2.565802e-05
2015 6 -3.544441e-11 -0.06365934 -0.06365934 2.565802e-05
2015 7 -4.015801e-11 -0.03842657 -0.03842657 2.565802e-05
2015 8 -3.963895e-11 -0.02077451 -0.02077451 2.565802e-05
2015 9 -3.976636e-11 -0.01545991 -0.01545991 2.565802e-05
2015 10 -4.195285e-11 -0.04077173 -0.04077173 2.565802e-05
2015 11 -4.759584e-11 -0.121193 -0.121193 2.565802e-05
2015 12 -4.881318e-11 -0.2625342 -0.2625342 2.565802e-05
2016 1 -4.138367e-11 -0.2863001 -0.2863001 2.592646e-05
2016 2 -3.280654e-11 -0.4207084 -0.4207084 2.592646e-05
2016 3 -2.971537e-11 -0.3613306 -0.3613306 2.592646e-05
2016 4 -3.141255e-11 -0.3302081 -0.3302081 2.592646e-05
2016 5 -3.872055e-11 -0.218466 -0.218466 2.592646e-05
2016 6 -4.724148e-11 -0.09661895 -0.09661895 2.592646e-05
2016 7 -5.045616e-11 -0.04154039 -0.04154039 2.592646e-05
2016 8 -4.773946e-11 -0.01741929 -0.01741929 2.592646e-05
2016 9 -4.647281e-11 -0.009710099 -0.009710099 2.592646e-05
2016 10 -4.949495e-11 -0.02481992 -0.02481992 2.592646e-05
2016 11 -5.297848e-11 -0.1066301 -0.1066301 2.592646e-05
2016 12 -5.337151e-11 -0.1931955 -0.1931955 2.592646e-05
2017 1 -4.623684e-11 -0.2935927 -0.2935927 2.751839e-05
2017 2 -3.917013e-11 -0.5037793 -0.5037793 2.751839e-05
2017 3 -3.503769e-11 -0.4677635 -0.4677635 2.751839e-05
2017 4 -3.32312e-11 -0.422057 -0.422057 2.751839e-05
2017 5 -3.359471e-11 -0.2380893 -0.2380893 2.751839e-05
2017 6 -3.393748e-11 -0.09570091 -0.09570091 2.751839e-05
2017 7 -3.278648e-11 -0.03240892 -0.03240892 2.751839e-05
2017 8 -3.133138e-11 -0.01603833 -0.01603833 2.751839e-05
2017 9 -3.277688e-11 -0.01729456 -0.01729456 2.751839e-05
2017 10 -3.624766e-11 -0.03326659 -0.03326659 2.751839e-05
2017 11 -4.021234e-11 -0.1135018 -0.1135018 2.751839e-05
2017 12 -3.955682e-11 -0.2029953 -0.2029953 2.751839e-05
2018 1 -3.260408e-11 -0.2719696 -0.2719696 2.766655e-05
2018 2 -2.971169e-11 -0.3714694 -0.3714694 2.766655e-05
2018 3 -3.46102e-11 -0.3516539 -0.3516539 2.766655e-05
2018 4 -4.326619e-11 -0.3550517 -0.3550517 2.766655e-05
2018 5 -5.341932e-11 -0.229418 -0.229418 2.766655e-05
2018 6 -6.044712e-11 -0.1232919 -0.1232919 2.766655e-05
2018 7 -6.354574e-11 -0.07294834 -0.07294834 2.766655e-05
2018 8 -6.135046e-11 -0.04497215 -0.04497215 2.766655e-05
2018 9 -5.699669e-11 -0.03116082 -0.03116082 2.766655e-05
2018 10 -5.678202e-11 -0.04134127 -0.04134127 2.766655e-05
2018 11 -5.776137e-11 -0.1170611 -0.1170611 2.766655e-05
2018 12 -5.33415e-11 -0.2100542 -0.2100542 2.766655e-05
2019 1 -4.670643e-11 -0.3460482 -0.3460482 2.763042e-05
2019 2 -3.980183e-11 -0.5597656 -0.5597656 2.763042e-05
2019 3 -3.841646e-11 -0.5253293 -0.5253293 2.763042e-05
2019 4 -4.159822e-11 -0.4707313 -0.4707313 2.763042e-05
2019 5 -5.089367e-11 -0.2957415 -0.2957415 2.763042e-05
2019 6 -6.06692e-11 -0.1646808 -0.1646808 2.763042e-05
2019 7 -6.665889e-11 -0.1096775 -0.1096775 2.763042e-05
2019 8 -6.923951e-11 -0.07571161 -0.07571161 2.763042e-05
2019 9 -7.376165e-11 -0.05399384 -0.05399384 2.763042e-05
2019 10 -8.260139e-11 -0.0612396 -0.0612396 2.763042e-05
2019 11 -9.315357e-11 -0.1492978 -0.1492978 2.763042e-05
2019 12 -9.414183e-11 -0.2726793 -0.2726793 2.763042e-05
2020 1 -7.985822e-11 -0.4211766 -0.4211766 2.870109e-05
2020 2 -6.523728e-11 -0.6760899 -0.6760899 2.585522e-05
2020 3 -6.207318e-11 -0.6062474 -0.6062474 1.691052e-05
2020 4 -6.813805e-11 -0.5408351 -0.5408351 4.726897e-06
2020 5 -8.200593e-11 -0.367643 -0.367643 5.984158e-06
2020 6 -9.622987e-11 -0.1979156 -0.1979156 6.133259e-06
2020 7 -1.022378e-10 -0.143871 -0.143871 8.194173e-06
2020 8 -1.065572e-10 -0.1014103 -0.1014103 9.560491e-06
2020 9 -1.117117e-10 -0.06199684 -0.06199684 9.883582e-06
2020 10 -1.177142e-10 -0.0568201 -0.0568201 1.036818e-05
2020 11 -1.301658e-10 -0.1320001 -0.1320001 1.127479e-05
2020 12 -1.226003e-10 -0.2203923 -0.2203923 1.190012e-05
