year month land ocean net foss
2015 1 0.0001069687 -0.0007419626 -0.000634994 6.80724e-05
2015 2 9.821357e-05 -0.001013553 -0.0009153399 6.795743e-05
2015 3 0.00010521 -0.001034477 -0.0009292673 6.798707e-05
2015 4 0.0001277219 -0.001153546 -0.001025824 6.373468e-05
2015 5 0.0001146642 -0.0008831364 -0.0007684723 6.474122e-05
2015 6 -0.0002478627 -0.001898814 -0.002146677 6.96817e-05
2015 7 -0.0007117997 -0.002864529 -0.003576329 7.934769e-05
2015 8 -0.0002689123 -0.003678864 -0.003947776 8.12121e-05
2015 9 0.0001087618 -0.007064703 -0.006955941 7.399078e-05
2015 10 0.0001444341 -0.00774354 -0.007599106 6.595142e-05
2015 11 0.0001309722 -0.007125721 -0.006994749 6.45844e-05
2015 12 0.0001049418 -0.00474227 -0.004637328 6.472915e-05
2016 1 0.0001173893 -0.001039358 -0.0009219691 7.095303e-05
2016 2 0.0001095613 -0.000889318 -0.0007797567 6.907258e-05
2016 3 9.684827e-05 -0.001248113 -0.001151265 7.086304e-05
2016 4 0.0001076947 -0.001733026 -0.001625331 6.637593e-05
2016 5 3.777414e-05 -0.001569869 -0.001532095 6.743804e-05
2016 6 -0.0001410722 -0.002684591 -0.002825663 7.265126e-05
2016 7 -0.0006362005 -0.002508878 -0.003145078 8.285091e-05
2016 8 -0.0002032474 -0.003749156 -0.003952403 8.481833e-05
2016 9 0.0001904353 -0.006254005 -0.00606357 7.71982e-05
2016 10 0.0002049192 -0.00676468 -0.00655976 6.8715e-05
2016 11 0.0002011618 -0.004456907 -0.004255746 6.727255e-05
2016 12 0.0001347379 -0.002741049 -0.002606311 6.742522e-05
2017 1 0.0001064148 -0.0009037367 -0.0007973218 7.367137e-05
2017 2 0.0001159903 -0.0009025685 -0.0007865782 7.354656e-05
2017 3 0.0001005769 -0.001318229 -0.001217652 7.357882e-05
2017 4 0.0001287451 -0.001986103 -0.001857358 6.895988e-05
2017 5 5.765589e-05 -0.001881667 -0.001824011 7.005316e-05
2017 6 -0.0002394941 -0.003269741 -0.003509235 7.541948e-05
2017 7 -0.0005889607 -0.003083575 -0.003672536 8.591858e-05
2017 8 -0.0002424656 -0.004764835 -0.0050073 8.794383e-05
2017 9 0.0001233927 -0.007317493 -0.0071941 8.009994e-05
2017 10 0.0001588589 -0.007108644 -0.006949785 7.136767e-05
2017 11 0.0001432553 -0.004441494 -0.004298239 6.988282e-05
2017 12 0.0001174969 -0.002731067 -0.00261357 7.003998e-05
2018 1 0.0001114626 -0.0008678645 -0.000756402 7.406813e-05
2018 2 0.0001175402 -0.0009128443 -0.0007953041 7.394264e-05
2018 3 0.0001031531 -0.001342159 -0.001239006 7.397498e-05
2018 4 0.0001329756 -0.002099237 -0.001966262 6.933122e-05
2018 5 5.61473e-05 -0.001951615 -0.001895468 7.043039e-05
2018 6 -0.0002243445 -0.00303557 -0.003259914 7.582566e-05
2018 7 -0.0005850164 -0.002806594 -0.00339161 8.638124e-05
2018 8 -0.0002353756 -0.004111702 -0.004347077 8.841743e-05
2018 9 0.0001241464 -0.006102101 -0.005977955 8.053131e-05
2018 10 0.0001608582 -0.005924586 -0.005763728 7.175196e-05
2018 11 0.0001446509 -0.00378886 -0.003644209 7.025911e-05
2018 12 0.0001176454 -0.002441685 -0.00232404 7.041722e-05
2019 1 0.0001133661 -0.0007669252 -0.0006535591 7.397146e-05
2019 2 0.0001163361 -0.0009162736 -0.0007999376 7.384618e-05
2019 3 0.0001041218 -0.001392151 -0.00128803 7.387842e-05
2019 4 0.0001289984 -0.002323468 -0.00219447 6.924076e-05
2019 5 5.748317e-05 -0.002075529 -0.002018046 7.033848e-05
2019 6 -0.0002111723 -0.003122158 -0.00333333 7.572658e-05
2019 7 -0.0006098883 -0.002538249 -0.003148137 8.626848e-05
2019 8 -0.0002306062 -0.003546507 -0.003777113 8.830196e-05
2019 9 0.0001312274 -0.005453289 -0.005322062 8.042619e-05
2019 10 0.0001672786 -0.005641517 -0.005474238 7.165832e-05
2019 11 0.0001472148 -0.004009882 -0.003862667 7.016746e-05
2019 12 0.0001193298 -0.002582247 -0.002462918 7.032525e-05
2020 1 0.0001163331 -0.0008578058 -0.0007414727 7.683782e-05
2020 2 0.0001083743 -0.000935295 -0.0008269207 6.910169e-05
2020 3 0.0001013454 -0.001411369 -0.001310023 4.521547e-05
2020 4 0.0001074103 -0.002234346 -0.002126936 1.184542e-05
2020 5 4.414077e-05 -0.002254196 -0.002210055 1.523381e-05
2020 6 -0.0001238413 -0.004228265 -0.004352106 1.68094e-05
2020 7 -0.0006315717 -0.00380448 -0.004436052 2.558408e-05
2020 8 -0.0002103011 -0.005246129 -0.00545643 3.055364e-05
2020 9 0.0002089501 -0.007987371 -0.00777842 2.876897e-05
2020 10 0.0002206271 -0.007291143 -0.007070516 2.688943e-05
2020 11 0.0002049636 -0.004843645 -0.004638681 2.863233e-05
2020 12 0.0001476156 -0.002832045 -0.00268443 3.028832e-05
