year month land ocean net foss
2015 1 1.617605 -0.2295708 1.388035 3.39712
2015 2 1.695973 -0.222844 1.473129 3.489327
2015 3 1.344892 -0.3077655 1.037127 3.398262
2015 4 -0.2561517 -0.2949004 -0.5510521 3.315981
2015 5 -3.003436 -0.2318962 -3.235332 3.217433
2015 6 -3.164691 -0.07027049 -3.234962 3.344524
2015 7 -3.894421 0.07995007 -3.814471 3.362088
2015 8 -3.550292 0.1623391 -3.387953 3.369116
2015 9 -0.9930338 0.1089158 -0.8841181 3.387261
2015 10 1.230402 -0.0371464 1.193255 3.364208
2015 11 2.101618 -0.2309016 1.870716 3.517844
2015 12 2.329922 -0.3585774 1.971345 3.703015
2016 1 2.358795 -0.2323223 2.126473 3.387115
2016 2 2.485099 -0.3153369 2.169763 3.375527
2016 3 2.04533 -0.4324605 1.61287 3.404634
2016 4 0.3199616 -0.414449 -0.09448731 3.304963
2016 5 -2.943608 -0.3430966 -3.286704 3.224466
2016 6 -3.770635 -0.1383166 -3.908952 3.342486
2016 7 -3.615145 0.02335523 -3.591789 3.34385
2016 8 -2.771246 0.1140586 -2.657187 3.380035
2016 9 -1.042848 0.0859586 -0.9568892 3.38245
2016 10 0.3408722 -0.1051044 0.2357679 3.355735
2016 11 1.564845 -0.4375023 1.127343 3.523689
2016 12 1.995491 -0.5660534 1.429437 3.687857
2017 1 2.008635 -0.432879 1.575756 3.439937
2017 2 2.108088 -0.3948593 1.713229 3.532962
2017 3 1.311088 -0.4533918 0.8576957 3.44938
2017 4 -0.1292051 -0.493312 -0.6225171 3.345186
2017 5 -3.010511 -0.388354 -3.398865 3.276765
2017 6 -3.922799 -0.1586658 -4.081465 3.386381
2017 7 -3.999246 0.0213861 -3.97786 3.389789
2017 8 -3.602739 0.1062779 -3.496461 3.424879
2017 9 -1.659 0.07647105 -1.582529 3.420941
2017 10 0.3062772 -0.1039897 0.2022876 3.409596
2017 11 1.044438 -0.3948501 0.6495879 3.572088
2017 12 1.081963 -0.5918114 0.4901516 3.72823
2018 1 1.573573 -0.4601376 1.113435 3.522418
2018 2 2.255261 -0.238084 2.017177 3.608833
2018 3 1.468622 -0.242565 1.226057 3.515723
2018 4 -0.1885784 -0.3738903 -0.5624687 3.423907
2018 5 -3.596012 -0.3340252 -3.930038 3.347555
2018 6 -4.198047 -0.153923 -4.35197 3.451071
2018 7 -4.170187 0.04247935 -4.127708 3.469673
2018 8 -3.57255 0.1356638 -3.436887 3.496009
2018 9 -1.512118 0.1056419 -1.406476 3.487858
2018 10 0.5029239 -0.1216573 0.3812666 3.490681
2018 11 1.58896 -0.3862967 1.202663 3.646859
2018 12 1.607861 -0.593456 1.014405 3.810077
2019 1 1.648836 -0.6327891 1.016046 3.542733
2019 2 1.802109 -0.5994496 1.202659 3.629746
2019 3 1.164798 -0.5501076 0.6146906 3.531808
2019 4 -0.3303774 -0.4704124 -0.8007898 3.457578
2019 5 -3.592974 -0.3569468 -3.94992 3.371282
2019 6 -4.112879 -0.1592267 -4.272106 3.47169
2019 7 -4.37449 0.04009197 -4.334398 3.50269
2019 8 -4.080326 0.1154778 -3.964848 3.513361
2019 9 -1.697877 0.1000999 -1.597778 3.522846
2019 10 0.5425928 -0.117076 0.4255168 3.518831
2019 11 1.368237 -0.3896426 0.9785948 3.666763
2019 12 1.776233 -0.583376 1.192857 3.847196
2020 1 1.935669 -0.516856 1.418813 3.403685
2020 2 1.980524 -0.4722922 1.508232 3.262423
2020 3 1.255762 -0.5157679 0.7399942 3.179952
2020 4 -0.240307 -0.4760833 -0.7163903 3.041445
2020 5 -3.152785 -0.3582789 -3.511064 3.031067
2020 6 -4.033644 -0.1309526 -4.164596 3.308978
2020 7 -3.275469 0.06377549 -3.211693 3.332798
2020 8 -2.333548 0.1600212 -2.173527 3.398438
2020 9 -0.6900423 0.1265415 -0.5635008 3.427024
2020 10 0.5353388 -0.09257759 0.4427612 3.409447
2020 11 1.757835 -0.3413784 1.416456 3.528157
2020 12 1.636723 -0.5122066 1.124516 3.85521
