year month land ocean net foss
2015 1 -2.271941e-11 -3.41997e-08 -3.422242e-08 0
2015 2 -1.580984e-11 -1.521191e-08 -1.522772e-08 0
2015 3 -1.06211e-11 -9.149958e-10 -9.256169e-10 0
2015 4 -7.283351e-12 8.539917e-09 8.532634e-09 0
2015 5 -6.50174e-12 8.728797e-09 8.722296e-09 0
2015 6 -6.962122e-12 2.816002e-09 2.80904e-09 0
2015 7 -8.05334e-12 -2.136467e-09 -2.14452e-09 0
2015 8 -1.034837e-11 -7.538987e-09 -7.549336e-09 0
2015 9 -1.458292e-11 -1.645933e-08 -1.647391e-08 0
2015 10 -2.061555e-11 -2.890182e-08 -2.892243e-08 0
2015 11 -2.565683e-11 -3.90666e-08 -3.909225e-08 0
2015 12 -2.475001e-11 -3.659369e-08 -3.661844e-08 0
2016 1 -1.628595e-11 -1.034851e-08 -1.03648e-08 0
2016 2 -6.689789e-12 3.47417e-08 3.473501e-08 0
2016 3 -1.649152e-12 6.441067e-08 6.440902e-08 0
2016 4 -1.733162e-12 6.151085e-08 6.150911e-08 0
2016 5 -4.486723e-12 3.99242e-08 3.991972e-08 0
2016 6 -7.412501e-12 1.978221e-08 1.97748e-08 0
2016 7 -1.055793e-11 5.396531e-09 5.385973e-09 0
2016 8 -1.533689e-11 -8.110878e-09 -8.126215e-09 0
2016 9 -2.29275e-11 -2.52055e-08 -2.522843e-08 0
2016 10 -3.184354e-11 -4.564196e-08 -4.56738e-08 0
2016 11 -3.826699e-11 -5.994975e-08 -5.998802e-08 0
2016 12 -3.862867e-11 -6.402478e-08 -6.406341e-08 0
2017 1 -3.307284e-11 -5.710365e-08 -5.713673e-08 0
2017 2 -2.523171e-11 -3.346274e-08 -3.348797e-08 0
2017 3 -2.170699e-11 -2.226084e-08 -2.228255e-08 0
2017 4 -2.180225e-11 -3.221697e-08 -3.223878e-08 0
2017 5 -2.306764e-11 -4.093551e-08 -4.095858e-08 0
2017 6 -2.525306e-11 -4.68538e-08 -4.687906e-08 0
2017 7 -2.865452e-11 -5.081402e-08 -5.084267e-08 0
2017 8 -3.542201e-11 -5.725465e-08 -5.729008e-08 0
2017 9 -4.650671e-11 -7.21418e-08 -7.218831e-08 0
2017 10 -6.011782e-11 -9.481755e-08 -9.487767e-08 0
2017 11 -6.917666e-11 -1.134792e-07 -1.135483e-07 0
2017 12 -6.80175e-11 -1.16171e-07 -1.162391e-07 0
2018 1 -5.550153e-11 -9.035715e-08 -9.041266e-08 0
2018 2 -3.983722e-11 -4.223992e-08 -4.227976e-08 0
2018 3 -2.987915e-11 -1.720503e-08 -1.723491e-08 0
2018 4 -2.430772e-11 -1.175005e-08 -1.177436e-08 0
2018 5 -2.227005e-11 -1.636357e-08 -1.638584e-08 0
2018 6 -2.249295e-11 -2.383601e-08 -2.38585e-08 0
2018 7 -2.443728e-11 -3.078069e-08 -3.080513e-08 0
2018 8 -2.865945e-11 -3.869968e-08 -3.872834e-08 0
2018 9 -3.489553e-11 -4.785708e-08 -4.789198e-08 0
2018 10 -4.286588e-11 -5.99005e-08 -5.994337e-08 0
2018 11 -4.811528e-11 -7.186077e-08 -7.190888e-08 0
2018 12 -4.457236e-11 -6.944303e-08 -6.94876e-08 0
2019 1 -3.291115e-11 -4.748529e-08 -4.75182e-08 0
2019 2 -2.182559e-11 -1.532294e-08 -1.534476e-08 0
2019 3 -1.451527e-11 7.116278e-09 7.101763e-09 0
2019 4 -1.077664e-11 1.150952e-08 1.149875e-08 0
2019 5 -9.508808e-12 7.975256e-09 7.965747e-09 0
2019 6 -9.680976e-12 1.575622e-09 1.565941e-09 0
2019 7 -1.081839e-11 -4.759687e-09 -4.770506e-09 0
2019 8 -1.352894e-11 -1.213595e-08 -1.214948e-08 0
2019 9 -1.74664e-11 -2.121967e-08 -2.123713e-08 0
2019 10 -2.032153e-11 -2.711638e-08 -2.71367e-08 0
2019 11 -1.81801e-11 -2.244358e-08 -2.246176e-08 0
2019 12 -1.113835e-11 -4.073063e-09 -4.084201e-09 0
2020 1 -4.130863e-12 2.564192e-08 2.563779e-08 0
2020 2 -7.647528e-13 4.415106e-08 4.41503e-08 0
2020 3 1.604804e-13 4.636023e-08 4.636039e-08 0
2020 4 -6.020442e-13 3.909482e-08 3.909422e-08 0
2020 5 -2.685635e-12 2.556097e-08 2.555828e-08 0
2020 6 -5.044646e-12 1.235735e-08 1.235231e-08 0
2020 7 -7.665547e-12 1.764505e-09 1.756839e-09 0
2020 8 -1.146917e-11 -8.099443e-09 -8.110912e-09 0
2020 9 -1.729766e-11 -2.09004e-08 -2.09177e-08 0
2020 10 -2.379046e-11 -3.505941e-08 -3.50832e-08 0
2020 11 -2.790622e-11 -4.549532e-08 -4.552323e-08 0
2020 12 -2.596527e-11 -4.52827e-08 -4.530866e-08 0
