year month land ocean net foss
2015 1 7.601937 -3.013142 4.588795 8.656976
2015 2 8.048227 -2.872622 5.175605 8.923629
2015 3 8.347575 -2.772977 5.574598 8.660329
2015 4 7.180103 -2.976379 4.203724 8.390098
2015 5 -3.745376 -3.057718 -6.803093 8.111184
2015 6 -18.50642 -2.784884 -21.2913 8.395776
2015 7 -21.95735 -2.137021 -24.09437 8.317251
2015 8 -15.28842 -1.943545 -17.23196 8.33631
2015 9 1.223513 -2.13771 -0.9141968 8.445909
2015 10 9.700637 -2.537096 7.16354 8.477225
2015 11 11.54509 -2.951971 8.59312 8.862518
2015 12 9.815111 -3.132296 6.682815 9.254607
2016 1 7.477935 -2.906883 4.571052 8.653587
2016 2 8.899884 -2.672899 6.226986 8.654733
2016 3 7.756848 -2.628348 5.1285 8.699523
2016 4 6.29471 -2.814154 3.480556 8.387591
2016 5 -3.565973 -2.858639 -6.424612 8.149834
2016 6 -21.04639 -2.645454 -23.69184 8.414581
2016 7 -22.01929 -2.208814 -24.22811 8.296068
2016 8 -16.79513 -1.920645 -18.71578 8.38592
2016 9 0.6128548 -2.093317 -1.480462 8.45692
2016 10 7.393906 -2.474688 4.919218 8.479166
2016 11 9.778787 -2.904495 6.874293 8.900313
2016 12 8.057964 -2.959048 5.098917 9.243781
2017 1 7.32403 -2.896276 4.427753 8.777089
2017 2 8.46842 -2.671642 5.796777 9.048277
2017 3 7.383895 -2.629705 4.75419 8.805184
2017 4 6.838238 -2.813352 4.024886 8.48009
2017 5 -3.349958 -2.855745 -6.205702 8.273922
2017 6 -16.87642 -2.649246 -19.52566 8.518714
2017 7 -21.15516 -2.216709 -23.37187 8.402178
2017 8 -14.5171 -1.914341 -16.43144 8.491594
2017 9 0.2244102 -2.087668 -1.863258 8.546336
2017 10 8.136968 -2.489721 5.647247 8.605476
2017 11 10.13017 -2.89357 7.236601 9.01125
2017 12 8.310003 -2.959665 5.350338 9.335563
2018 1 7.304543 -2.890765 4.413778 8.976016
2018 2 8.376178 -2.675411 5.700767 9.231081
2018 3 7.484679 -2.628702 4.855978 8.967436
2018 4 7.194993 -2.814122 4.380871 8.670447
2018 5 -3.951905 -2.855074 -6.806979 8.44524
2018 6 -16.48523 -2.655681 -19.14091 8.67697
2018 7 -21.41504 -2.204421 -23.61947 8.591611
2018 8 -14.42133 -1.922237 -16.34357 8.663099
2018 9 0.07763312 -2.07966 -2.002027 8.704536
2018 10 8.364558 -2.504909 5.85965 8.801407
2018 11 10.0356 -2.885884 7.149714 9.18961
2018 12 8.325435 -2.961469 5.363965 9.529523
2019 1 7.307153 -2.886806 4.420347 8.98519
2019 2 8.331374 -2.677295 5.654079 9.240892
2019 3 7.588916 -2.625337 4.963579 8.964415
2019 4 6.708785 -2.819269 3.889517 8.713832
2019 5 -3.545064 -2.85391 -6.398974 8.466773
2019 6 -16.1676 -2.66476 -18.83236 8.688566
2019 7 -21.79596 -2.190371 -23.98633 8.637478
2019 8 -14.45469 -1.925909 -16.3806 8.671798
2019 9 -0.06191731 -2.069293 -2.13121 8.750889
2019 10 8.63944 -2.520252 6.119188 8.828767
2019 11 9.981933 -2.881435 7.100498 9.196216
2019 12 8.360508 -2.96025 5.400258 9.57437
2020 1 7.448554 -2.888611 4.559943 8.679617
2020 2 8.817533 -2.677389 6.140144 8.457677
2020 3 7.965976 -2.624884 5.341091 8.085311
2020 4 6.035162 -2.820472 3.214691 7.344425
2020 5 -3.583395 -2.85825 -6.441645 7.372794
2020 6 -20.53374 -2.659072 -23.19281 8.141753
2020 7 -22.53451 -2.187739 -24.72225 8.139084
2020 8 -17.00891 -1.920581 -18.92949 8.282947
2020 9 0.7891103 -2.097538 -1.308428 8.479585
2020 10 7.933094 -2.497159 5.435935 8.49696
2020 11 9.34839 -2.882254 6.466136 8.753376
2020 12 8.094204 -2.961373 5.132831 9.522416
