year month land ocean net foss
2015 1 -0.2713795 -0.70182 -0.9731995 0.007197368
2015 2 -0.1389039 -0.5936789 -0.7325828 0.007698465
2015 3 -0.03804744 -0.6322515 -0.670299 0.00753342
2015 4 0.1889894 -0.7191926 -0.5302032 0.007574838
2015 5 0.2591497 -0.8090776 -0.5499279 0.007640349
2015 6 0.2338455 -0.7597205 -0.525875 0.007911308
2015 7 0.2055508 -0.643704 -0.4381532 0.007931016
2015 8 0.1507645 -0.5753348 -0.4245704 0.007914938
2015 9 0.03373239 -0.5879775 -0.5542451 0.007926407
2015 10 -0.1672903 -0.691822 -0.8591124 0.007687529
2015 11 -0.258595 -0.7254847 -0.9840797 0.007793063
2015 12 -0.3164639 -0.7440389 -1.060503 0.007658812
2016 1 -0.2254183 -0.6909911 -0.9164094 0.007183963
2016 2 -0.08041553 -0.591423 -0.6718385 0.007458632
2016 3 -0.05426243 -0.6315689 -0.6858314 0.007546891
2016 4 0.1481262 -0.6760314 -0.5279052 0.007556512
2016 5 0.2880004 -0.7320701 -0.4440697 0.007647655
2016 6 0.2964576 -0.6951007 -0.3986431 0.007906728
2016 7 0.2402803 -0.6269233 -0.386643 0.007896701
2016 8 0.1595686 -0.5441214 -0.3845528 0.007936622
2016 9 0.04864994 -0.5647694 -0.5161194 0.007919765
2016 10 -0.1505923 -0.6388749 -0.7894672 0.007671128
2016 11 -0.2793173 -0.6856406 -0.9649579 0.007805532
2016 12 -0.3128316 -0.6892647 -1.002096 0.007642531
2017 1 -0.26354 -0.6878082 -0.9513482 0.007161186
2017 2 -0.1270842 -0.5927731 -0.7198574 0.007660753
2017 3 -0.03791537 -0.630447 -0.6683623 0.007507482
2017 4 0.1451392 -0.674888 -0.5297488 0.007508606
2017 5 0.2414256 -0.732482 -0.4910563 0.007625878
2017 6 0.2462078 -0.6958185 -0.4496107 0.007866995
2017 7 0.2160963 -0.6292558 -0.4131595 0.007862321
2017 8 0.1525485 -0.5419747 -0.3894262 0.007900204
2017 9 0.03316166 -0.5637925 -0.5306308 0.007868456
2017 10 -0.1335694 -0.6407963 -0.7743657 0.007645181
2017 11 -0.2541841 -0.6844774 -0.9386616 0.007767406
2017 12 -0.2974648 -0.6892043 -0.9866691 0.007591334
2018 1 -0.267523 -0.6859467 -0.9534697 0.00711818
2018 2 -0.1288213 -0.595689 -0.7245103 0.007600518
2018 3 -0.03571075 -0.629267 -0.6649777 0.007436702
2018 4 0.1461826 -0.6736194 -0.5274368 0.007458929
2018 5 0.2403457 -0.7337944 -0.4934486 0.007565897
2018 6 0.2465706 -0.6968724 -0.4503018 0.007791045
2018 7 0.2173997 -0.6262507 -0.408851 0.007809877
2018 8 0.1508542 -0.5443072 -0.393453 0.007833913
2018 9 0.03246951 -0.5622227 -0.5297532 0.007793364
2018 10 -0.1318437 -0.64309 -0.7749337 0.007598292
2018 11 -0.2561132 -0.683677 -0.9397902 0.007702633
2018 12 -0.2934312 -0.689168 -0.9825992 0.00753203
2019 1 -0.2714689 -0.6850401 -0.9565091 0.007191666
2019 2 -0.1290603 -0.5971469 -0.7262071 0.007683631
2019 3 -0.03355779 -0.6280289 -0.6615867 0.007498527
2019 4 0.1436994 -0.6762273 -0.5325279 0.007553987
2019 5 0.241857 -0.7321346 -0.4902776 0.007648115
2019 6 0.246649 -0.6982624 -0.4516133 0.007867876
2019 7 0.2182281 -0.6233505 -0.4051224 0.007916437
2019 8 0.1496646 -0.5456765 -0.3960118 0.007908436
2019 9 0.02967483 -0.5600601 -0.5303853 0.007888585
2019 10 -0.1282919 -0.645756 -0.7740479 0.007678748
2019 11 -0.2569163 -0.6832394 -0.9401557 0.007772733
2019 12 -0.2975417 -0.6892405 -0.9867823 0.007621308
2020 1 -0.2154324 -0.6850039 -0.9004362 0.007201528
2020 2 -0.09688305 -0.5964455 -0.6933285 0.007499242
2020 3 -0.04191817 -0.6284029 -0.6703211 0.006644413
2020 4 0.1463536 -0.6779423 -0.5315888 0.005789635
2020 5 0.2870482 -0.7315169 -0.4444686 0.005990527
2020 6 0.3016502 -0.6971857 -0.3955355 0.006817772
2020 7 0.2365051 -0.622573 -0.3860679 0.007004017
2020 8 0.1596412 -0.5455249 -0.3858838 0.006927685
2020 9 0.04078678 -0.5649445 -0.5241577 0.007121475
2020 10 -0.1327163 -0.6415709 -0.7742872 0.006800084
2020 11 -0.2916252 -0.6834523 -0.9750775 0.006758659
2020 12 -0.3152215 -0.689458 -1.00468 0.006767619
