year month land ocean net foss
2015 1 0.0001079384 -0.0006568121 -0.0005488737 6.80724e-05
2015 2 9.922831e-05 -0.0009173344 -0.0008181061 6.795743e-05
2015 3 0.0001065814 -0.001001653 -0.0008950712 6.798707e-05
2015 4 0.0001299855 -0.001415524 -0.001285538 6.373468e-05
2015 5 0.0001176251 -0.001376303 -0.001258678 6.474122e-05
2015 6 -0.0002421839 -0.002451675 -0.002693859 6.96817e-05
2015 7 -0.000674376 -0.001513021 -0.002187397 7.934769e-05
2015 8 -0.0002503461 -0.001301009 -0.001551355 8.12121e-05
2015 9 0.0001160291 -0.002229276 -0.002113247 7.399078e-05
2015 10 0.0001503387 -0.00248292 -0.002332582 6.595142e-05
2015 11 0.0001349471 -0.002711485 -0.002576538 6.45844e-05
2015 12 0.0001070839 -0.002239831 -0.002132747 6.472915e-05
2016 1 0.0001195823 -0.000572694 -0.0004531117 7.095303e-05
2016 2 0.0001115469 -0.0005478459 -0.0004362989 6.907258e-05
2016 3 9.863508e-05 -0.0008570355 -0.0007584004 7.086304e-05
2016 4 0.0001101873 -0.001274202 -0.001164015 6.637593e-05
2016 5 3.955344e-05 -0.001146967 -0.001107414 6.743804e-05
2016 6 -0.0001388586 -0.001639319 -0.001778178 7.265126e-05
2016 7 -0.0006143678 -0.001146727 -0.001761095 8.285091e-05
2016 8 -0.0001919962 -0.001400618 -0.001592614 8.481833e-05
2016 9 0.0002139901 -0.002122759 -0.001908769 7.71982e-05
2016 10 0.0002243804 -0.002317719 -0.002093339 6.8715e-05
2016 11 0.000217265 -0.001767156 -0.001549891 6.727255e-05
2016 12 0.0001423713 -0.001312879 -0.001170508 6.742522e-05
2017 1 0.0001111381 -0.00050876 -0.0003976219 7.367137e-05
2017 2 0.000120337 -0.000556334 -0.000435997 7.354656e-05
2017 3 0.000103333 -0.000849289 -0.000745956 7.357882e-05
2017 4 0.0001315076 -0.001277782 -0.001146274 6.895988e-05
2017 5 5.896911e-05 -0.001153937 -0.001094968 7.005316e-05
2017 6 -0.0002366703 -0.001628537 -0.001865208 7.541948e-05
2017 7 -0.0005698823 -0.001139404 -0.001709286 8.591858e-05
2017 8 -0.0002309297 -0.001415107 -0.001646037 8.794383e-05
2017 9 0.0001335708 -0.002113659 -0.001980088 8.009994e-05
2017 10 0.0001696216 -0.002304467 -0.002134845 7.136767e-05
2017 11 0.0001506331 -0.001778191 -0.001627558 6.988282e-05
2017 12 0.0001215582 -0.00133304 -0.001211482 7.003998e-05
2018 1 0.0001139042 -0.0004943572 -0.000380453 7.406813e-05
2018 2 0.0001190321 -0.0005603426 -0.0004413105 7.394264e-05
2018 3 0.0001038401 -0.0008396998 -0.0007358597 7.397498e-05
2018 4 0.0001329 -0.001287724 -0.001154824 6.933122e-05
2018 5 5.455507e-05 -0.001153958 -0.001099403 7.043039e-05
2018 6 -0.0002272763 -0.001628684 -0.00185596 7.582566e-05
2018 7 -0.0005798259 -0.001141368 -0.001721194 8.638124e-05
2018 8 -0.0002272215 -0.001407784 -0.001635005 8.841743e-05
2018 9 0.0001332396 -0.00211027 -0.00197703 8.053131e-05
2018 10 0.0001702429 -0.002297818 -0.002127575 7.175196e-05
2018 11 0.0001502588 -0.001788451 -0.001638192 7.025911e-05
2018 12 0.0001206408 -0.00135696 -0.001236319 7.041722e-05
2019 1 0.0001153053 -0.0004712093 -0.000355904 7.397146e-05
2019 2 0.0001178681 -0.0005623469 -0.0004444788 7.384618e-05
2019 3 0.0001050837 -0.0008282679 -0.0007231842 7.387842e-05
2019 4 0.0001298905 -0.001291499 -0.001161609 6.924076e-05
2019 5 5.753304e-05 -0.001159154 -0.001101621 7.033848e-05
2019 6 -0.0002104199 -0.00163976 -0.00185018 7.572658e-05
2019 7 -0.0006002735 -0.001135532 -0.001735806 8.626848e-05
2019 8 -0.000225637 -0.001395736 -0.001621373 8.830196e-05
2019 9 0.0001346042 -0.00211259 -0.001977986 8.042619e-05
2019 10 0.00017089 -0.002297774 -0.002126884 7.165832e-05
2019 11 0.0001498547 -0.001797935 -0.00164808 7.016746e-05
2019 12 0.0001209748 -0.001328826 -0.001207851 7.032525e-05
2020 1 0.0001174869 -0.000495129 -0.0003776421 7.683782e-05
2020 2 0.0001093555 -0.000559172 -0.0004498165 6.910169e-05
2020 3 0.0001023708 -0.00083085 -0.0007284792 4.521547e-05
2020 4 0.0001085388 -0.00128613 -0.001177591 1.184542e-05
2020 5 4.4871e-05 -0.001148699 -0.001103828 1.523381e-05
2020 6 -0.0001222806 -0.001655933 -0.001778214 1.68094e-05
2020 7 -0.000621506 -0.001137973 -0.001759479 2.558408e-05
2020 8 -0.0002054815 -0.001357465 -0.001562946 3.055364e-05
2020 9 0.0002153026 -0.002158088 -0.001942785 2.876897e-05
2020 10 0.0002260071 -0.002294538 -0.002068531 2.688943e-05
2020 11 0.0002086187 -0.00181458 -0.001605961 2.863233e-05
2020 12 0.0001494854 -0.001283834 -0.001134349 3.028832e-05
