year month land ocean net foss
2015 1 0.5875335 0.1127801 0.7003136 0.2449993
2015 2 1.124441 0.1136379 1.238079 0.2556789
2015 3 0.8908044 0.114744 1.005548 0.2487287
2015 4 0.5270287 0.08594323 0.6129719 0.2486324
2015 5 0.9862079 0.1061066 1.092315 0.2444999
2015 6 0.07002883 0.1547114 0.2247402 0.2520607
2015 7 -0.7137475 0.1591799 -0.5545675 0.2496629
2015 8 -1.172088 0.145891 -1.026197 0.2489273
2015 9 -1.49986 0.11073 -1.38913 0.2529453
2015 10 -1.332445 0.08507707 -1.247368 0.2516755
2015 11 -1.00064 0.08262819 -0.9180115 0.2536048
2015 12 0.368653 0.09607235 0.4647254 0.2520885
2016 1 1.163019 0.1529572 1.315976 0.2520142
2016 2 0.5459871 0.1560475 0.7020346 0.256347
2016 3 1.248149 0.1472857 1.395434 0.2570478
2016 4 2.140003 0.1357853 2.275788 0.25581
2016 5 0.9456599 0.1626338 1.108294 0.2525157
2016 6 -0.1070868 0.2136935 0.1066067 0.2598463
2016 7 -0.4074586 0.2184189 -0.1890397 0.2564721
2016 8 -1.196001 0.1825633 -1.013438 0.2576456
2016 9 -1.481116 0.1528142 -1.328302 0.2608449
2016 10 -1.463968 0.1146228 -1.349345 0.2590874
2016 11 0.593727 0.1116876 0.7054145 0.2621776
2016 12 1.603376 0.1324999 1.735875 0.2595574
2017 1 1.067703 0.1553834 1.223086 0.2577525
2017 2 0.9378905 0.1558048 1.093695 0.2686756
2017 3 0.721781 0.1475054 0.8692864 0.2621219
2017 4 1.613089 0.1352341 1.748323 0.2604559
2017 5 0.7535883 0.1641331 0.9177215 0.2581556
2017 6 0.1491313 0.2126954 0.3618267 0.2647547
2017 7 -0.4892827 0.2194369 -0.2698458 0.2614535
2017 8 -0.7963439 0.1812772 -0.6150667 0.2625563
2017 9 -1.218043 0.1534862 -1.064557 0.2652195
2017 10 -1.424303 0.1141942 -1.310109 0.2643514
2017 11 -0.2738376 0.1119425 -0.1618951 0.2670607
2017 12 1.039416 0.131855 1.171271 0.2639772
2018 1 1.0439 0.1558193 1.19972 0.2644389
2018 2 0.9113175 0.1556523 1.06697 0.2751901
2018 3 0.7320872 0.1477856 0.8798728 0.2680253
2018 4 1.656923 0.134269 1.791192 0.2669741
2018 5 0.7138995 0.1654163 0.8793157 0.2642939
2018 6 0.151182 0.2121508 0.3633329 0.2704889
2018 7 -0.4713693 0.218463 -0.2529063 0.2677956
2018 8 -0.8181025 0.1822952 -0.6358073 0.2683413
2018 9 -1.190893 0.1542761 -1.036617 0.2707461
2018 10 -1.429656 0.1133989 -1.316257 0.270978
2018 11 -0.2928253 0.1119744 -0.1808509 0.2732916
2018 12 1.037929 0.1311881 1.169117 0.2703115
2019 1 1.059523 0.1564817 1.216005 0.2704523
2019 2 0.8835465 0.1555761 1.039123 0.2814821
2019 3 0.7405573 0.1481263 0.8886836 0.2736145
2019 4 1.630197 0.1348195 1.765017 0.2735338
2019 5 0.7421153 0.1646161 0.9067314 0.2702253
2019 6 0.1628943 0.2120597 0.374954 0.2761319
2019 7 -0.4813137 0.2178726 -0.2634411 0.2743151
2019 8 -0.8079943 0.1832419 -0.6247524 0.2739264
2019 9 -1.17634 0.1551839 -1.021156 0.2772733
2019 10 -1.441089 0.1122368 -1.328852 0.2771676
2019 11 -0.3251375 0.1117834 -0.2133541 0.2790755
2019 12 1.081358 0.1320553 1.213413 0.276961
2020 1 1.181603 0.1558149 1.337418 0.2708073
2020 2 0.6083205 0.1556701 0.7639907 0.2755976
2020 3 1.19901 0.1480531 1.347063 0.2443322
2020 4 2.15373 0.1356464 2.289376 0.2125454
2020 5 0.8948323 0.1623671 1.057199 0.2151328
2020 6 0.002698067 0.2135568 0.2162549 0.2435561
2020 7 -0.4289183 0.2175333 -0.211385 0.2471091
2020 8 -1.184554 0.1849216 -0.9996328 0.2440915
2020 9 -1.54559 0.1518241 -1.393766 0.255417
2020 10 -1.359032 0.1141633 -1.244869 0.2512828
2020 11 0.4604707 0.1107323 0.571203 0.2476449
2020 12 1.588066 0.1337239 1.72179 0.250975
