year month land ocean net foss
2015 1 -0.2331966 -0.122956 -0.3561526 1.778712
2015 2 -0.4796426 -0.3694132 -0.8490558 1.835634
2015 3 -0.1574104 -0.286242 -0.4436524 1.805538
2015 4 0.6632122 -0.1563263 0.5068859 1.764394
2015 5 0.7886975 -0.1140969 0.6746006 1.728063
2015 6 1.634877 -0.001820955 1.633056 1.775361
2015 7 0.4007804 0.12702 0.5278004 1.76182
2015 8 -0.4260825 0.239895 -0.1861876 1.755929
2015 9 -0.6924769 0.2719239 -0.420553 1.784111
2015 10 -1.294956 0.1529494 -1.142006 1.778622
2015 11 1.578936 -0.06435734 1.514578 1.863886
2015 12 0.04090718 -0.2732438 -0.2323366 1.937359
2016 1 -0.619368 -0.2422543 -0.8616224 1.772323
2016 2 -1.455725 -0.2569392 -1.712665 1.774439
2016 3 0.05740965 -0.2340435 -0.1766338 1.80575
2016 4 1.163946 -0.2152173 0.9487289 1.757728
2016 5 1.298809 -0.1120696 1.186739 1.731439
2016 6 1.075095 0.01756671 1.092662 1.772601
2016 7 -1.216106 0.1391305 -1.076976 1.752146
2016 8 -1.136362 0.2634856 -0.8728759 1.758834
2016 9 -1.486175 0.2744587 -1.211716 1.779071
2016 10 -1.502998 0.1599598 -1.343038 1.774109
2016 11 -0.8392272 -0.04974288 -0.8889701 1.863953
2016 12 -0.2275513 -0.3484753 -0.5760266 1.927865
2017 1 -0.5279646 -0.4912722 -1.019237 1.803535
2017 2 -0.5869127 -0.3002933 -0.887206 1.86017
2017 3 0.2443206 -0.2446438 -0.0003231727 1.832265
2017 4 0.6458798 -0.06430727 0.5815725 1.78432
2017 5 -0.9106147 -0.02565884 -0.9362735 1.763127
2017 6 0.5348799 0.01550693 0.5503869 1.799578
2017 7 0.4683916 0.1084723 0.5768639 1.780705
2017 8 -0.2939155 0.1655919 -0.1283236 1.785765
2017 9 -1.064126 0.2002776 -0.8638479 1.80368
2017 10 -2.060362 0.1244003 -1.935962 1.805986
2017 11 -0.2920053 -0.1154155 -0.4074208 1.892405
2017 12 0.05926943 -0.3596309 -0.3003615 1.953623
2018 1 0.002165552 -0.4935622 -0.4913966 1.859421
2018 2 -0.313269 -0.6477359 -0.9610049 1.914536
2018 3 0.4897776 -0.4901858 -0.0004082557 1.882176
2018 4 0.5603797 -0.34615 0.2142297 1.840575
2018 5 0.2128385 -0.1722407 0.04059782 1.815043
2018 6 0.1254388 -0.01755611 0.1078827 1.848261
2018 7 -0.3191177 0.07637341 -0.2427443 1.835716
2018 8 -0.1006615 0.1644378 0.06377625 1.835402
2018 9 -0.486339 0.2110749 -0.2752641 1.853677
2018 10 -0.9427395 0.1231467 -0.8195928 1.861804
2018 11 -0.04000639 -0.08330251 -0.1233089 1.946046
2018 12 0.4811415 -0.2515049 0.2296366 2.011858
2019 1 0.6274268 -0.4918122 0.1356147 1.888373
2019 2 -0.1355942 -0.4979607 -0.6335549 1.944691
2019 3 -0.1597308 -0.3382125 -0.4979433 1.909708
2019 4 1.571729 -0.2199943 1.351735 1.874767
2019 5 0.1104976 -0.1237154 -0.01321778 1.844092
2019 6 0.999058 0.009450928 1.008509 1.877253
2019 7 0.121084 0.1896258 0.3107098 1.869753
2019 8 -0.1006887 0.3210709 0.2203822 1.862218
2019 9 -0.9050368 0.3177388 -0.587298 1.889256
2019 10 -1.487817 0.1645289 -1.323288 1.893338
2019 11 -1.316096 -0.03806602 -1.354162 1.975247
2019 12 0.1053829 -0.2551352 -0.1497523 2.050225
2020 1 0.8396573 -0.4908113 0.348846 1.864558
2020 2 -0.8436954 -0.4779851 -1.321681 1.803474
2020 3 0.1164317 -0.1396387 -0.02320699 1.692159
2020 4 0.8653053 -0.05131387 0.8139914 1.528224
2020 5 0.6007997 -0.05092882 0.5498709 1.608004
2020 6 1.070862 0.02705341 1.097915 1.753084
2020 7 1.194759 0.1963723 1.391131 1.78028
2020 8 0.3861338 0.3039818 0.6901156 1.801663
2020 9 -1.027861 0.2853967 -0.7424642 1.873116
2020 10 -1.799931 0.128719 -1.671212 1.875874
2020 11 -0.6628179 -0.08981867 -0.7526366 1.933856
2020 12 -0.05140592 -0.3493945 -0.4008004 2.029179
