year month land ocean net foss
2015 1 5.0403 -2.728864 2.311436 8.656976
2015 2 5.05727 -3.272091 1.785179 8.923629
2015 3 5.561107 -2.445454 3.115653 8.660329
2015 4 3.182704 -2.463155 0.7195486 8.390098
2015 5 -11.19701 -2.9417 -14.13871 8.111184
2015 6 -27.99656 -3.833903 -31.83047 8.395776
2015 7 -27.59659 -3.653118 -31.2497 8.317251
2015 8 -12.84529 -2.849207 -15.69449 8.33631
2015 9 5.686925 -2.963086 2.72384 8.445909
2015 10 11.71155 -2.617747 9.093805 8.477225
2015 11 13.30567 -3.605604 9.70007 8.862518
2015 12 7.980592 -2.308987 5.671605 9.254607
2016 1 5.580925 -1.943168 3.637757 8.653587
2016 2 2.666303 -2.94236 -0.2760567 8.654733
2016 3 3.92617 -2.022961 1.903208 8.699523
2016 4 1.328149 -2.565045 -1.236897 8.387591
2016 5 -11.43368 -3.007349 -14.44103 8.149834
2016 6 -30.03751 -3.443155 -33.48067 8.414581
2016 7 -31.72389 -3.792652 -35.51654 8.296068
2016 8 -12.47919 -3.348187 -15.82737 8.38592
2016 9 4.640787 -2.431282 2.209505 8.45692
2016 10 9.982586 -2.447558 7.535029 8.479166
2016 11 9.304243 -3.380611 5.923632 8.900313
2016 12 8.548983 -4.324201 4.224782 9.243781
2017 1 6.462273 -3.916073 2.5462 8.777089
2017 2 4.60837 -3.084742 1.523628 9.048277
2017 3 4.029192 -2.656941 1.372251 8.805184
2017 4 2.397048 -1.870927 0.5261207 8.48009
2017 5 -12.78244 -2.695166 -15.47761 8.273922
2017 6 -28.50277 -3.430166 -31.93293 8.518714
2017 7 -31.31629 -3.029654 -34.34595 8.402178
2017 8 -16.12656 -2.785453 -18.91202 8.491594
2017 9 4.01024 -2.851888 1.158353 8.546336
2017 10 11.82379 -2.726883 9.096909 8.605476
2017 11 11.83662 -3.56475 8.271874 9.01125
2017 12 8.065235 -4.045008 4.020228 9.335563
2018 1 6.173768 -3.278905 2.894862 8.976016
2018 2 5.528866 -3.546299 1.982567 9.231081
2018 3 4.451958 -2.516863 1.935095 8.967436
2018 4 1.690074 -2.473756 -0.7836821 8.670447
2018 5 -9.564782 -3.162275 -12.72706 8.44524
2018 6 -27.96075 -3.334964 -31.29572 8.67697
2018 7 -31.2505 -2.68016 -33.93067 8.591611
2018 8 -12.35019 -2.094496 -14.44469 8.663099
2018 9 4.121924 -2.117132 2.004792 8.704536
2018 10 11.66133 -1.984242 9.677088 8.801407
2018 11 10.283 -2.182787 8.100216 9.18961
2018 12 7.382057 -3.568861 3.813195 9.529523
2019 1 6.494374 -3.430411 3.063963 8.98519
2019 2 5.458934 -3.202977 2.255957 9.240892
2019 3 4.559091 -1.975651 2.58344 8.964415
2019 4 2.910831 -2.420316 0.4905149 8.713832
2019 5 -9.803498 -3.081752 -12.88525 8.466773
2019 6 -26.07843 -3.449171 -29.5276 8.688566
2019 7 -32.51102 -3.385192 -35.89621 8.637478
2019 8 -14.95851 -2.725939 -17.68444 8.671798
2019 9 3.363414 -1.900139 1.463275 8.750889
2019 10 11.12114 -1.973429 9.147715 8.828767
2019 11 8.109852 -2.99366 5.116192 9.196216
2019 12 5.222592 -3.837892 1.384701 9.57437
2020 1 4.873301 -4.131042 0.7422592 8.679617
2020 2 4.132343 -2.232104 1.900239 8.457677
2020 3 5.368007 -0.780856 4.587151 8.085311
2020 4 2.047836 -1.265882 0.7819541 7.344425
2020 5 -9.942675 -2.421354 -12.36403 7.372794
2020 6 -28.94919 -3.185272 -32.13446 8.141753
2020 7 -28.02725 -3.139098 -31.16635 8.139084
2020 8 -15.17609 -2.511863 -17.68795 8.282947
2020 9 2.009944 -1.877736 0.1322075 8.479585
2020 10 10.91048 -1.285529 9.624955 8.49696
2020 11 9.207041 -1.668551 7.53849 8.753376
2020 12 6.786036 -2.691637 4.094399 9.522416
