year month land ocean net foss
2015 1 -0.2284335 -0.3955316 -0.6239652 0.007197368
2015 2 -0.1036589 -0.3044145 -0.4080735 0.007698465
2015 3 -0.0339306 -0.1771674 -0.211098 0.00753342
2015 4 0.09040192 -0.2435937 -0.1531918 0.007574838
2015 5 0.1353601 -0.4252554 -0.2898953 0.007640349
2015 6 0.1545745 -0.6761536 -0.5215791 0.007911308
2015 7 0.1636402 -0.747094 -0.5834539 0.007931016
2015 8 0.1286439 -0.5929822 -0.4643383 0.007914938
2015 9 0.00622464 -0.633716 -0.6274914 0.007926407
2015 10 -0.129277 -0.4596532 -0.5889302 0.007687529
2015 11 -0.3172714 -0.7765753 -1.093847 0.007793063
2015 12 -0.3591668 -0.5838918 -0.9430585 0.007658812
2016 1 -0.2939458 -0.5926666 -0.8866123 0.007183963
2016 2 -0.1323452 -0.7350151 -0.8673603 0.007458632
2016 3 -0.04260013 -0.4478583 -0.4904584 0.007546891
2016 4 0.07861573 -0.5149641 -0.4363483 0.007556512
2016 5 0.1459346 -0.555266 -0.4093314 0.007647655
2016 6 0.2102571 -0.6100903 -0.3998331 0.007906728
2016 7 0.1745198 -0.8752532 -0.7007334 0.007896701
2016 8 0.1087358 -0.8930048 -0.784269 0.007936622
2016 9 0.02407758 -0.8114302 -0.7873526 0.007919765
2016 10 -0.1043257 -0.9425356 -1.046861 0.007671128
2016 11 -0.1991911 -0.7935132 -0.9927043 0.007805532
2016 12 -0.2262918 -0.768338 -0.9946298 0.007642531
2017 1 -0.294653 -0.8496779 -1.144331 0.007161186
2017 2 -0.1451998 -0.7895203 -0.9347202 0.007660753
2017 3 -0.06331277 -0.698664 -0.7619768 0.007507482
2017 4 0.1172157 -0.5662266 -0.4490109 0.007508606
2017 5 0.2010019 -0.6417113 -0.4407094 0.007625878
2017 6 0.1894084 -0.7220025 -0.5325941 0.007866995
2017 7 0.1682346 -0.7274371 -0.5592025 0.007862321
2017 8 0.09868108 -0.723461 -0.6247799 0.007900204
2017 9 0.02769761 -0.7849752 -0.7572776 0.007868456
2017 10 -0.09662745 -0.8837912 -0.9804187 0.007645181
2017 11 -0.2142029 -0.9611082 -1.175311 0.007767406
2017 12 -0.2300973 -0.8879885 -1.118086 0.007591334
2018 1 -0.2134587 -0.6461451 -0.8596039 0.00711818
2018 2 -0.08414767 -0.641678 -0.7258257 0.007600518
2018 3 -0.01295017 -0.4901668 -0.5031169 0.007436702
2018 4 0.1197359 -0.5323028 -0.4125669 0.007458929
2018 5 0.1893234 -0.5826532 -0.3933298 0.007565897
2018 6 0.1808639 -0.6393354 -0.4584715 0.007791045
2018 7 0.1451886 -0.7211132 -0.5759246 0.007809877
2018 8 0.09325903 -0.6459495 -0.5526904 0.007833913
2018 9 0.01304431 -0.7057344 -0.6926901 0.007793364
2018 10 -0.1073271 -0.7496927 -0.8570198 0.007598292
2018 11 -0.2205025 -0.8050336 -1.025536 0.007702633
2018 12 -0.3142492 -1.031082 -1.345331 0.00753203
2019 1 -0.2945691 -0.7575208 -1.05209 0.007191666
2019 2 -0.1513424 -0.7746461 -0.9259885 0.007683631
2019 3 -0.02535354 -0.6733277 -0.6986812 0.007498527
2019 4 0.1793176 -0.7108314 -0.5315137 0.007553987
2019 5 0.2483708 -0.8124698 -0.564099 0.007648115
2019 6 0.1791 -0.885123 -0.7060231 0.007867876
2019 7 0.1315494 -1.016754 -0.8852049 0.007916437
2019 8 0.07950479 -0.9989181 -0.9194133 0.007908436
2019 9 0.0002847861 -0.8238962 -0.8236114 0.007888585
2019 10 -0.1388113 -0.8738636 -1.012675 0.007678748
2019 11 -0.3224175 -1.236677 -1.559095 0.007772733
2019 12 -0.3631202 -1.172687 -1.535808 0.007621308
2020 1 -0.2889038 -1.056839 -1.345743 0.007201528
2020 2 -0.1348295 -0.7055447 -0.8403741 0.007499242
2020 3 -0.03659571 -0.5397548 -0.5763505 0.006644413
2020 4 0.1335853 -0.6671279 -0.5335426 0.005789635
2020 5 0.2020408 -0.7763794 -0.5743386 0.005990527
2020 6 0.1968827 -0.760316 -0.5634333 0.006817772
2020 7 0.1774955 -0.8487324 -0.671237 0.007004017
2020 8 0.1120276 -0.7744605 -0.6624328 0.006927685
2020 9 0.01099284 -0.7026351 -0.6916423 0.007121475
2020 10 -0.106639 -0.5721721 -0.6788111 0.006800084
2020 11 -0.2496905 -0.734313 -0.9840035 0.006758659
2020 12 -0.3255331 -0.8619754 -1.187508 0.006767619
