lat camp flt x yday
5 21 1 -0.8778366 210
15 21 1 -0.7220904 210
25 21 1 -0.3362257 210
35 21 1 NA 210
5 22 1 -1.067302 25
15 22 1 0.3655617 25.69633
25 22 1 1.477832 25.9619
35 22 1 2.943855 25.85816
-5 23 1 NA 270
5 23 1 -2.866841 270
15 23 1 -3.772556 270
25 23 1 -3.770932 270
35 23 1 -3.569025 270.5467
5 24 1 0.8848786 113
15 24 1 2.211017 113
25 24 1 2.376078 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -8.464087 213
35 22 2 1.602289 28
45 22 2 2.704503 28
55 22 2 4.335825 28
65 22 2 4.143268 29
75 22 2 4.775602 29
35 23 2 -3.820921 273
45 23 2 -3.656042 273
55 23 2 -4.16809 273
65 23 2 -3.865315 274
75 23 2 -4.133588 273.8494
35 24 2 4.362015 116
45 24 2 4.621241 116
55 24 2 5.523808 116
65 24 2 5.920164 117
75 24 2 6.077878 116.4878
25 21 3 -0.9897218 216
35 21 3 -2.187076 215.4057
45 21 3 -2.916455 215
55 21 3 -4.668165 215
65 21 3 -8.056049 215
15 22 3 NA 32
25 22 3 1.84211 32
35 22 3 3.089484 32
45 22 3 3.572488 31
55 22 3 4.007109 31
65 22 3 3.759141 31
25 23 3 -3.751617 276.5235
35 23 3 -3.383682 276
45 23 3 -3.234785 276
55 23 3 -3.235739 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 4.176227 118.7636
35 24 3 4.905052 118
45 24 3 4.221033 118
55 24 3 4.240589 118
65 24 3 NA 118
-15 21 4 -1.249796 219
-5 21 4 -0.9989677 218.5256
5 21 4 -0.8357201 218
15 21 4 -1.071893 218
-15 22 4 -1.648827 34
-5 22 4 -1.376144 33.82339
5 22 4 -0.213051 33
15 22 4 0.6053346 33
-15 23 4 -2.661296 279
-5 23 4 -2.482943 279
5 23 4 -2.680791 278.4583
15 23 4 -3.580178 278
-15 24 4 -2.076538 121
-5 24 4 -1.576036 120.7323
5 24 4 -0.5857061 120
15 24 4 1.339051 120
-45 21 5 -2.994553 220.8525
-35 21 5 -2.880186 220
-25 21 5 NA 220
-15 21 5 -1.307874 220
-55 22 5 -4.549325 36
