year month land ocean net foss
2015 1 0.07197767 -0.01720095 0.05477672 0.002527812
2015 2 0.06664693 -0.03760892 0.029038 0.002592797
2015 3 0.05915367 -0.03578605 0.02336761 0.002451362
2015 4 0.09732936 -0.04987697 0.0474524 0.002412316
2015 5 0.1674852 -0.07472253 0.09276267 0.002305375
2015 6 -0.06618493 -0.115783 -0.1819679 0.002394835
2015 7 -0.3652749 -0.2070654 -0.5723404 0.002412006
2015 8 -0.2284655 -0.1979437 -0.4264092 0.002434844
2015 9 0.07312108 -0.1980796 -0.1249585 0.002419347
2015 10 0.1306002 -0.1594437 -0.02884353 0.002408039
2015 11 0.09503778 -0.05381314 0.04122464 0.002468519
2015 12 0.08255896 -0.03071932 0.05183963 0.002506106
2016 1 0.06911894 -0.07956366 -0.01044472 0.002481011
2016 2 0.06170292 -0.1218596 -0.06015669 0.002475252
2016 3 0.04708759 -0.1128068 -0.06571921 0.002414445
2016 4 0.0700791 -0.110336 -0.04025685 0.002372204
2016 5 0.1291323 -0.09975592 0.02937639 0.002267883
2016 6 -0.1929085 -0.1092687 -0.3021772 0.002355227
2016 7 -0.5314237 -0.1901716 -0.7215952 0.002371239
2016 8 -0.2033261 -0.2181653 -0.4214914 0.002401776
2016 9 0.1158395 -0.3067743 -0.1909348 0.002381815
2016 10 0.1359046 -0.3154233 -0.1795188 0.002366771
2016 11 0.0937982 -0.2536214 -0.1598232 0.002431603
2016 12 0.08132833 -0.1997219 -0.1183936 0.002461865
2017 1 0.06973718 -0.1641784 -0.09444125 0.002587076
2017 2 0.06259304 -0.171936 -0.1093429 0.002656275
2017 3 0.04604793 -0.1160228 -0.06997489 0.002517912
2017 4 0.05762 -0.07965882 -0.02203881 0.00247281
2017 5 0.1243304 -0.05029689 0.0740335 0.002369319
2017 6 -0.1114584 -0.04570169 -0.1571601 0.002457079
2017 7 -0.5948852 -0.08447172 -0.6793569 0.002470365
2017 8 -0.2816337 -0.07289302 -0.3545268 0.002503308
2017 9 0.06275062 -0.08763495 -0.02488433 0.002482519
2017 10 0.1335413 -0.09866734 0.034874 0.002471566
2017 11 0.09340808 -0.07935722 0.01405086 0.002536945
2017 12 0.08092381 -0.04472064 0.03620316 0.00256279
2018 1 0.06952111 -0.04903109 0.02049002 0.002646344
2018 2 0.06433114 -0.07694866 -0.01261751 0.002715191
2018 3 0.05138046 -0.08706912 -0.03568866 0.002570867
2018 4 0.06718073 -0.1019573 -0.0347766 0.002527554
2018 5 0.1057487 -0.09555351 0.01019514 0.002421672
2018 6 -0.2006846 -0.1017949 -0.3024794 0.002509248
2018 7 -0.4595791 -0.1557305 -0.6153095 0.00252548
2018 8 -0.1414109 -0.1703379 -0.3117489 0.002557368
2018 9 0.1018453 -0.203631 -0.1017857 0.002533574
2018 10 0.1418399 -0.1888558 -0.04701587 0.002527329
2018 11 0.09698012 -0.1228717 -0.02589155 0.002591562
2018 12 0.0818676 -0.08490405 -0.003036456 0.002618322
2019 1 0.06932652 -0.1030172 -0.03369073 0.002600819
2019 2 0.06635569 -0.1080353 -0.04167957 0.002667966
2019 3 0.05507548 -0.07272268 -0.0176472 0.002524303
2019 4 0.07186588 -0.0798074 -0.007941528 0.002487749
2019 5 0.1441216 -0.08132313 0.06279851 0.002380292
2019 6 -0.07487318 -0.1251785 -0.2000516 0.002463765
2019 7 -0.38477 -0.2155792 -0.6003492 0.002485582
2019 8 -0.1932014 -0.1852119 -0.3784133 0.002512515
2019 9 0.08641706 -0.1975861 -0.1111691 0.002492213
2019 10 0.1328691 -0.1942525 -0.06138333 0.002485361
2019 11 0.09503285 -0.1443371 -0.04930422 0.002545723
2019 12 0.08266027 -0.0754162 0.007244073 0.002574761
2020 1 0.07343116 -0.01040629 0.06302487 0.002579204
2020 2 0.06929895 0.008658756 0.07795771 0.002567936
2020 3 0.06242878 -0.02355777 0.03887101 0.002115403
2020 4 0.1016976 -0.05306182 0.0486358 0.001641405
2020 5 0.1277258 -0.07445375 0.0532721 0.001625746
2020 6 -0.2477916 -0.1100296 -0.3578212 0.001825921
2020 7 -0.5494406 -0.1835361 -0.7329767 0.001899097
2020 8 -0.1948618 -0.1925871 -0.3874489 0.001939202
2020 9 0.156012 -0.2524836 -0.09647163 0.001961891
2020 10 0.156524 -0.2186334 -0.06210946 0.001951571
2020 11 0.09800784 -0.1534689 -0.05546108 0.001984773
2020 12 0.08118442 -0.09873814 -0.01755372 0.002124117
