lat camp flt x yday
5 21 1 -0.4849232 210
15 21 1 -0.7475036 210
25 21 1 -0.3108312 210
35 21 1 NA 210
5 22 1 -1.02782 25
15 22 1 0.3384514 25.69633
25 22 1 1.528947 25.9619
35 22 1 3.096322 25.85816
-5 23 1 NA 270
5 23 1 -3.1679 270
15 23 1 -4.198974 270
25 23 1 -4.183014 270
35 23 1 -3.550557 270.5467
5 24 1 0.9916936 113
15 24 1 2.229029 113
25 24 1 2.238895 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -8.61178 213
35 22 2 1.638807 28
45 22 2 3.00131 28
55 22 2 4.55169 28
65 22 2 4.222502 29
75 22 2 4.58617 29
35 23 2 -4.007838 273
45 23 2 -3.90816 273
55 23 2 -4.259727 273
65 23 2 -3.878289 274
75 23 2 -4.213541 273.8494
35 24 2 4.296419 116
45 24 2 4.57254 116
55 24 2 5.683298 116
65 24 2 6.362567 117
75 24 2 6.317703 116.4878
25 21 3 -1.002938 216
35 21 3 -2.264163 215.4057
45 21 3 -3.051831 215
55 21 3 -5.010809 215
65 21 3 -8.461248 215
15 22 3 NA 32
25 22 3 1.888942 32
35 22 3 3.270613 32
45 22 3 3.870388 31
55 22 3 4.208393 31
65 22 3 3.987545 31
25 23 3 -3.999976 276.5235
35 23 3 -3.410715 276
45 23 3 -3.176766 276
55 23 3 -3.27024 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 3.99852 118.7636
35 24 3 4.799182 118
45 24 3 3.976608 118
55 24 3 4.038175 118
65 24 3 NA 118
-15 21 4 -1.029768 219
-5 21 4 -0.7138269 218.5256
5 21 4 -0.5114066 218
15 21 4 -1.052849 218
-15 22 4 -1.316429 34
-5 22 4 -1.156557 33.82339
5 22 4 -0.3456158 33
15 22 4 0.4332725 33
-15 23 4 -2.719762 279
-5 23 4 -2.718889 279
5 23 4 -3.257753 278.4583
15 23 4 -3.919782 278
-15 24 4 -1.988515 121
-5 24 4 -1.236565 120.7323
5 24 4 -0.2791686 120
15 24 4 1.388262 120
-45 21 5 -2.59718 220.8525
-35 21 5 -2.622571 220
-25 21 5 NA 220
-15 21 5 -1.086524 220
-55 22 5 -4.67086 36
-45 22 5 -3.118232 35.98084
-35 22 5 -3.691654 35
-25 22 5 -2.588499 35
-15 22 5 -1.911199 35
-55 23 5 -2.960252 281
-45 23 5 -3.144977 280.9263
-35 23 5 -2.908226 280
-25 23 5 -2.565039 280
-15 23 5 -2.601878 280
-45 24 5 -3.270081 123
-35 24 5 -3.250037 122.4536
-25 24 5 -3.257098 122
-15 24 5 -2.994578 122
-65 21 6 -2.742472 225
-55 21 6 -2.809034 224.8609
-45 21 6 -2.837981 224
-65 22 6 -5.137286 40.63423
-55 22 6 -4.741225 40.48457
-45 22 6 NA 40
-65 23 6 -3.253991 283.4625
-55 23 6 -3.237338 283.4305
-45 23 6 -2.984942 283
-65 24 6 -3.750385 126
-55 24 6 -3.582524 125.5208
-45 24 6 -3.610204 125
-55 21 7 -2.79357 227
-45 21 7 -2.773861 227
-35 21 7 -2.638964 227
-25 21 7 -1.897103 227
-15 21 7 -1.200328 227
-5 21 7 NA 227
-55 22 7 -4.118416 43
-45 22 7 -3.999205 43
-35 22 7 -3.297372 43
-25 22 7 -3.985734 43
-15 22 7 -3.30469 43
-5 22 7 -0.7321352 43
-65 23 7 -3.288404 286
-55 23 7 -3.319127 286
-65 24 7 -3.885474 128
-55 24 7 -3.657224 128
-5 21 8 -1.011242 229
5 21 8 -1.615176 229
15 21 8 -3.238997 229
25 21 8 -3.776129 229
35 21 8 -3.096033 229
-5 22 8 1.676515 45
5 22 8 2.13642 45
15 22 8 1.122507 45
25 22 8 1.456695 45
35 22 8 1.446062 45
-55 23 8 NA 289
-45 23 8 -3.136898 289
-35 23 8 -2.973763 289
-25 23 8 -2.784067 289
-15 23 8 -2.452384 289
-5 23 8 0.08037046 289
-55 24 8 -3.688003 131
-45 24 8 -3.379534 131
-35 24 8 -3.221344 131
-25 24 8 -2.749179 131
-15 24 8 -2.850853 131
-5 24 8 -1.216749 131
35 21 9 NA 232
45 21 9 -4.347043 232
55 21 9 NA 232
65 21 9 -8.207557 232
75 21 9 -8.722821 232
35 22 9 2.061822 48
45 22 9 1.55526 48
55 22 9 1.901012 48
65 22 9 3.801946 48
75 22 9 3.604995 48
-5 23 9 -1.222347 291
5 23 9 -4.269253 291
15 23 9 -4.396418 291
-5 24 9 -1.357651 133
5 24 9 0.8060217 133
15 24 9 2.584376 133
25 24 9 2.650527 133
35 24 9 3.692713 133
65 22 10 5.24167 49
75 22 10 4.656859 49
5 23 10 -4.778828 292
15 23 10 -4.081118 292
25 23 10 -3.198353 292
35 23 10 -2.530645 292
35 24 10 3.552299 136
45 24 10 3.837724 136
55 24 10 3.889671 136
