lat prs annmn cos sin
1 1 -3.500515 -0.512551 -0.4438501
2 1 -3.279916 -0.2939763 -0.4102355
3 1 -3.091226 -0.1584356 -0.3503123
4 1 -2.837641 -0.5502279 -0.32623
5 1 -2.325464 -0.4963503 -0.3390996
6 1 -1.765177 -0.2692367 0.02573949
7 1 -1.441279 -0.5531141 1.013404
8 1 -1.324385 -0.7059364 1.807266
9 1 -1.15295 -1.003902 2.709771
10 1 -0.5647845 -0.8585935 3.157809
11 1 -0.1235602 -0.9414493 3.261038
12 1 0.1975548 -0.5054738 3.698607
13 1 -0.06613906 0.6385013 4.221401
14 1 -0.2853774 1.232269 4.581083
15 1 -1.108583 1.45942 4.722024
1 2 -3.679565 -0.7699645 -0.5693863
2 2 -3.442136 -0.4577169 -0.4762827
3 2 -3.095056 -0.1799654 -0.3155338
4 2 -2.98248 -0.4284305 -0.3886029
5 2 -2.667661 -1.188289 -0.6185252
6 2 -2.160255 -0.6874655 -0.3510193
7 2 -1.205032 -0.004166691 0.5657636
8 2 -1.306988 -0.8200983 1.983931
9 2 -1.125227 -1.229658 2.780999
10 2 -0.4383034 -1.112968 3.101474
11 2 0.1359022 -0.8535231 3.526837
12 2 0.3045393 -0.1083624 3.974215
13 2 0.3013448 0.9197102 4.354588
14 2 0.1371539 1.497465 5.162131
15 2 -0.4215899 2.13181 5.552183
1 3 -3.786169 -0.9036455 -0.6290394
2 3 -3.532137 -0.5601283 -0.5120109
3 3 -3.142199 -0.2121368 -0.2901704
4 3 -3.011393 -0.3326685 -0.3534435
5 3 -2.776129 -0.8819825 -0.4643875
6 3 -2.158859 -0.6197366 -0.2658919
7 3 -0.9593424 0.6016587 0.2423696
8 3 -1.148509 -0.8051135 2.145365
9 3 -1.074331 -1.104527 2.825591
10 3 -0.3025943 -0.8077664 3.175693
11 3 0.2757703 -0.6507205 3.725302
12 3 0.3997026 0.0411665 4.174357
13 3 0.7113164 0.7452269 4.230901
14 3 0.2256212 1.810113 5.692356
15 3 -0.2338551 2.325372 5.795251
1 4 -3.870089 -0.964341 -0.6824098
2 4 -3.646107 -0.7358026 -0.5616097
3 4 -3.2336 -0.2481944 -0.2934657
4 4 -3.031435 -0.2694653 -0.3272285
5 4 -2.679583 -0.6103549 -0.4401157
6 4 -2.134741 -0.3689545 -0.2491448
7 4 -0.433307 1.553123 0.00807119
8 4 -0.94216 -0.6313413 2.177624
9 4 -0.9050128 -0.8559752 2.959815
10 4 -0.1791796 -0.587811 3.298348
11 4 0.3430058 -0.3007971 3.954542
12 4 0.5619953 0.09061923 4.339017
13 4 0.9215079 0.9330596 4.340904
14 4 0.3875349 2.051569 5.978703
15 4 -0.01577026 2.494729 6.12299
1 5 -3.933494 -1.006892 -0.7616549
2 5 -3.741232 -0.8381373 -0.6067113
3 5 -3.401515 -0.418949 -0.3812377
4 5 -3.122916 -0.2029369 -0.3011811
5 5 -2.717667 -0.2544613 -0.4609363
6 5 -2.223186 -0.1595777 -0.2642514
7 5 -0.1877083 1.685824 -0.00785416
8 5 -0.8339938 -0.7527327 2.587574
9 5 -0.5501848 -0.644022 3.410331
10 5 -0.0819485 0.04799834 3.632735
11 5 0.6188605 -0.05357299 4.234615
12 5 0.7984065 0.3332336 4.513229
13 5 1.214335 1.075578 4.519727
14 5 0.7888754 1.701508 5.910707
15 5 0.01836609 2.528654 6.408939
1 6 -3.989338 -1.115398 -0.8678083
2 6 -3.851734 -0.9632394 -0.6026111
3 6 -3.480202 -0.4350819 -0.4422327
4 6 -3.303516 -0.1961498 -0.2602652
5 6 -2.77185 -0.07731486 -0.4176645
6 6 -2.31753 -0.1013767 -0.2253998
7 6 -0.7662864 0.4030611 0.2982417
8 6 -0.7300922 -0.9077919 2.581643
9 6 -0.2053878 -0.2885907 3.738787
10 6 0.1093476 0.3247895 4.091278
11 6 0.6348196 0.7712482 4.361685
12 6 1.063519 0.6652733 4.781945
13 6 1.465564 1.27024 4.553276
14 6 0.8225855 2.472318 6.351978
15 6 0.05419571 2.674057 6.63355
1 7 -4.146445 -1.595823 -1.142372
2 7 -3.913776 -0.9278803 -0.6193115
3 7 -3.462269 -0.5026794 -0.2403485
4 7 -3.533413 -0.1598778 -0.09149961
5 7 -2.981159 -0.3439946 -0.4707909
6 7 -2.471021 -0.2797405 -0.2931135
7 7 -1.260956 -0.1344997 0.3629961
8 7 -0.7359433 -1.071672 2.306511
9 7 0.06228381 -0.1122291 3.937454
10 7 0.195529 0.8407965 4.72245
11 7 0.7384243 1.090174 4.385434
12 7 1.306758 1.007286 4.603077
13 7 1.640429 1.503003 4.567997
14 7 2.654938 0.9716212 5.193088
15 7 0.3239961 2.930565 7.274608
