year month land ocean net foss
2015 1 2.282746 0.2175973 2.500343 1.062129
2015 2 2.032861 0.2498486 2.28271 1.088648
2015 3 2.07696 0.2364717 2.313431 1.066069
2015 4 1.512361 0.1477964 1.660157 0.9749839
2015 5 -4.185243 -0.04520738 -4.23045 0.9040669
2015 6 -12.3806 -0.3453471 -12.72595 0.9303582
2015 7 -9.697365 -0.5031424 -10.20051 0.8691966
2015 8 -3.831012 -0.4752595 -4.306271 0.8904645
2015 9 2.568502 -0.5477244 2.020778 0.916969
2015 10 4.673823 -0.4758048 4.198019 0.9828725
2015 11 3.989858 -0.19518 3.794678 1.034691
2015 12 3.127559 0.3143846 3.441943 1.086909
2016 1 2.591102 0.3680814 2.959183 1.073897
2016 2 2.219147 0.2823346 2.501482 1.066947
2016 3 2.335879 0.1847269 2.520606 1.084046
2016 4 0.9154374 0.03205828 0.9474956 0.9870936
2016 5 -4.615158 -0.2050494 -4.820207 0.9194386
2016 6 -12.29754 -0.3987094 -12.69625 0.9450597
2016 7 -9.731467 -0.4533184 -10.18479 0.8789672
2016 8 -2.5059 -0.4377551 -2.943655 0.9087468
2016 9 2.799918 -0.3725863 2.427332 0.9306825
2016 10 4.684582 -0.1271644 4.557417 0.9954386
2016 11 3.681045 -0.07567206 3.605373 1.051872
2016 12 2.843424 0.1139243 2.957348 1.099845
2017 1 2.477467 0.3305686 2.808036 1.090822
2017 2 2.069334 0.4458934 2.515227 1.118032
2017 3 2.026221 0.339037 2.365258 1.100015
2017 4 1.365495 0.2281322 1.593627 0.9991655
2017 5 -3.312852 0.01718347 -3.295668 0.9354934
2017 6 -11.65762 -0.1984805 -11.8561 0.9601952
2017 7 -11.08883 -0.3024427 -11.39128 0.8926547
2017 8 -4.652526 -0.3423062 -4.994832 0.924146
2017 9 3.373817 -0.3475688 3.026248 0.9430197
2017 10 4.963233 -0.1758255 4.787408 1.012617
2017 11 3.785905 0.08383787 3.869743 1.066346
2017 12 2.803938 0.3300126 3.13395 1.112555
2018 1 2.332843 0.4647539 2.797597 1.109346
2018 2 2.073709 0.5296772 2.603386 1.133901
2018 3 2.012479 0.3726453 2.385124 1.115205
2018 4 1.015866 0.116575 1.132441 1.016216
2018 5 -3.8741 -0.164169 -4.038269 0.9500336
2018 6 -11.14948 -0.1560113 -11.3055 0.9745197
2018 7 -9.481493 -0.1149936 -9.596486 0.9082754
2018 8 -4.621695 -0.1256146 -4.74731 0.939783
2018 9 2.198994 -0.071853 2.127141 0.9552903
2018 10 4.042044 0.03204109 4.074086 1.031075
2018 11 3.148494 0.2129015 3.361396 1.081318
2018 12 2.386267 0.4082374 2.794505 1.128882
2019 1 2.101162 0.4864409 2.587603 1.082298
2019 2 1.661465 0.5759809 2.237446 1.106097
2019 3 1.933347 0.4797403 2.413087 1.085859
2019 4 0.6735882 0.08428696 0.7578751 0.9943374
2019 5 -3.687962 -0.1834609 -3.871423 0.9271853
2019 6 -12.35835 -0.2945176 -12.65287 0.9496777
2019 7 -11.51102 -0.2310234 -11.74204 0.8888323
2019 8 -4.763806 -0.1327267 -4.896533 0.9164477
2019 9 2.391389 -0.09281557 2.298573 0.9340754
2019 10 4.524677 -0.02632048 4.498356 1.006548
2019 11 3.836382 0.1692928 4.005675 1.052868
2019 12 2.740058 0.3277982 3.067856 1.10334
2020 1 2.559442 0.3680004 2.927442 1.025898
2020 2 2.390382 0.444091 2.834473 1.035281
2020 3 1.977255 0.2444224 2.221677 1.026106
2020 4 0.6153996 0.005128266 0.6205279 0.8129408
2020 5 -4.435993 -0.1906806 -4.626674 0.7712612
2020 6 -12.12943 -0.2344694 -12.3639 0.8752833
2020 7 -9.102538 -0.1881689 -9.290707 0.8247841
2020 8 -3.477068 -0.1621263 -3.639195 0.8632668
2020 9 2.594481 -0.1640786 2.430402 0.9004277
2020 10 5.088318 -0.1113294 4.976989 0.9439611
2020 11 4.133894 0.02806474 4.161958 0.9737603
2020 12 3.163701 0.09399747 3.257699 1.109142
